target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
depth,T0 penetration depth,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,164,164,11.863614113553,15.872866982082371,21.06806977530666,28.18792535831401,0.9162904880876608,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.383523621725096,0.9146341463414634,0.0353658536585365,71.10099547561722,0,0,0,0,0.0,380.0159570000251,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,4.0
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,11.937465947815776,15.971676698111208,21.80818528088596,29.17815943529872,0.9103057980484144,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.409518022784884,0.9207317073170732,0.0292682926829267,70.77279028284968,0,0,0,0,0.0,538.7592589993146,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,2.0
depth,T0 penetration depth,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,164,164,11.888521899325587,15.906192237489565,21.11876541366957,28.25575335040852,0.915887146636936,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.384568808831591,0.9146341463414634,0.0353658536585365,70.75310123438422,0,0,0,0,0.0,360.2153488002368,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,
depth,T0 penetration depth,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,164,164,12.635219460909015,16.905232745501284,21.064829220021977,28.18358967253652,0.9163162374270124,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.448433874761998,0.9085365853658536,0.0414634146341462,72.32592306582073,0,0,0,0,0.0,460.5303289000876,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,5.0
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,12.28433412204074,16.435767348489055,21.90385755290873,29.30616370390993,0.9095170968430366,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.417572283893989,0.9207317073170732,0.0292682926829267,68.37617263514339,0,0,0,0,0.0,522.1449945999193,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,3.0
depth,T0 penetration depth,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,164,164,15.14588450098989,20.264365286085344,22.8289032718688,30.5438242944229,0.9017131515887457,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.604485557944116,0.902439024390244,0.047560975609756,80.141528605307,0,0,0,0,0.0,317.6185888007749,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,6.0
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,13.36996041181298,17.88827596221078,22.51632343966173,30.12560957078009,0.9043862678319512,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.467655386515749,0.9329268292682928,0.0170731707317072,68.49473905706155,0,0,0,0,0.0,333.69766129972413,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,1.0
kinetic_energy,T0 melt kinetic energy,nJ,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,164,164,0.3446885973424161,10.289281735940628,0.6128345476557322,18.29369282002534,0.8700260895012092,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,1.0022852162456408,0.9146341463414634,0.0353658536585365,2.093097551404057,0,0,0,0,0.0,385.18123610009206,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,4.0
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,0.3022419019973037,9.022207598493504,0.5638728839089049,16.83214069316157,0.8899646760968756,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8764318858116772,0.9329268292682928,0.0170731707317072,2.040523240932945,0,0,0,0,0.0,546.8327673999593,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,1.0
kinetic_energy,T0 melt kinetic energy,nJ,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,164,164,0.3446151248527348,10.287088512399146,0.6127335306436644,18.290677366351204,0.870068934650929,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,1.0019664930880146,0.9146341463414634,0.0353658536585365,2.0891877291501526,0,0,0,0,0.0,373.9206662999932,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,
