target,target_unit,comparison_group,model_a,model_b,metric,difference_definition,paired_n,observed_difference,ci_low,ci_high,ci_excludes_zero,robustly_favours_model_a,robustly_favours_model_b,bootstrap_resamples,paired_by_experiment_name,dataset_revision
depth,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,164,0.3468681742249657,0.1098781407630643,0.5840436559707913,True,False,True,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,164,0.0956722720227745,-0.1815898173338939,0.3715174705403861,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,164,1.4324944639972053,0.772112488723662,2.103702688211922,True,False,True,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,164,0.7081381587757711,-0.0137084302422855,1.5157383250761207,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,164,0.0738518342627756,-0.4059933180834495,0.5996902357531206,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,164,0.740115505579297,-0.26720524859342,1.973715258466815,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,MAE,model_a minus model_b; negative favours model_a,164,0.0489440484901866,-0.4079018677291527,0.5690058141170018,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,RMSE,model_a minus model_b; negative favours model_a,164,0.6894198672163832,-0.2841594887448968,1.886134511385384,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,164,0.024907785772589,-0.0308525548333966,0.1032784940866298,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,164,0.0506956383629138,-0.019908082214996,0.1324541490893135,False,False,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,MAE,model_a minus model_b; negative favours model_a,164,-20.80418280758177,-24.55238909929261,-17.17380736610488,True,True,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,RMSE,model_a minus model_b; negative favours model_a,164,-21.44989822721344,-27.101149666009405,-15.35609829933909,True,True,False,10000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
