analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,1,38.97961,53.549062860166195,-14.569452860166194,14.569452860166194,212.2689566446049,34.147151147536434,1166.0279314926988,34.14717211602301,1166.0293635212993,34.14717211602301,total predictive variance including learned WhiteKernel nugget,4.540639937512593,4.540640439788352,4.540640439788352,-13.37935338900521,120.4774791093376,-13.379394487238905,120.4775202075713,True,True,"1.63**2 * Matern(length_scale=4.43, nu=1.5) + WhiteKernel(noise_level=2.61e-07)",2.6563672579344,4.431500391434292,2.6088733597624133e-07,0.0005107713147546966,0.0014320286004016402,0.037842153749511144,0.0005107713147546966,0.0005373335007839085,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",108.54103545454547,74.08825174077218,"[292.29611241145454,0.7094537828358182,56.38871341985455,340.48746933636363]","[100.3374073949546,0.16784556442434584,14.272972825091877,35.57454504593662]",1168D994581924E4D0607885042B16413E39B24C93087B7564881B31919E1DD5,102.928146519,0.633805217924,52.939436669900005,318.223787128,2339433991,fmin_l_bfgs_b,0,-12.477537089335815,0.5940620999899693,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,2,54.79085,69.23872487961083,-14.44787487961083,14.44787487961083,208.74108853688963,47.6810069588919,2273.478424613898,47.681007552865225,2273.4784812563908,47.681007552865225,total predictive variance including learned WhiteKernel nugget,4.829379541457682,4.829379552771144,4.829379552771144,-24.216048759817298,162.69349851903894,-24.216049924005006,162.69349968322666,True,True,"1.71**2 * Matern(length_scale=5.09, nu=1.5) + WhiteKernel(noise_level=1e-08)",2.9400986080209326,5.092480542679784,9.999999999999982e-09,9.999999999999991e-05,5.6642492849563783e-05,0.0075261207038927955,9.999999999999991e-05,0.00010686592554730612,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",107.10365000000002,75.26120703892802,"[289.72662437281815,0.7277248440391819,55.09014690560911,339.9097895735454]","[104.69730437740918,0.1462935208683611,13.872299158196123,35.87849280056384]",3D0D042150FC972AD4D56386A545C65EE4C658155BD4292F45300CA9443BDB49,131.192514944,0.432823544687,67.22366832659999,324.578264519,2436619494,fmin_l_bfgs_b,0,-11.741312513097009,1.0002563999732956,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,3,50.78344,48.38504140680765,2.398398593192347,2.398398593192347,5.752315811827029,20.55374816549114,422.4565636504304,20.553749533742863,422.45661989583493,20.553749533742863,total predictive variance including learned WhiteKernel nugget,3.9487900242645635,3.9487900899275794,3.9487900899275794,8.099695002445017,88.67038781117029,8.099692320671643,88.67039049294365,True,True,"1.61**2 * Matern(length_scale=4.4, nu=1.5) + WhiteKernel(noise_level=1e-08)",2.5991216018716887,4.395331566633622,9.999999999999982e-09,9.999999999999991e-05,5.6245404713071786e-05,0.007499693641281074,9.999999999999991e-05,0.00010649067877455141,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",107.46796,74.99693641281081,"[286.6889319882727,0.6882361150902728,56.35809173559091,340.86615775045453]","[108.6919976696702,0.16118322689925116,14.279977112810633,35.31239724560136]",88BA7A83C5DC656EF2B87938937BD9281FB7B8CBAA40E4CCF58AB912D43FCCAA,164.607131174,0.867199563125,53.2762751968,314.058214573,672258085,fmin_l_bfgs_b,0,-12.87814898482755,0.7766621999908239,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,4,66.114745,107.72000309573107,-41.605258095731074,41.605258095731074,1730.997501212396,40.361581476586124,1629.0572592911,40.36158219004162,1629.0573168834846,40.36158219004162,total predictive variance including learned WhiteKernel nugget,5.148105021095694,5.1481050199895595,5.1481050199895595,28.611303401622266,186.8287027898399,28.611302003249506,186.82870418821264,True,True,"1.65**2 * Matern(length_scale=4.7, nu=1.5) + WhiteKernel(noise_level=1e-08)",2.7264004937281583,4.696021376315191,9.999999999999982e-09,9.999999999999991e-05,5.75923850165208e-05,0.007588964686735655,9.999999999999991e-05,0.0001077582684495542,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.07420500000002,75.88964686735662,"[282.7956764056363,0.7057267896126365,55.97960043185455,334.6581935589091]","[112.17242260983659,0.16902464652422458,14.301453068049884,33.426711907967764]",DE3412952C197CF88C437A6B48CB9A4B793B0747E8E37FFCF6BA71C2657CBFE8,207.432942583,0.674802143379,57.4396795379,382.34582068,1316654585,fmin_l_bfgs_b,0,-11.694323295871875,1.0092894000117667,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,5,62.65886999999999,58.605911644662044,4.05295835533795,4.05295835533795,16.426471430103696,17.458430540910914,304.79679695181096,17.45843278782931,304.7968754071535,17.45843278782931,total predictive variance including learned WhiteKernel nugget,3.8057077853136194,3.8057079070785553,3.8057079070785553,24.38738778447665,92.82443550484743,24.387383380516596,92.82443990880749,True,True,"1.59**2 * Matern(length_scale=4.31, nu=1.5) + WhiteKernel(noise_level=1.37e-08)",2.5263192448678584,4.3063923743402714,1.3684996130262735e-08,0.00011698288819422581,7.845534247477226e-05,0.008857502044864131,0.00011698288819422581,0.0001257706581256347,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.38837545454545,75.71621953937475,"[280.6457716567272,0.6897659956931819,56.18402708030001,341.8916786310909]","[113.3632775976388,0.16278676737776235,14.304790629671093,34.34182393701469]",94CE068FD393B849BEFDF900F1F1AA0A429637FD301AE8E8F1DB9A81934E2A81,231.081894821,0.850370876493,55.190986405,302.777484886,642481158,fmin_l_bfgs_b,0,-12.994192001980476,0.9920009999768808,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,74.73689999999999,81.67943924848892,-6.942539248488927,6.942539248488927,48.198851216809196,57.75432272287826,3335.5617931783718,57.75432349955176,3335.5618828908764,57.75432349955176,total predictive variance including learned WhiteKernel nugget,4.982361729646971,4.982361742900534,4.982361742900534,-31.51903328835246,194.8779117853303,-31.519034810632533,194.87791330761036,True,True,"1.71**2 * Matern(length_scale=4.95, nu=1.5) + WhiteKernel(noise_level=1.54e-08)",2.9257076993152693,4.954375556213329,1.5429077273977244e-08,0.0001242138368861426,8.971250580093976e-05,0.009471668585890226,0.0001242138368861426,0.00013449141592759142,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",105.29037272727274,76.25292659280935,"[278.41113987499995,0.711458185707091,53.57822447146364,333.70939859545456]","[114.07376467043555,0.16679526829334523,11.327836690598073,31.875554356324134]",7CFC9057A61674DBB5EDAD20D432DC99B8BCBEB12618615BBC6B29322F8BE6FE,255.66284442,0.61175678634,83.85481510219999,392.782565278,3965060695,fmin_l_bfgs_b,0,-11.836317426800022,1.2332962999935262,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,62.69445,20.16944964540606,42.52500035459394,42.52500035459394,1808.3756551582148,55.74073310429654,3107.02932700442,55.74073983859754,3107.030077754215,55.74073983859754,total predictive variance including learned WhiteKernel nugget,5.230663319557014,5.230663370054282,5.230663370054282,-89.08238723901515,129.42128652982728,-89.08240043824512,129.42129972905724,True,True,"2.06**2 * Matern(length_scale=6.43, nu=1.5) + WhiteKernel(noise_level=1.31e-07)",4.250266569506165,6.42600689552031,1.309471223088916e-07,0.0003618661662947941,0.0007507497953428477,0.027399813782995816,0.0003618661662947941,0.0003890591946298649,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.38514090909092,75.71808678204685,"[276.2718699631818,0.6796949237614546,54.06542817849092,335.54600344918185]","[114.25950973570055,0.14848396257108207,12.448823600888975,34.533486446731175]",4E2EBF9E15E2C04F0D8308886E90A147DF9E89499113BB759AC0F3D625A31CB8,279.19481345,0.961152667742,78.4955743249,372.579911887,1472112701,fmin_l_bfgs_b,0,-11.320003090118611,0.7768179000122473,1,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,completed_with_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,81.858095,95.34265597563422,-13.48456097563421,13.48456097563421,181.83338470559704,25.856373636738013,668.5520576426005,25.856374767801288,668.5521161329912,25.856374767801288,total predictive variance including learned WhiteKernel nugget,4.307486111907482,4.307486143754008,4.307486143754008,44.66416364762771,146.02114830364073,44.66416143074369,146.02115052052474,True,True,"1.61**2 * Matern(length_scale=4.42, nu=1.5) + WhiteKernel(noise_level=1e-08)",2.6042544344238907,4.416654650860764,9.999999999999982e-09,9.999999999999991e-05,5.8490390800845736e-05,0.007647901071591194,9.999999999999991e-05,0.0001085951260504085,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",104.64299136363638,76.47901071591201,"[271.81899196581816,0.6991763606249091,55.9437380656,341.3910447321818]","[113.09848395999745,0.16869965350233537,14.297251580725215,34.86426598032221]",BE806DF8BFB82D885B4E3220568D98E38539A96554E44D5078B13FA52D7EE609,328.176471421,0.746856862244,57.8341655667,308.284457774,666680517,fmin_l_bfgs_b,0,-12.396228187262956,0.8993354999693111,1,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,completed_with_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,298.89750000000004,111.87779135227011,187.01970864772994,187.01970864772994,34976.37142268179,41.582032966638195,1729.0654656385857,41.582033216324206,1729.0654864034896,41.582033216324206,total predictive variance including learned WhiteKernel nugget,14.760848220384695,14.760848104924175,14.760848104924175,30.377006737659244,193.378575966881,30.377006248274668,193.37857645626553,False,False,"1.16**2 * Matern(length_scale=2.75, nu=1.5) + WhiteKernel(noise_level=1e-08)",1.3538313810188838,2.7506556755777365,9.999999999999982e-09,9.999999999999991e-05,2.0764903843941514e-05,0.004556852405327773,9.99999999999999e-05,6.470428379203911e-05,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",84.91213636363636,45.56852405327778,"[268.5919841951818,0.7262954772673637,57.52384510736365,333.78637144254543]","[110.9169602718995,0.149064822852882,13.432226145142167,32.01677571750731]",EBA7DC277370EE3E46762F644B04467CCB93E4DEB7876C570256845C67E5F1B4,363.673556898,0.448546579177,40.4529881073,391.93586396,3784260798,fmin_l_bfgs_b,0,-12.36106893245174,0.6771415999974124,1,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,completed_with_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,78441CE74970F9B183D6E87E98D7E5C1A59EF52B75B8D9178C71B6B422A9EB8A,depth,T0 penetration depth,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,182.7688,176.8505157888605,5.9182842111395075,5.9182842111395075,35.02608800382318,29.69748417667118,881.940566423635,29.697492416778797,881.9410558446341,29.697492416778797,total predictive variance including learned WhiteKernel nugget,4.329858264619151,4.32985853106773,4.32985853106773,118.64344680258498,235.057584775136,118.64343065197406,235.05760092574693,True,True,"1.7**2 * Matern(length_scale=4.44, nu=1.5) + WhiteKernel(noise_level=9.31e-08)",2.888210596320177,4.439044613858192,9.309534989418543e-08,0.0003051153058995655,0.0004894209989547146,0.02212286145494553,0.0003051153058995655,0.00031412996923032785,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",95.4692909090909,72.50656072372747,"[266.7509945664545,0.7126586272504546,57.24826891823637,342.03772093599997]","[109.14125152179273,0.1660240868151279,13.744891262447375,34.171337068435726]",B6D7A1578E994B09BEF7BB019C206754C70D6325289D55991BE635CFDE33D4C0,383.924442814,0.598551929363,43.4843261877,301.171019532,2905507993,fmin_l_bfgs_b,0,-13.044029891938274,0.7050724999862723,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
