analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,1,38.97961,50.25848876202023,-11.278878762020227,11.278878762020227,127.21310612835093,28.167000610020143,793.3799233648751,28.167001584399525,793.3799782555653,28.167001584399525,total predictive variance including learned WhiteKernel nugget,4.337261253965166,4.337261283011363,4.337261283011363,-4.948832433619252,105.4658099576597,-4.948834343402844,105.4658118674433,True,True,1.32**2 * RBF(length_scale=2.42) + WhiteKernel(noise_level=1e-08),1.7387377084633895,2.415963699264734,9.999999999999982e-09,9.999999999999991e-05,5.4890690460040215e-05,0.007408825174077211,9.999999999999991e-05,0.0001052004067695086,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",108.54103545454547,74.08825174077218,"[292.29611241145454,0.7094537828358182,56.38871341985455,340.48746933636363]","[100.3374073949546,0.16784556442434584,14.272972825091877,35.57454504593662]",1168D994581924E4D0607885042B16413E39B24C93087B7564881B31919E1DD5,102.928146519,0.633805217924,52.939436669900005,318.223787128,1362178456,fmin_l_bfgs_b,0,-11.51219991885892,0.8877893000026233,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,1,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,2,54.79085,53.57784273497447,1.2130072650255315,1.2130072650255315,1.4713866250047198,42.92749858418673,1842.7701346953536,42.92749924393275,1842.7701913378469,42.92749924393275,total predictive variance including learned WhiteKernel nugget,4.678850378703628,4.678850394060201,4.678850394060201,-30.56005449003152,137.71573995998045,-30.56005578313372,137.71574125308265,True,True,1.36**2 * RBF(length_scale=2.68) + WhiteKernel(noise_level=1e-08),1.8542507913092732,2.6841395853359455,9.999999999999982e-09,9.999999999999991e-05,5.6642492849563783e-05,0.0075261207038927955,9.999999999999991e-05,0.00010686592554730612,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",107.10365000000002,75.26120703892802,"[289.72662437281815,0.7277248440391819,55.09014690560911,339.9097895735454]","[104.69730437740918,0.1462935208683611,13.872299158196123,35.87849280056384]",3D0D042150FC972AD4D56386A545C65EE4C658155BD4292F45300CA9443BDB49,131.192514944,0.432823544687,67.22366832659999,324.578264519,1708841276,fmin_l_bfgs_b,0,-10.59672206476574,1.0504167000181042,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,2,P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,3,50.78344,50.650272617322564,0.1331673826774349,0.1331673826774349,0.017733551809158386,13.707146680833,187.88587012987114,13.70730459633892,187.89019929681407,13.70730459633892,total predictive variance including learned WhiteKernel nugget,3.5369030779099173,3.536914597425642,3.536914597425642,23.784265122889884,77.51628011175524,23.78395560849828,77.51658962614684,True,True,1.3**2 * RBF(length_scale=2.41) + WhiteKernel(noise_level=7.7e-07),1.6984900949175183,2.4116667052812555,7.696925579986289e-07,0.0008773212399108031,0.004329166942927244,0.06579640524319884,0.0008773212399108031,0.0009342653434143256,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",107.46796,74.99693641281081,"[286.6889319882727,0.6882361150902728,56.35809173559091,340.86615775045453]","[108.6919976696702,0.16118322689925116,14.279977112810633,35.31239724560136]",88BA7A83C5DC656EF2B87938937BD9281FB7B8CBAA40E4CCF58AB912D43FCCAA,164.607131174,0.867199563125,53.2762751968,314.058214573,627867870,fmin_l_bfgs_b,0,-12.04188918658495,0.7149550999747589,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,3,P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,4,66.114745,99.86876972191317,-33.75402472191317,33.75402472191317,1139.3341849275253,37.47805987577387,1404.6049720520916,37.47806064412187,1404.6050296444764,37.47806064412187,total predictive variance including learned WhiteKernel nugget,4.948265260111341,4.94826526398317,4.94826526398317,26.411772365396374,173.32576707842998,26.411770859434313,173.32576858439202,True,True,1.26**2 * RBF(length_scale=2.37) + WhiteKernel(noise_level=1e-08),1.5894953588048482,2.3676928551914505,9.999999999999982e-09,9.999999999999991e-05,5.75923850165208e-05,0.007588964686735655,9.999999999999991e-05,0.0001077582684495542,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.07420500000002,75.88964686735662,"[282.7956764056363,0.7057267896126365,55.97960043185455,334.6581935589091]","[112.17242260983659,0.16902464652422458,14.301453068049884,33.426711907967764]",DE3412952C197CF88C437A6B48CB9A4B793B0747E8E37FFCF6BA71C2657CBFE8,207.432942583,0.674802143379,57.4396795379,382.34582068,387150627,fmin_l_bfgs_b,0,-10.733604441087962,1.1930194000015035,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,4,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,5,62.65886999999999,59.95675801772846,2.702111982271532,2.702111982271532,7.3014091647353885,11.167525977099869,124.71363644920038,11.167731815089295,124.71823389375766,11.167731815089295,total predictive variance including learned WhiteKernel nugget,3.361221331308208,3.36123868390354,3.36123868390354,38.06840710261272,81.8451089328442,38.068003660153444,81.84551237530349,True,True,1.3**2 * RBF(length_scale=2.4) + WhiteKernel(noise_level=8.02e-07),1.6855156946417964,2.39614835001078,8.01934055612158e-07,0.0008955077082929872,0.0045974445572625105,0.06780445824031418,0.0008955077082929872,0.0009627783649997724,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.38837545454545,75.71621953937475,"[280.6457716567272,0.6897659956931819,56.18402708030001,341.8916786310909]","[113.3632775976388,0.16278676737776235,14.304790629671093,34.34182393701469]",94CE068FD393B849BEFDF900F1F1AA0A429637FD301AE8E8F1DB9A81934E2A81,231.081894821,0.850370876493,55.190986405,302.777484886,4006415712,fmin_l_bfgs_b,0,-12.186940982134715,0.7947715999907814,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,5,P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,74.73689999999999,78.77058176437448,-4.033681764374492,4.033681764374492,16.270588576247317,57.03190512097926,3252.6382017283804,57.03190949588992,3252.6387007473786,57.03190949588992,total predictive variance including learned WhiteKernel nugget,4.965050520572576,4.965050596898729,4.965050596898729,-33.011952272744864,190.55311580149385,-33.01196084756975,190.55312437631872,True,True,1.33**2 * RBF(length_scale=2.57) + WhiteKernel(noise_level=8.58e-08),1.7777547596052081,2.5742039186540207,8.582307020808128e-08,0.00029295574786660406,0.0004990189981667149,0.022338733137013723,0.00029295574786660406,0.00031719520403206825,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",105.29037272727274,76.25292659280935,"[278.41113987499995,0.711458185707091,53.57822447146364,333.70939859545456]","[114.07376467043555,0.16679526829334523,11.327836690598073,31.875554356324134]",7CFC9057A61674DBB5EDAD20D432DC99B8BCBEB12618615BBC6B29322F8BE6FE,255.66284442,0.61175678634,83.85481510219999,392.782565278,557810059,fmin_l_bfgs_b,0,-10.701572773856526,0.9506808000151068,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,6,P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,62.69445,19.89704708064454,42.79740291935546,42.79740291935546,1831.6176966416556,55.30326404403255,3058.4510139239837,55.30326456237706,3058.45107125627,55.30326456237706,total predictive variance including learned WhiteKernel nugget,5.231205977289313,5.2312059810489995,5.2312059810489995,-88.49735044565927,128.29144460694835,-88.4973514616145,128.29144562290358,True,True,1.52**2 * RBF(length_scale=3.04) + WhiteKernel(noise_level=1e-08),2.3021475813551873,3.036237078493105,9.999999999999982e-09,9.999999999999991e-05,5.7332286659335686e-05,0.007571808678204678,9.999999999999991e-05,0.00010751466449972493,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",106.38514090909092,75.71808678204685,"[276.2718699631818,0.6796949237614546,54.06542817849092,335.54600344918185]","[114.25950973570055,0.14848396257108207,12.448823600888975,34.533486446731175]",4E2EBF9E15E2C04F0D8308886E90A147DF9E89499113BB759AC0F3D625A31CB8,279.19481345,0.961152667742,78.4955743249,372.579911887,2198819016,fmin_l_bfgs_b,0,-9.991011371895231,0.7918595000519417,1,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,completed_with_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,7,P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,81.858095,92.22573296795684,-10.367637967956838,10.367637967956838,107.4879170346202,18.13729733359017,328.9615545670571,18.137318324249797,328.9623159951675,18.137318324249797,total predictive variance including learned WhiteKernel nugget,3.980283565682762,3.9802843448494913,3.9802843448494913,56.676630194120115,127.77483574179357,56.67658905242724,127.77487688348646,True,True,1.3**2 * RBF(length_scale=2.41) + WhiteKernel(noise_level=1.3e-07),1.7029936953086917,2.4096087728116786,1.3018003470351868e-07,0.0003608047043810802,0.0007614281104276482,0.0275939868527121,0.0003608047043810802,0.0003918163235184382,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",104.64299136363638,76.47901071591201,"[271.81899196581816,0.6991763606249091,55.9437380656,341.3910447321818]","[113.09848395999745,0.16869965350233537,14.297251580725215,34.86426598032221]",BE806DF8BFB82D885B4E3220568D98E38539A96554E44D5078B13FA52D7EE609,328.176471421,0.746856862244,57.8341655667,308.284457774,2071562753,fmin_l_bfgs_b,0,-11.51658123008602,0.7770538000040688,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,8,P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,298.89750000000004,111.58921341302322,187.3082865869768,187.3082865869768,35084.39422414904,41.871744966703794,1753.2430265566845,41.87174521466221,1753.243047321588,41.87174521466221,total predictive variance including learned WhiteKernel nugget,14.65912051989123,14.659120407310002,14.659120407310002,29.520593278283783,193.65783354776266,29.520592792285285,193.65783403376116,False,False,1.06**2 * RBF(length_scale=1.83) + WhiteKernel(noise_level=1e-08),1.113573125073958,1.826120444109506,9.999999999999982e-09,9.999999999999991e-05,2.0764903843941514e-05,0.004556852405327773,9.99999999999999e-05,6.470428379203911e-05,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",84.91213636363636,45.56852405327778,"[268.5919841951818,0.7262954772673637,57.52384510736365,333.78637144254543]","[110.9169602718995,0.149064822852882,13.432226145142167,32.01677571750731]",EBA7DC277370EE3E46762F644B04467CCB93E4DEB7876C570256845C67E5F1B4,363.673556898,0.448546579177,40.4529881073,391.93586396,2046204164,fmin_l_bfgs_b,0,-11.646085035523829,0.6990579999983311,1,1,ConvergenceWarning: The optimal value found for dimension 0 of parameter k2__noise_level is close to the specified lower bound 1e-08. Decreasing the bound and calling fit again may find a better value.,completed_with_convergence_warning,False,False,,False,,True,lower,True
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,5EA984C5DF703CA8D71E66502D05FC4FB4F0231827DB0E7121FCA1FC77EEB870,depth,T0 penetration depth,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,9,P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,182.7688,183.47135117408703,-0.7025511740870343,0.7025511740870343,0.4935781522110703,23.792320399155955,566.0745099760926,23.792321503966484,566.074562548106,23.792321503966484,total predictive variance including learned WhiteKernel nugget,4.088737355218617,4.088737401613721,4.088737401613721,136.83840319174135,230.10429915643272,136.83840102631274,230.10430132186133,True,True,1.4**2 * RBF(length_scale=2.45) + WhiteKernel(noise_level=1e-08),1.9634653745414885,2.44853619470599,9.999999999999982e-09,9.999999999999991e-05,5.25720134798357e-05,0.007250656072372741,9.999999999999991e-05,0.00010295451036262646,70.4258225,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",95.4692909090909,72.50656072372747,"[266.7509945664545,0.7126586272504546,57.24826891823637,342.03772093599997]","[109.14125152179273,0.1660240868151279,13.744891262447375,34.171337068435726]",B6D7A1578E994B09BEF7BB019C206754C70D6325289D55991BE635CFDE33D4C0,383.924442814,0.598551929363,43.4843261877,301.171019532,573298728,fmin_l_bfgs_b,0,-12.186163345574098,0.6750088999979198,0,0,,completed_without_convergence_warning,False,False,,False,,True,lower,True
