analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,1,0.7339642,1.0102394098828897,-0.2762752098828898,0.2762752098828898,0.0763279915958348,0.9266583648501663,0.8586957251467839,,,0.9266583648501663,latent predictive variance; numerical jitter excluded,0.8872123566324529,,0.8872123566324529,-0.8060109852234361,2.8264898049892153,,,True,,"1.25**2 * Matern(length_scale=2.43, nu=2.5)",1.5535248552982737,2.4334291769939305,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.6813640000000003,1.6625516967565797,"[292.29611241145454,0.7094537828358182,56.38871341985455,340.48746933636363]","[100.3374073949546,0.16784556442434584,14.272972825091877,35.57454504593662]",1168D994581924E4D0607885042B16413E39B24C93087B7564881B31919E1DD5,102.928146519,0.633805217924,52.939436669900005,318.223787128,818731169,fmin_l_bfgs_b,0,-13.062404316734185,0.4535518999909982,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,1,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,2,1.291556,1.859050671720786,-0.567494671720786,0.567494671720786,0.32205020243148275,1.2534544451163983,1.571148045982058,,,1.2534544451163983,latent predictive variance; numerical jitter excluded,1.2473306438801788,,1.2473306438801788,-0.5977200407073546,4.315821384148927,,,True,,"1.29**2 * Matern(length_scale=2.83, nu=2.5)",1.671887890650328,2.8298868688755867,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.630673836363636,1.741279009361216,"[289.72662437281815,0.7277248440391819,55.09014690560911,339.9097895735454]","[104.69730437740918,0.1462935208683611,13.872299158196123,35.87849280056384]",3D0D042150FC972AD4D56386A545C65EE4C658155BD4292F45300CA9443BDB49,131.192514944,0.432823544687,67.22366832659999,324.578264519,2030402229,fmin_l_bfgs_b,0,-12.176380221572032,0.18734519998542964,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,2,P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,3,1.5768185,1.6703778401409515,-0.09355934014095157,0.09355934014095157,0.008753350127610273,0.526370638643778,0.2770660492262587,,,0.526370638643778,latent predictive variance; numerical jitter excluded,0.29298535941880005,,0.29298535941880005,0.6386913883991467,2.702064291882756,,,True,,"1.19**2 * Matern(length_scale=2.43, nu=2.5)",1.4111230016692786,2.431473727497545,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.604740881818182,1.7735001674424107,"[286.6889319882727,0.6882361150902728,56.35809173559091,340.86615775045453]","[108.6919976696702,0.16118322689925116,14.279977112810633,35.31239724560136]",88BA7A83C5DC656EF2B87938937BD9281FB7B8CBAA40E4CCF58AB912D43FCCAA,164.607131174,0.867199563125,53.2762751968,314.058214573,901118477,fmin_l_bfgs_b,0,-13.055552507327194,0.13721789995906875,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,3,P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,4,2.1700615,3.2577209673882566,-1.0876594673882565,1.0876594673882565,1.1830031169993058,1.088714272288136,1.1852987666838855,,,1.088714272288136,latent predictive variance; numerical jitter excluded,1.5029675820950712,,1.5029675820950712,1.12384099370351,5.391600941073003,,,True,,"1.2**2 * Matern(length_scale=2.65, nu=2.5)",1.4443039893262524,2.645980604524118,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.5508097000000003,1.8245921398560783,"[282.7956764056363,0.7057267896126365,55.97960043185455,334.6581935589091]","[112.17242260983659,0.16902464652422458,14.301453068049884,33.426711907967764]",DE3412952C197CF88C437A6B48CB9A4B793B0747E8E37FFCF6BA71C2657CBFE8,207.432942583,0.674802143379,57.4396795379,382.34582068,1179290881,fmin_l_bfgs_b,0,-11.559053615429793,0.33056929998565465,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,4,P-231p081894821_VX-0p850370876493_LS-5p5190986405e-05_ST-302p777484886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p67296074733e-06_H-179e4a5e71,5,2.533465,2.5877799786236655,-0.05431497862366541,0.05431497862366541,0.0029501169028892304,0.43028281244586924,0.1851432986863271,,,0.43028281244586924,latent predictive variance; numerical jitter excluded,0.08359306777756119,,0.08359306777756119,1.7444256662297617,3.4311342910175693,,,True,,"1.18**2 * Matern(length_scale=2.49, nu=2.5)",1.395040846147754,2.494231420314595,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.517773018181818,1.8458792177677195,"[280.6457716567272,0.6897659956931819,56.18402708030001,341.8916786310909]","[113.3632775976388,0.16278676737776235,14.304790629671093,34.34182393701469]",94CE068FD393B849BEFDF900F1F1AA0A429637FD301AE8E8F1DB9A81934E2A81,231.081894821,0.850370876493,55.190986405,302.777484886,279004366,fmin_l_bfgs_b,0,-12.903334261447462,0.4600963999982923,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,5,P-255p66284442_VX-0p61175678634_LS-8p38548151022e-05_ST-392p782565278_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p88568383831e-06_H-1d842653b1,6,3.210667,3.319546318443582,-0.10887931844358212,0.10887931844358212,0.01185470598473896,1.5260284068823142,2.328762698611774,,,1.5260284068823142,latent predictive variance; numerical jitter excluded,1.344152361095303,,1.344152361095303,0.32853064095424633,6.310561995932918,,,True,,"1.3**2 * Matern(length_scale=2.92, nu=2.5)",1.695365614575036,2.922485901951877,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.4562091999999995,1.8662755321253564,"[278.41113987499995,0.711458185707091,53.57822447146364,333.70939859545456]","[114.07376467043555,0.16679526829334523,11.327836690598073,31.875554356324134]",7CFC9057A61674DBB5EDAD20D432DC99B8BCBEB12618615BBC6B29322F8BE6FE,255.66284442,0.61175678634,83.85481510219999,392.782565278,3426199749,fmin_l_bfgs_b,0,-11.797134584818622,0.2640669000102207,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,6,P-279p19481345_VX-0p961152667742_LS-7p84955743249e-05_ST-372p579911887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p01909921797e-06_H-6ea4fcc339,7,3.848077,2.650438809633262,1.197638190366738,1.197638190366738,1.4343372350249148,1.5219756588107924,2.3164099060125456,,,1.5219756588107924,latent predictive variance; numerical jitter excluded,1.6485513009905142,,1.6485513009905142,-0.3326334816358911,5.633511100902416,,,True,,"1.43**2 * Matern(length_scale=3.41, nu=2.5)",2.0548317978850617,3.4149262353439136,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.3982628363636365,1.8631015925934353,"[276.2718699631818,0.6796949237614546,54.06542817849092,335.54600344918185]","[114.25950973570055,0.14848396257108207,12.448823600888975,34.533486446731175]",4E2EBF9E15E2C04F0D8308886E90A147DF9E89499113BB759AC0F3D625A31CB8,279.19481345,0.961152667742,78.4955743249,372.579911887,1372529870,fmin_l_bfgs_b,0,-11.313187186246765,0.28186380001716316,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,7,P-328p176471421_VX-0p746856862244_LS-5p78341655667e-05_ST-308p284457774_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p45923047225e-06_H-354781c6a2,8,4.1574395,3.6598890938446367,0.49755040615536306,0.49755040615536306,0.24755640666536674,0.614415623452363,0.3775065583423559,,,0.614415623452363,latent predictive variance; numerical jitter excluded,0.7597384485285551,,0.7597384485285551,2.455634471878005,4.864143715811268,,,True,,"1.24**2 * Matern(length_scale=2.71, nu=2.5)",1.5254718277500723,2.7084203638419573,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.370138972727273,1.8537408393447359,"[271.81899196581816,0.6991763606249091,55.9437380656,341.3910447321818]","[113.09848395999745,0.16869965350233537,14.297251580725215,34.86426598032221]",BE806DF8BFB82D885B4E3220568D98E38539A96554E44D5078B13FA52D7EE609,328.176471421,0.746856862244,57.8341655667,308.284457774,4162456778,fmin_l_bfgs_b,0,-12.142174464954147,0.1859000000404194,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,8,P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,9,6.751311,3.226531053206188,3.5247799467938123,3.5247799467938123,12.424073673319791,1.2877300900139044,1.6582487847272183,,,1.2877300900139044,latent predictive variance; numerical jitter excluded,4.9179624364487635,,4.9179624364487635,0.7025800767789354,5.7504820296334405,,,False,,"1.3**2 * Matern(length_scale=3.25, nu=2.5)",1.6930673215162346,3.253393303778716,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.1343324727272726,1.548482312000642,"[268.5919841951818,0.7262954772673637,57.52384510736365,333.78637144254543]","[110.9169602718995,0.149064822852882,13.432226145142167,32.01677571750731]",EBA7DC277370EE3E46762F644B04467CCB93E4DEB7876C570256845C67E5F1B4,363.673556898,0.448546579177,40.4529881073,391.93586396,1292094162,fmin_l_bfgs_b,0,-10.732655429177449,0.2637791999732144,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
week7_phase3_new_data_replication,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,D741E4B222672C3E4AE8E010B3976680A54E7C5B4B97DAFD0A90D2529BD08343,kinetic_energy,T0 melt kinetic energy,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,9,P-383p924442814_VX-0p598551929363_LS-4p34843261877e-05_ST-301p171019532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p05965258211e-06_H-82800d7335,10,4.73173,5.865512757189135,-1.1337827571891355,1.1337827571891355,1.285463340499398,0.43645905849813443,0.19049650974507792,,,0.43645905849813443,latent predictive variance; numerical jitter excluded,3.4638591755704673,,3.4638591755704673,5.010053002532792,6.720972511845479,,,False,,"2.12**2 * Matern(length_scale=5.42, nu=2.5)",4.500151760570718,5.415432916563103,,,,,,,3.529372,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",3.3179307454545452,1.8224817095914603,"[266.7509945664545,0.7126586272504546,57.24826891823637,342.03772093599997]","[109.14125152179273,0.1660240868151279,13.744891262447375,34.171337068435726]",B6D7A1578E994B09BEF7BB019C206754C70D6325289D55991BE635CFDE33D4C0,383.924442814,0.598551929363,43.4843261877,301.171019532,1290958958,fmin_l_bfgs_b,0,-10.831300902859693,0.2214067000313662,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
