target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
depth,T0 penetration depth,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,12,12,33.148615509755906,47.06883687408253,59.05983539586578,83.86105167016797,0.354214857137475,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.482081116646242,0.9166666666666666,0.033333333333333326,130.55267453584972,0,0,0,0,0.0,3.58921669999836,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,6
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,33.14851428688647,47.06869314431716,59.0597992845535,83.86100039449806,0.3542156468498634,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.482065608257497,0.9166666666666666,0.033333333333333326,130.55207148776407,0,3,3,6,0.5,9.902504499943461,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,5
depth,T0 penetration depth,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,12,12,33.16737672414969,47.09547655499471,59.09020593134971,83.90417581754151,0.3535505178871905,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.485793468047689,0.9166666666666666,0.033333333333333326,130.6394763470475,0,0,0,0,0.0,4.226352999859955,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,
depth,T0 penetration depth,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,12,12,30.963793747513876,43.96653478560918,58.05170973232983,82.4295800483265,0.3760732368666535,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.344662095353622,0.9166666666666666,0.033333333333333326,115.66801740828272,0,0,0,0,0.0,3.606177500099875,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,4
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,30.96368516204377,43.96638060143887,58.05165385959175,82.42950071274177,0.37607443788140404,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.344650779880076,0.9166666666666666,0.033333333333333326,115.66651856676927,0,6,6,8,0.6666666666666666,10.619672300061211,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,3
depth,T0 penetration depth,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,12,12,29.289478914372342,41.58911869914241,57.863952355522585,82.16297701815635,0.3801026585024375,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.27905034058573,0.9166666666666666,0.033333333333333326,109.521368267971,0,0,0,0,0.0,3.701334100042004,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,2
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,29.289580055563203,41.58926231292961,57.86409639397908,82.16318154321746,0.38009957232654557,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.279044449275009,0.9166666666666666,0.033333333333333326,109.52018843258239,0,4,4,6,0.5,9.71931500005303,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,1
kinetic_energy,T0 melt kinetic energy,nJ,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,12,12,0.9354019097461045,26.503352713913536,1.2915621475963237,36.59467314854665,0.4782750217972097,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,1.8116541432666036,0.75,0.19999999999999996,3.1486744388458234,0,0,0,0,0.0,3.1988236000179313,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,1
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,0.9366502810294723,26.538723632121304,1.2917519007964944,36.60004954979227,0.4781217093813056,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,1.8314258424068084,0.75,0.19999999999999996,3.148683141003423,0,3,3,6,0.5,9.468767000013031,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,2
kinetic_energy,T0 melt kinetic energy,nJ,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,12,12,0.9353203156529982,26.501040855228585,1.291432116327925,36.59098888776601,0.4783800684583984,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,1.8104546225505198,0.75,0.19999999999999996,3.1489173866206617,0,0,0,0,0.0,3.2851385999820195,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,
