target,target_unit,comparison_group,model_a,model_b,metric,difference_definition,paired_n,observed_difference,ci_low,ci_high,ci_excludes_zero,robustly_favours_model_a,robustly_favours_model_b,bootstrap_resamples,paired_by_experiment_name,dataset_revision
depth,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,-2.1848291248426968,-3.6734947116467094,-0.8628232467758271,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-1.0081454249617465,-3.0270072405006982,-0.2937496173929964,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,-3.858934231323264,-6.184011389311436,-1.6619948303559289,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-1.1957028905744167,-5.2516596554091395,-0.06080026083941918,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,-0.00010122286943925474,-0.0001931085822283407,1.3332182657066474e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-3.61113122835377e-05,-0.00017743092202548993,6.020141078737495e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,MAE,model_a minus model_b; negative favours model_a,12,-0.01886243726322334,-0.042066933184065826,0.002646945399457219,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,RMSE,model_a minus model_b; negative favours model_a,12,-0.030406646796208747,-0.049826672523454366,0.009516670784813455,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.018761214393784087,-0.002015054593406473,0.043235869486748325,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.03037053548392521,-0.008224286711607664,0.052361937639898666,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
