grouping,group,model,n,MAE,RMSE,median_absolute_error,q75_absolute_error,q90_absolute_error,q95_absolute_error,maximum_absolute_error,difference_estimate,difference_ci_low,difference_ci_high,bootstrap_resamples,causal_claim
has_keyhole,False,matern32_learned_nugget,101,5.303818789421685,9.787690798355133,2.79256059405526,5.3659017462962595,10.621742881378907,19.935347382215994,56.608977984130426,,,,,
has_keyhole,True,matern32_learned_nugget,63,22.57236059857455,32.9314369544306,14.490766264550714,31.201896721962598,58.6428927416221,73.10531538996973,122.11549332935994,,,,,
keyhole_timing_relative_to_T0,before_T0,matern32_learned_nugget,22,12.287082923417953,17.739333404433392,6.784325518799406,16.182512028017726,34.10464479040248,41.92441212735463,43.602584273636296,,,,,
keyhole_timing_relative_to_T0,no_Keyhole,matern32_learned_nugget,101,5.303818789421685,9.787690798355133,2.79256059405526,5.3659017462962595,10.621742881378907,19.935347382215994,56.608977984130426,,,,,
keyhole_timing_relative_to_T0,spans_multiple_T0_regions,matern32_learned_nugget,41,28.091290082804928,38.698069568267385,20.25464374088159,33.96436695448595,64.26430842614086,79.27105530654107,122.11549332935994,,,,,
keyhole_transient_by_sequence,False,matern32_learned_nugget,33,28.141374083918382,37.760570660474954,21.042636266020452,33.96436695448595,61.181078069518556,68.19364485450924,122.11549332935994,,,,,
keyhole_transient_by_sequence,True,matern32_learned_nugget,30,16.446445764696353,26.626307808076675,7.088884108204695,19.712467572676825,42.39977607807402,63.22024334173382,82.51511956936784,,,,,
keyhole_persistent_to_last_physical_frame,False,matern32_learned_nugget,30,16.446445764696353,26.626307808076675,7.088884108204695,19.712467572676825,42.39977607807402,63.22024334173382,82.51511956936784,,,,,
keyhole_persistent_to_last_physical_frame,True,matern32_learned_nugget,33,28.141374083918382,37.760570660474954,21.042636266020452,33.96436695448595,61.181078069518556,68.19364485450924,122.11549332935994,,,,,
keyhole_frame_count_quantile,"(1.999, 32.0]",matern32_learned_nugget,16,18.214258508673865,28.528085295912927,6.217060273459005,25.478403663841377,42.93435749832392,53.33071809756918,82.51511956936784,,,,,
keyhole_frame_count_quantile,"(148.0, 194.0]",matern32_learned_nugget,16,17.063532095082735,23.37541819363308,11.620955857293907,24.362835435816045,37.47241656508105,47.961032211792414,60.19627330030724,,,,,
keyhole_frame_count_quantile,"(32.0, 93.0]",matern32_learned_nugget,16,28.757284230793957,44.295211565906314,14.05039230691311,38.863003937493275,71.76768186634096,89.98216481224578,122.11549332935994,,,,,
keyhole_frame_count_quantile,"(93.0, 148.0]",matern32_learned_nugget,15,26.499834690492552,31.796194225016844,23.17484295159329,33.75792360841536,46.59538661130935,58.92685420393548,74.08764949706185,,,,,
has_keyhole_true_minus_false_bootstrap,MAE,matern32_learned_nugget,164,,,,,,,,17.268541809152865,11.687023572642646,23.30896845134998,2000.0,False
has_keyhole_true_minus_false_bootstrap,RMSE,matern32_learned_nugget,164,,,,,,,,23.14374615607547,13.748766950976465,33.44238315151577,2000.0,False
