target,input,experiment_name,standardized_local_sensitivity,finite_difference_step_input_units,step_fraction_input_sd,range_guard_pass,support_guard_pass,valid_supported_evaluation,nearest_minus_standardized,nearest_plus_standardized,support_distance_threshold,model_configuration,interpretation
width,P,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,,5.058805236448894,0.05,False,True,False,0.050000000000000044,0.050000000000000266,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1.183853615284535,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.04999999999999982,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,0.9294194058702508,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,1.2613439155529724,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.04999999999999982,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,0.9213199899159015,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,1.064614127640202,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.04999999999999982,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,0.8068959671118134,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,0.918193125494324,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,1.0174672745461075,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,0.9500343455420034,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.04999999999999982,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,0.7731506556274361,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,0.8377636413160826,5.058805236448894,0.05,True,True,True,0.050000000000000266,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0.9704032608487977,5.058805236448894,0.05,True,True,True,0.050000000000000266,0.04999999999999982,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0.8750933323926784,5.058805236448894,0.05,True,True,True,0.050000000000000266,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,1.097557574612439,5.058805236448894,0.05,True,True,True,0.04999999999999982,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,1.1199118102786014,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000266,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,0.7069667233963638,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,1.0392573936405836,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,1.5071789412013419,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,0.8346910817999754,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,0.7798793515576059,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,1.229790256334131,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000044,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,0.8852264018560192,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000266,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
width,P,P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,0.6173962132106704,5.058805236448894,0.05,True,True,True,0.050000000000000044,0.050000000000000266,1.1837705590429421,matern32_learned_nugget,derivative of fitted GP mean; not a causal simulator derivative
