target,target_label,target_unit,input,input_meaning,input_unit,spearman_rho,p_value,ci_low,ci_high,confidence_level,bootstrap_resamples,bootstrap_seed,simulation_count,resample_unit,analysis_type,causal_claim
width,T0 melt-pool width,um,P,laser power,W,0.023922299457238855,0.7610858518692222,-0.14864229107853474,0.19910816054380917,0.95,2000,4211787669,164,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,VX,scan speed,m/s,-0.7303361310244446,1.305915018848282e-28,-0.795828161059628,-0.6444843308251562,0.95,2000,2738281790,164,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,LS,laser spot radius,um,0.49554500564525994,1.517099105817889e-11,0.3548817370264044,0.6124470794592123,0.95,2000,571329851,164,simulation,marginal association diagnostic,False
width,T0 melt-pool width,um,ST,substrate temperature,K,0.029730795913647922,0.7054964767150246,-0.12249578905275778,0.18855208918980157,0.95,2000,11477675,164,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,P,laser power,W,0.8382381347516765,1.6126592230256789e-44,0.774960762486693,0.8818498425117847,0.95,2000,594910032,164,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,VX,scan speed,m/s,-0.44542053786405117,2.2815206771822096e-09,-0.5484971330781027,-0.3247503584031063,0.95,2000,26572142,164,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,LS,laser spot radius,um,-0.5180661923741379,1.2070053400386319e-12,-0.617950718403844,-0.3899067551907602,0.95,2000,180462037,164,simulation,marginal association diagnostic,False
depth,T0 penetration depth,um,ST,substrate temperature,K,0.09417381959653393,0.23035052048750404,-0.06066202061214105,0.25719509833037646,0.95,2000,3002278538,164,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,P,laser power,W,0.7784310258049596,1.389346313114401e-34,0.6926047119979677,0.8423576128437327,0.95,2000,1550090906,164,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,VX,scan speed,m/s,-0.4791859943139307,8.524588731664889e-11,-0.5873602694811195,-0.35751723028933874,0.95,2000,2406196827,164,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,LS,laser spot radius,um,-0.3886659502400936,2.704752254999911e-07,-0.5084766795501271,-0.24908577476438912,0.95,2000,1733201525,164,simulation,marginal association diagnostic,False
total_height,T0 total vertical melt-pool height,um,ST,substrate temperature,K,0.07379375076517078,0.3476927922096026,-0.0815228866304414,0.22501729689069233,0.95,2000,923694928,164,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,P,laser power,W,0.9348196917551995,9.698683264125195e-75,0.8930674806941278,0.9624997489822619,0.95,2000,982051704,164,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,VX,scan speed,m/s,-0.07253683022050521,0.3559883785647845,-0.2160104229262254,0.07658879205118636,0.95,2000,3882695522,164,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,LS,laser spot radius,um,-0.41797777263885294,2.5642633762325836e-08,-0.5296634881882982,-0.2784638402455815,0.95,2000,2728427503,164,simulation,marginal association diagnostic,False
kinetic_energy,T0 melt kinetic energy,nJ,ST,substrate temperature,K,0.051155577924992854,0.5153522969992216,-0.11383392841528119,0.21005767647848622,0.95,2000,222293905,164,simulation,marginal association diagnostic,False
