target,target_label,target_unit,input,input_unit,standardized_coefficient,sign,absolute_magnitude,ci_low,ci_high,bootstrap_fraction_positive,bootstrap_fraction_negative,bootstrap_resamples,bootstrap_seed,selected_alpha,five_fold_cv_standardized_rmse,simulation_count,x_standardized,y_standardized,interpretation
width,T0 melt-pool width,um,P,W,0.4326715660694561,positive,0.4326715660694561,0.369835770823959,0.4998506315213264,1.0,0.0,2000,1596119001,1.0,0.29676252946781745,164,True,True,conditional linear association; not a causal physical constant
width,T0 melt-pool width,um,VX,m/s,-0.7178568026050205,negative,0.7178568026050205,-0.7944144229529784,-0.6510260784667988,0.0,1.0,2000,1596119001,1.0,0.29676252946781745,164,True,True,conditional linear association; not a causal physical constant
width,T0 melt-pool width,um,LS,um,0.7142492820623939,positive,0.7142492820623939,0.6453107100414391,0.7905725423342246,1.0,0.0,2000,1596119001,1.0,0.29676252946781745,164,True,True,conditional linear association; not a causal physical constant
width,T0 melt-pool width,um,ST,K,-0.011819622508397062,negative,0.011819622508397062,-0.05504556890311788,0.030235241250126627,0.3085,0.6915,2000,1596119001,1.0,0.29676252946781745,164,True,True,conditional linear association; not a causal physical constant
depth,T0 penetration depth,um,P,W,0.5487054745355171,positive,0.5487054745355171,0.4648032643364503,0.6321323727766415,1.0,0.0,2000,3124812361,1.0,0.5940218213409694,164,True,True,conditional linear association; not a causal physical constant
depth,T0 penetration depth,um,VX,m/s,-0.4508217205709943,negative,0.4508217205709943,-0.5370300181516527,-0.36670847802853623,0.0,1.0,2000,3124812361,1.0,0.5940218213409694,164,True,True,conditional linear association; not a causal physical constant
depth,T0 penetration depth,um,LS,um,-0.2133019408470169,negative,0.2133019408470169,-0.29926039683754824,-0.13267011820162586,0.0,1.0,2000,3124812361,1.0,0.5940218213409694,164,True,True,conditional linear association; not a causal physical constant
depth,T0 penetration depth,um,ST,K,-0.004243063890058244,negative,0.004243063890058244,-0.0931681558068934,0.08775075214194271,0.467,0.5329999999999999,2000,3124812361,1.0,0.5940218213409694,164,True,True,conditional linear association; not a causal physical constant
total_height,T0 total vertical melt-pool height,um,P,W,0.5444586765074054,positive,0.5444586765074054,0.4550193674411281,0.6359155152586474,1.0,0.0,2000,2733701087,1.0,0.626937155751728,164,True,True,conditional linear association; not a causal physical constant
total_height,T0 total vertical melt-pool height,um,VX,m/s,-0.46147063162067004,negative,0.46147063162067004,-0.5556854767338342,-0.3676251343668517,0.0,1.0,2000,2733701087,1.0,0.626937155751728,164,True,True,conditional linear association; not a causal physical constant
total_height,T0 total vertical melt-pool height,um,LS,um,-0.17148366450690083,negative,0.17148366450690083,-0.26520955930226325,-0.08390742482011976,0.0,1.0,2000,2733701087,1.0,0.626937155751728,164,True,True,conditional linear association; not a causal physical constant
total_height,T0 total vertical melt-pool height,um,ST,K,-0.01603844157615149,negative,0.01603844157615149,-0.10804915338951508,0.07271516766402024,0.3675,0.6325000000000001,2000,2733701087,1.0,0.626937155751728,164,True,True,conditional linear association; not a causal physical constant
kinetic_energy,T0 melt kinetic energy,nJ,P,W,0.9434498345844975,positive,0.9434498345844975,0.8972661720990791,0.9964750217705909,1.0,0.0,2000,1019548261,1.0,0.4414983579613841,164,True,True,conditional linear association; not a causal physical constant
kinetic_energy,T0 melt kinetic energy,nJ,VX,m/s,-0.12624116985265754,negative,0.12624116985265754,-0.1954876751830055,-0.05506070073511466,0.0,1.0,2000,1019548261,1.0,0.4414983579613841,164,True,True,conditional linear association; not a causal physical constant
kinetic_energy,T0 melt kinetic energy,nJ,LS,um,0.10083219861204787,positive,0.10083219861204787,0.041531112960286096,0.16472609923004222,0.9995,0.0004999999999999449,2000,1019548261,1.0,0.4414983579613841,164,True,True,conditional linear association; not a causal physical constant
kinetic_energy,T0 melt kinetic energy,nJ,ST,K,-0.002045789301505758,negative,0.002045789301505758,-0.07415574864412096,0.062395264221503266,0.47,0.53,2000,1019548261,1.0,0.4414983579613841,164,True,True,conditional linear association; not a causal physical constant
