model,model_label,worst_simulation_count,squared_error_contribution,total_squared_error,fraction_total_squared_error,percent_total_squared_error,diagnostic_only
matern32_no_nugget,"Matérn 3/2, numerical jitter",1,14778.329398434256,72793.62450537916,0.20301680949191087,20.301680949191084,True
matern32_no_nugget,"Matérn 3/2, numerical jitter",3,25238.18137385602,72793.62450537916,0.34670867875236816,34.670867875236816,True
matern32_no_nugget,"Matérn 3/2, numerical jitter",5,33130.06155943531,72793.62450537916,0.4551231208027995,45.51231208027995,True
matern32_no_nugget,"Matérn 3/2, numerical jitter",10,47375.06466770206,72793.62450537916,0.6508133780891928,65.08133780891929,True
matern32_no_nugget,"Matérn 3/2, numerical jitter",20,60621.04179288047,72793.62450537916,0.8327795490991221,83.27795490991221,True
matern32_learned_nugget,Matérn 3/2 + learned nugget,1,14912.19371107295,77997.89902025396,0.1911871204018028,19.11871204018028,True
matern32_learned_nugget,Matérn 3/2 + learned nugget,3,28004.838878032715,77997.89902025396,0.35904606700701786,35.904606700701784,True
matern32_learned_nugget,Matérn 3/2 + learned nugget,5,37623.72002352236,77997.89902025396,0.48236837781684977,48.236837781684976,True
matern32_learned_nugget,Matérn 3/2 + learned nugget,10,52899.721468220545,77997.89902025396,0.6782198255684285,67.82198255684287,True
matern32_learned_nugget,Matérn 3/2 + learned nugget,20,66300.58767949433,77997.89902025396,0.8500304304642597,85.00304304642597,True
matern52_no_nugget,"Matérn 5/2, numerical jitter",1,14042.521507023344,72771.23293126543,0.19296803065418608,19.296803065418608,True
matern52_no_nugget,"Matérn 5/2, numerical jitter",3,25449.041467839772,72771.23293126543,0.3497129352181945,34.971293521819454,True
matern52_no_nugget,"Matérn 5/2, numerical jitter",5,33738.05240024576,72771.23293126543,0.4636179853117556,46.36179853117556,True
matern52_no_nugget,"Matérn 5/2, numerical jitter",10,45673.77090628527,72771.23293126543,0.6276349742407894,62.76349742407895,True
matern52_no_nugget,"Matérn 5/2, numerical jitter",20,57896.68790682959,72771.23293126543,0.7955985569395906,79.55985569395907,True
