target,input,week6_standardized_coefficient,week6_simulation_count,week6_selected_alpha,new_data_standardized_coefficient,new_data_ci_low,new_data_ci_high,new_data_simulation_count,new_data_selected_alpha,same_sign,new_data_ci_includes_zero,absolute_magnitude_change,comparison_status
width,P,0.4749867526441971,241,1e-06,0.4326715660694561,0.369835770823959,0.4998506315213264,164,1.0,True,False,-0.04231518657474098,SAME_SIGN_SIMILAR
width,VX,-0.7481354128372115,241,1e-06,-0.7178568026050205,-0.7944144229529784,-0.6510260784667988,164,1.0,True,False,-0.030278610232191028,SAME_SIGN_SIMILAR
width,LS,0.3730581392954688,241,1e-06,0.7142492820623939,0.6453107100414391,0.7905725423342246,164,1.0,True,False,0.3411911427669251,SAME_SIGN_STRONGER
width,ST,0.0262198960731801,241,1e-06,-0.011819622508397062,-0.05504556890311788,0.030235241250126627,164,1.0,False,True,-0.014400273564783038,INCONCLUSIVE_CI_INCLUDES_ZERO
depth,P,0.8187176048603785,241,1.0,0.5487054745355171,0.4648032643364503,0.6321323727766415,164,1.0,True,False,-0.2700121303248614,SAME_SIGN_WEAKER
depth,VX,-0.4997797649322764,241,1.0,-0.4508217205709943,-0.5370300181516527,-0.36670847802853623,164,1.0,True,False,-0.048958044361282094,SAME_SIGN_SIMILAR
depth,LS,-0.2141664210530731,241,1.0,-0.2133019408470169,-0.29926039683754824,-0.13267011820162586,164,1.0,True,False,-0.0008644802060562007,SAME_SIGN_SIMILAR
depth,ST,-0.0487558712248503,241,1.0,-0.004243063890058244,-0.0931681558068934,0.08775075214194271,164,1.0,True,True,-0.04451280733479206,INCONCLUSIVE_CI_INCLUDES_ZERO
kinetic_energy,P,0.9725668726693808,241,1e-06,0.9434498345844975,0.8972661720990791,0.9964750217705909,164,1.0,True,False,-0.029117038084883307,SAME_SIGN_SIMILAR
kinetic_energy,VX,-0.0941003238970966,241,1e-06,-0.12624116985265754,-0.1954876751830055,-0.05506070073511466,164,1.0,True,False,0.03214084595556094,SAME_SIGN_SIMILAR
kinetic_energy,LS,0.0174181893094601,241,1e-06,0.10083219861204787,0.041531112960286096,0.16472609923004222,164,1.0,True,False,0.08341400930258777,SAME_SIGN_STRONGER
kinetic_energy,ST,-0.0208541503525669,241,1e-06,-0.002045789301505758,-0.07415574864412096,0.062395264221503266,164,1.0,True,True,-0.018808361051061144,INCONCLUSIVE_CI_INCLUDES_ZERO
total_height,P,0.79302715821418,241,1.0,0.5444586765074054,0.4550193674411281,0.6359155152586474,164,1.0,True,False,-0.2485684817067746,SAME_SIGN_WEAKER
total_height,VX,-0.3774459689396791,241,1.0,-0.46147063162067004,-0.5556854767338342,-0.3676251343668517,164,1.0,True,False,0.08402466268099096,SAME_SIGN_STRONGER
total_height,LS,-0.0353322462849893,241,1.0,-0.17148366450690083,-0.26520955930226325,-0.08390742482011976,164,1.0,True,False,0.13615141822191154,SAME_SIGN_STRONGER
total_height,ST,-0.0500049657285354,241,1.0,-0.01603844157615149,-0.10804915338951508,0.07271516766402024,164,1.0,True,True,-0.03396652415238391,INCONCLUSIVE_CI_INCLUDES_ZERO
