slice_pair,x_feature,y_feature,grid_i,grid_j,x_value_raw,y_value_raw,x_value_display,y_value_display,x_units,y_units,P,VX,LS,ST,fixed_P,fixed_VX,fixed_LS,fixed_ST,inside_standardized_4d_convex_hull,nearest_observed_standardized_4d_distance,nearest_observed_experiment,nn_support_radius,inside_nn_support_radius,supported,support_reason,binary_gpc_keyhole_probability,binary_gpc_predicted_keyhole,max_depth_gpr_mean_um,max_depth_gpr_latent_std_um,max_depth_gaussian_tail_keyhole_probability,max_depth_predicted_keyhole,descriptive_full_common_threshold_um,binary_max_depth_disagreement,binary_boundary_level,max_depth_boundary_level_um,population,fit_status,held_out_performance_claim,available_to_active_method,surface_interpretation
P-VX,P,VX,0,0,52.5445860993,0.201002332148,52.5445860993,0.201002332148,W,m/s,52.5445860993,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,1.003061126137211,P-93p2349412886_VX-0p318136092994_LS-6p37701091846e-05_ST-373p005608841_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51637010363e-05_H-95ed9fb76f,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.0006968932713107279,False,55.92372410562294,44.91274706461682,0.12042190688595539,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,1,0,60.488941893454,0.201002332148,60.488941893454,0.201002332148,W,m/s,60.488941893454,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.9711535701123225,P-93p2349412886_VX-0p318136092994_LS-6p37701091846e-05_ST-373p005608841_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51637010363e-05_H-95ed9fb76f,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.0007360727718150883,False,56.72659399264644,43.003272741986805,0.11385289923612646,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,2,0,68.433297687608,0.201002332148,68.433297687608,0.201002332148,W,m/s,68.433297687608,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.9453972381088571,P-93p2349412886_VX-0p318136092994_LS-6p37701091846e-05_ST-373p005608841_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p51637010363e-05_H-95ed9fb76f,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.000794898935623678,False,57.67103230576811,41.13117769834338,0.10781490180476422,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,3,0,76.377653481762,0.201002332148,76.377653481762,0.201002332148,W,m/s,76.377653481762,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.9149527716814343,P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.0008783066454043365,False,58.73075231886034,39.321706902117626,0.10235210574676445,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,4,0,84.322009275916,0.201002332148,84.322009275916,0.201002332148,W,m/s,84.322009275916,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.8865920300610268,P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.0009933229392800058,False,59.87386743375251,37.588421289610885,0.09743029293934408,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,5,0,92.26636507007001,0.201002332148,92.26636507007001,0.201002332148,W,m/s,92.26636507007001,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.854718846895246,P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.001149907811054618,False,61.06418524796821,35.92584566758332,0.09288566065872667,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,6,0,100.21072086422402,0.201002332148,100.21072086422402,0.201002332148,W,m/s,100.21072086422402,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.7756481197600237,P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,0.7360368371986483,False,False,outside_4d_convex_hull_and_nn_radius,0.0013621685246789639,False,62.2630097704886,34.3036653765755,0.08837695636128884,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,7,0,108.15507665837801,0.201002332148,108.15507665837801,0.201002332148,W,m/s,108.15507665837801,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.6973842206734154,P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,0.7360368371986483,True,False,outside_4d_convex_hull,0.0016501213566471051,False,63.43119437675105,32.6651779643424,0.08336123320351196,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,8,0,116.099432452532,0.201002332148,116.099432452532,0.201002332148,W,m/s,116.099432452532,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.6202326530496113,P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,0.7360368371986483,True,False,outside_4d_convex_hull,0.002042265618683814,False,64.5310593180486,30.932434236571314,0.07711962473503034,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
P-VX,P,VX,9,0,124.043788246686,0.201002332148,124.043788246686,0.201002332148,W,m/s,124.043788246686,0.201002332148,6.21634030137e-05,349.298273812,,,6.21634030137e-05,349.298273812,False,0.5446663048889087,P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,0.7360368371986483,True,False,outside_4d_convex_hull,0.002579384475552615,False,65.5277814455952,29.019559452553665,0.06886702151176305,False,108.601,False,0.5,108.601,primary_common_full,descriptive_oracle_not_held_out,False,False,supported_2d_slice_of_4d_descriptive_models
