benchmark_population,run_id,repeat,fold,method,formulation,budget,threshold,balanced_accuracy,sensitivity,specificity,minimum_class_recall,accuracy,standardized_distance_from_training_median,direction,comparison_operator,max_negative,min_positive,observed_gap,class_separable,queried_positive_count,queried_negative_count,threshold_units,training_scope,test_information_used,unqueried_pool_information_used
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,12,101.421515,1.0,1.0,1.0,1.0,1.0,1.4529350816834716,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,2,10,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,13,101.421515,1.0,1.0,1.0,1.0,1.0,1.574276381247073,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,2,11,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,14,101.421515,1.0,1.0,1.0,1.0,1.0,1.677568134483037,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,2,12,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,15,101.421515,1.0,1.0,1.0,1.0,1.0,1.7711793039177381,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,2,13,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,16,101.421515,1.0,1.0,1.0,1.0,1.0,0.6774050532109956,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,3,13,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,17,101.421515,1.0,1.0,1.0,1.0,1.0,0.666590347778046,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,3,14,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,18,101.421515,1.0,1.0,1.0,1.0,1.0,0.6536832550861816,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,3,15,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,19,101.421515,1.0,1.0,1.0,1.0,1.0,0.695696534499462,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,3,16,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,20,101.421515,1.0,1.0,1.0,1.0,1.0,0.7436365209046139,higher,>,86.94682999999999,115.89620000000001,28.949370000000016,True,3,17,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,21,103.427865,1.0,1.0,1.0,1.0,1.0,0.7616050388027414,higher,>,90.95953,115.89620000000001,24.936670000000007,True,3,18,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,22,103.427865,1.0,1.0,1.0,1.0,1.0,0.8012064072599064,higher,>,90.95953,115.89620000000001,24.936670000000007,True,3,19,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,23,103.427865,1.0,1.0,1.0,1.0,1.0,0.7718325296884262,higher,>,90.95953,115.89620000000001,24.936670000000007,True,4,19,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,24,104.965995,1.0,1.0,1.0,1.0,1.0,0.7789444495702706,higher,>,94.03579,115.89620000000001,21.86041,True,4,20,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,25,104.965995,1.0,1.0,1.0,1.0,1.0,0.8292492416652536,higher,>,94.03579,115.89620000000001,21.86041,True,4,21,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,26,104.965995,1.0,1.0,1.0,1.0,1.0,0.8404384745831673,higher,>,94.03579,115.89620000000001,21.86041,True,4,22,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,27,104.965995,1.0,1.0,1.0,1.0,1.0,0.8486805716208554,higher,>,94.03579,115.89620000000001,21.86041,True,4,23,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,28,104.965995,1.0,1.0,1.0,1.0,1.0,0.8697351176246946,higher,>,94.03579,115.89620000000001,21.86041,True,4,24,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,29,104.965995,1.0,1.0,1.0,1.0,1.0,0.8776971311291122,higher,>,94.03579,115.89620000000001,21.86041,True,4,25,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,30,104.965995,1.0,1.0,1.0,1.0,1.0,0.8936035004212417,higher,>,94.03579,115.89620000000001,21.86041,True,4,26,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,31,104.965995,1.0,1.0,1.0,1.0,1.0,0.9067185915536086,higher,>,94.03579,115.89620000000001,21.86041,True,4,27,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,32,104.965995,1.0,1.0,1.0,1.0,1.0,0.8747263197819125,higher,>,94.03579,115.89620000000001,21.86041,True,5,27,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,33,104.965995,1.0,1.0,1.0,1.0,1.0,0.8859299114661366,higher,>,94.03579,115.89620000000001,21.86041,True,5,28,um,queried_only,False,False
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,34,104.965995,1.0,1.0,1.0,1.0,1.0,0.8293339828947025,higher,>,94.03579,115.89620000000001,21.86041,True,6,28,um,queried_only,False,False
