benchmark_population,run_id,method,formulation,metric,target,direction,queries_required,status,no_extrapolation
primary_common,primary_common__r01_f01,binary_margin,binary,balanced_accuracy,0.8,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,balanced_accuracy,0.85,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,balanced_accuracy,0.9,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q20_error,0.3,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q20_error,0.25,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q20_error,0.2,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q30_error,0.3,at_most,15.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q30_error,0.25,at_most,15.0,reached,True
primary_common,primary_common__r01_f01,binary_margin,binary,q30_error,0.2,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,balanced_accuracy,0.8,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,balanced_accuracy,0.85,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,balanced_accuracy,0.9,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q20_error,0.3,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q20_error,0.25,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q20_error,0.2,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q30_error,0.3,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q30_error,0.25,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,binary_random,binary,q30_error,0.2,at_most,16.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,balanced_accuracy,0.8,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,balanced_accuracy,0.85,at_least,16.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,balanced_accuracy,0.9,at_least,,not reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,q20_error,0.3,at_most,14.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,q20_error,0.25,at_most,15.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,q20_error,0.2,at_most,15.0,reached,True
primary_common,primary_common__r01_f01,max_depth_random,max_depth,q30_error,0.3,at_most,14.0,reached,True
