benchmark_population,formulation,model,probability_bin,row_count,mean_predicted_probability,observed_keyhole_fraction,status
primary_common,binary,logistic,"(-0.001, 0.1]",1193,0.013508876448544418,0.0008382229673093043,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.1, 0.2]",68,0.15101946444459302,0.19117647058823528,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.2, 0.3]",43,0.24315675353722563,0.27906976744186046,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.3, 0.4]",33,0.35019582119043297,0.30303030303030304,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.4, 0.5]",28,0.44217799503802224,0.5,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.5, 0.6]",11,0.5373094880829226,0.9090909090909091,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.6, 0.7]",16,0.6507893061108436,0.75,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.7, 0.8]",25,0.7543174630465643,0.84,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.8, 0.9]",29,0.8610341776388012,1.0,held_out_20_fold_pooled_diagnostic
primary_common,binary,logistic,"(0.9, 1.0]",174,0.9729115223687539,0.9770114942528736,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(-0.001, 0.1]",1201,0.014165378833697178,0.0033305578684429643,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.1, 0.2]",54,0.13816861049864806,0.018518518518518517,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.2, 0.3]",38,0.24820595699018094,0.21052631578947367,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.3, 0.4]",24,0.36046506070134754,0.6666666666666666,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.4, 0.5]",31,0.44287909823261873,0.41935483870967744,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.5, 0.6]",21,0.5562687784279257,0.6666666666666666,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.6, 0.7]",14,0.6455690195898143,0.7857142857142857,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.7, 0.8]",23,0.7519067990098016,0.782608695652174,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.8, 0.9]",32,0.846434818217503,0.90625,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern32_gpc,"(0.9, 1.0]",182,0.9791583416120326,0.978021978021978,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(-0.001, 0.1]",1211,0.011714293145363087,0.004128819157720892,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.1, 0.2]",54,0.14793094603892862,0.07407407407407407,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.2, 0.3]",29,0.24963652291795557,0.13793103448275862,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.3, 0.4]",26,0.3461002261653181,0.6153846153846154,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.4, 0.5]",28,0.4441198855522625,0.4642857142857143,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.5, 0.6]",20,0.5463817871780848,0.6,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.6, 0.7]",12,0.6400155841089324,0.8333333333333334,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.7, 0.8]",24,0.7566920773896229,0.875,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.8, 0.9]",28,0.8480353266504486,0.8571428571428571,held_out_20_fold_pooled_diagnostic
primary_common,binary,matern52_gpc,"(0.9, 1.0]",188,0.982102997590694,0.973404255319149,held_out_20_fold_pooled_diagnostic
primary_common,binary,prevalence,"(0.1, 0.2]",1620,0.18024691358024683,0.18024691358024691,held_out_20_fold_pooled_diagnostic
primary_common,binary,rbf_gpc,"(-0.001, 0.1]",1216,0.01112519654397344,0.004111842105263158,held_out_20_fold_pooled_diagnostic
primary_common,binary,rbf_gpc,"(0.1, 0.2]",52,0.1486890087276239,0.09615384615384616,held_out_20_fold_pooled_diagnostic
