benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,full_seed_count_for_benchmark,is_limited_seed_count,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_entropy,classifier_entropy,80,5,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091,0.242274,0.001012,1.052224,0.844044,0.377741,1.527394,1.000000,1.000000,1.000000,0.027476,5,False,6,5,5,4,9
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_margin,classifier_margin,80,5,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091,0.242274,0.001012,1.052224,0.844044,0.377741,1.527394,1.000000,1.000000,1.000000,0.027733,5,False,7,6,6,5,10
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,80,5,0.175640,0.008912,0.474000,0.015271,0.425700,0.010405,0.383200,0.014094,0.781800,0.016359,0.966300,0.013567,0.960600,0.014378,0.243160,0.000322,1.287365,1.099328,0.554036,1.937990,1.000000,1.000000,1.000000,0.060686,5,False,3,4,4,6,11
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,80,5,0.184440,0.018303,0.452000,0.018033,0.412600,0.018236,0.375733,0.019103,0.715520,0.064753,0.871600,0.032384,0.865267,0.035146,0.102272,0.011532,1.441832,1.274541,0.599566,2.137693,1.000000,1.000000,1.000000,0.024374,5,False,4,2,3,9,4
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,80,5,0.189820,0.011489,0.469600,0.017188,0.429300,0.017628,0.389867,0.016386,0.683880,0.103941,0.856500,0.047147,0.841800,0.055545,0.099180,0.017068,1.624536,1.519027,0.797758,2.460125,1.000000,1.000000,1.000000,0.024694,5,False,5,7,7,11,2
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,80,5,0.272560,0.022971,0.477000,0.005865,0.457600,0.006398,0.435800,0.006270,0.946600,0.050516,0.961000,0.028912,0.961467,0.028754,0.179555,0.038253,0.907570,0.742380,0.387001,1.231897,1.000000,1.000000,1.000000,0.313498,5,False,10,10,11,1,8
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,80,5,0.235560,0.007847,0.465800,0.007574,0.446300,0.008165,0.412933,0.007971,0.848200,0.078937,0.917200,0.042076,0.913333,0.043669,0.134311,0.017009,0.957138,0.753525,0.328903,1.375053,1.000000,1.000000,1.000000,0.293174,5,False,8,9,9,2,5
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,80,5,0.282660,0.019293,0.478000,0.007376,0.459300,0.003881,0.434200,0.008090,0.919440,0.065801,0.949300,0.038796,0.947000,0.038351,0.174785,0.022987,1.337517,1.130254,0.508493,1.881220,1.000000,1.000000,1.000000,0.000070,5,False,11,11,10,7,7
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,80,5,0.175380,0.008484,0.450800,0.012156,0.408400,0.012575,0.368200,0.010649,0.697440,0.069228,0.876500,0.045566,0.865600,0.044380,0.098685,0.010819,1.395886,1.250842,0.654597,1.952730,1.000000,1.000000,1.000000,0.021023,5,False,2,1,1,8,1
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,80,5,0.236240,0.022286,0.461800,0.021563,0.439600,0.016209,0.412600,0.019825,0.943340,0.018807,0.963800,0.008970,0.960933,0.009810,0.169455,0.010683,1.079449,0.839807,0.406172,1.612873,1.000000,1.000000,1.000000,0.021662,5,False,9,8,8,3,6
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,straddle,straddle,80,5,0.168400,0.021478,0.460000,0.015007,0.415400,0.017080,0.369733,0.016774,0.696420,0.075812,0.878700,0.033780,0.868533,0.033719,0.100353,0.012812,1.435860,1.282224,0.694081,2.079673,1.000000,1.000000,1.000000,0.020966,5,False,1,3,2,10,3
