benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,12,0.3981,0.8983,0.16239824578497755,0.037462300000697724,0.493,1000,0.959,0.17317923764456142,0.492,2000,0.9435,0.1712884833511935,0.4776666666666667,3000,0.945,0.17249433390168623
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,13,0.3802,0.9122,0.16971662926357867,0.03610100000150851,0.478,1000,0.967,0.18047562212681384,0.4835,2000,0.9565,0.17901135388113334,0.4673333333333333,3000,0.9566666666666667,0.17969805577209497
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,14,0.3828,0.8434,0.14968003032851446,0.03827439999986382,0.464,1000,0.927,0.15776474419623288,0.48,2000,0.9135,0.15720728371560927,0.4603333333333333,3000,0.9116666666666666,0.15806115115232913
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,15,0.3792,0.7711,0.13194404380581867,0.04318949999833421,0.456,1000,0.846,0.13636111042581292,0.4705,2000,0.83,0.13718289567390068,0.453,3000,0.831,0.1383395384317064
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,16,0.3806,0.7454,0.12709319696287888,0.04474399999890011,0.459,1000,0.807,0.12809608382247695,0.475,2000,0.7915,0.12994570007287154,0.4603333333333333,3000,0.794,0.1317848172482753
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,17,0.3941,0.7732,0.12866902619373768,0.03865790000054403,0.472,1000,0.862,0.13572376133725708,0.4845,2000,0.847,0.13547473156779324,0.4756666666666667,3000,0.8486666666666667,0.13664850002349768
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,18,0.3781,0.9345,0.18259860717623272,0.035194800000681425,0.471,1000,0.981,0.19717566134799444,0.4765,2000,0.9775,0.1951768996280441,0.46366666666666667,3000,0.9736666666666667,0.1955221607259787
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,19,0.3676,0.9456,0.1873630169700392,0.03926370000044699,0.473,1000,0.982,0.20021751715794403,0.4715,2000,0.9775,0.19808037565790243,0.4603333333333333,3000,0.974,0.19866143974131015
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,20,0.3679,0.9223,0.17924572896498067,0.03500539999913599,0.467,1000,0.979,0.19280232411738107,0.469,2000,0.9715,0.1907863764060385,0.45766666666666667,3000,0.9683333333333334,0.19155486315870918
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,21,0.3686,0.913,0.17539316662804,0.040544700001191813,0.465,1000,0.975,0.18901033393131558,0.467,2000,0.967,0.1869696431061875,0.4573333333333333,3000,0.963,0.18782868315290557
