benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_entropy,classifier_entropy,16,1,0.301250,0.000000,0.450000,0.000000,0.481250,0.000000,0.491667,0.000000,0.982500,0.000000,0.993750,0.000000,0.995833,0.000000,0.248005,0.000000,0.783351,0.614197,0.400547,0.997001,0.000000,0.000000,0.000000,0.002745,9,10,7,6,11
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_margin,classifier_margin,16,1,0.301250,0.000000,0.450000,0.000000,0.481250,0.000000,0.491667,0.000000,0.982500,0.000000,0.993750,0.000000,0.995833,0.000000,0.248005,0.000000,0.783351,0.614197,0.400547,0.997001,0.000000,0.000000,0.000000,0.002841,10,11,8,7,12
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,16,1,0.311250,0.000000,0.375000,0.000000,0.412500,0.000000,0.445833,0.000000,0.986250,0.000000,1.000000,0.000000,1.000000,0.000000,0.247890,0.000000,0.372076,0.367037,0.176424,0.562689,0.250000,0.500000,0.500000,0.003693,11,1,4,1,10
hartmann4,Thresholded 4D Hartmann,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,16,1,0.288750,0.000000,0.387500,0.000000,0.425000,0.000000,0.462500,0.000000,0.977500,0.000000,1.000000,0.000000,1.000000,0.000000,0.247657,0.000000,0.604877,0.496991,0.459865,0.642003,0.000000,0.000000,0.250000,0.243367,7,2,5,4,9
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,16,1,0.281250,0.000000,0.425000,0.000000,0.456250,0.000000,0.470833,0.000000,0.993750,0.000000,0.993750,0.000000,0.995833,0.000000,0.218675,0.000000,0.736339,0.819417,0.701962,0.853793,0.000000,0.000000,0.250000,0.002499,5,7,6,11,7
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,16,1,0.252500,0.000000,0.462500,0.000000,0.437500,0.000000,0.437500,0.000000,0.993750,0.000000,0.993750,0.000000,0.995833,0.000000,0.221744,0.000000,0.784448,0.819417,0.750072,0.853793,0.000000,0.000000,0.000000,0.004553,1,5,3,12,8
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,16,1,0.291250,0.000000,0.450000,0.000000,0.475000,0.000000,0.504167,0.000000,0.963750,0.000000,0.981250,0.000000,0.983333,0.000000,0.179899,0.000000,0.629901,0.433159,0.281293,0.781767,0.250000,0.250000,0.250000,0.023013,8,9,10,2,1
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,16,1,0.285000,0.000000,0.462500,0.000000,0.487500,0.000000,0.508333,0.000000,0.980000,0.000000,0.981250,0.000000,0.983333,0.000000,0.189585,0.000000,0.661541,0.496439,0.246449,0.911531,0.250000,0.250000,0.500000,0.017186,6,12,11,3,2
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,random,random,16,1,0.266250,0.000000,0.487500,0.000000,0.456250,0.000000,0.491667,0.000000,0.986250,0.000000,0.987500,0.000000,0.991667,0.000000,0.207765,0.000000,0.665412,0.792865,0.533210,0.925067,0.250000,0.250000,0.250000,0.000065,4,8,9,10,5
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,16,1,0.262500,0.000000,0.425000,0.000000,0.425000,0.000000,0.429167,0.000000,0.980000,0.000000,0.981250,0.000000,0.987500,0.000000,0.200002,0.000000,0.595704,0.680689,0.465987,0.810406,0.000000,0.250000,0.250000,0.002262,2,3,1,8,3
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,16,1,0.322500,0.000000,0.400000,0.000000,0.450000,0.000000,0.508333,0.000000,0.987500,0.000000,0.987500,0.000000,0.983333,0.000000,0.213732,0.000000,0.600299,0.586400,0.459566,0.727132,0.000000,0.000000,0.000000,0.002060,12,6,12,5,6
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,straddle,straddle,16,1,0.262500,0.000000,0.425000,0.000000,0.425000,0.000000,0.429167,0.000000,0.980000,0.000000,0.981250,0.000000,0.987500,0.000000,0.200002,0.000000,0.595704,0.680689,0.465987,0.810406,0.000000,0.250000,0.250000,0.002028,3,4,2,9,4
