boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B1,20,16,20,0.0529411764706,0.0588235294118,0.109468010444,0.0017085705408,0.1041737824
B1,20,17,20,0.0441176470588,0.0588235294118,0.106045625749,-0.0055132335295,0.0937485276471
B1,20,18,20,0.05,0.0588235294118,0.116519363087,-0.00453274055147,0.104532740551
B1,20,19,20,0.0147058823529,0,0.0829149333798,-0.0240995009762,0.053511265682
B1,20,20,20,0.0470588235294,0.0588235294118,0.102063931315,-0.000708566701685,0.0948262137605
B1,20,21,20,0.0588235294118,0.0588235294118,0.095424365371,0.0141635516946,0.103483507129
B1,20,22,20,0.0470588235294,0.0588235294118,0.123093732654,-0.0105508166928,0.104668463752
B1,20,23,20,0.0529411764706,0.0588235294118,0.0829698257615,0.0141101027161,0.0917722502251
B1,20,24,20,0.0441176470588,0.0588235294118,0.10774927898,-0.00631056778525,0.0945458619029
B1,20,25,20,0.0558823529412,0.0588235294118,0.110420464268,0.00420398490018,0.107560720982
B1,20,26,20,0.0617647058824,0.0588235294118,0.11367120871,0.00856494261074,0.114964469154
B1,20,27,20,0.0558823529412,0.0588235294118,0.0820316598959,0.0174903543274,0.094274351555
B1,20,28,20,0.0352941176471,0.0588235294118,0.0961847309014,-0.0097217220924,0.0803099573865
B1,20,29,20,0.0411764705882,0.0882352941176,0.106431325398,-0.00863492299254,0.090987864169
B1,20,30,20,0.0235294117647,0,0.0882868786261,-0.0177901193301,0.0648489428596
B1,20,31,20,0.0294117647059,0,0.0701223012564,-0.00340648249342,0.0622300119052
B1,20,32,20,0.0264705882353,0,0.0726103553513,-0.00751210412439,0.060453280595
B1,20,33,20,0.0323529411765,0,0.0797807047162,-0.00498557798506,0.069691460338
B1,20,34,20,0.0264705882353,0.0294117647059,0.0842224768428,-0.0129467442715,0.0658879207421
B1,20,35,20,0.0411764705882,0.0588235294118,0.0716636348621,0.00763685705636,0.0747160841201
B1,20,36,20,0.0323529411765,0,0.0774643690012,-0.00390149950034,0.0686073818533
B1,20,37,20,0.0352941176471,0,0.0840601461872,-0.00404724177432,0.0746354770684
B1,20,38,20,0.0264705882353,0,0.0820316598959,-0.0119214103785,0.0648625868491
B1,20,39,20,0.0294117647059,0,0.0674752158443,-0.00216760838554,0.0609911377973
B1,20,40,20,0.0441176470588,0,0.0829149333798,0.00531226372972,0.0829230303879
B1,20,41,20,0.0470588235294,0.0294117647059,0.0844923348776,0.00751519357464,0.0866024534842
B1,20,42,20,0.0441176470588,0.0294117647059,0.085083009806,0.00429757272807,0.0839377213896
