boundary_definition,budget,method,method_label,run_count,mean_q20_error,mean_q20_accuracy,median_q20_accuracy,sd_q20_accuracy,q25_q20_accuracy,q75_q20_accuracy,ci95_q20_accuracy_lower,ci95_q20_accuracy_upper,mean_q30_error,mean_q30_accuracy,median_q30_accuracy,sd_q30_accuracy,q25_q30_accuracy,q75_q30_accuracy,ci95_q30_accuracy_lower,ci95_q30_accuracy_upper,mean_balanced_accuracy,median_balanced_accuracy,sd_balanced_accuracy,mean_sensitivity,median_sensitivity,sd_sensitivity,mean_specificity,median_specificity,sd_specificity,mean_global_error,median_global_error,sd_global_error,mean_brier_score,median_brier_score,sd_brier_score,mean_keyhole_discovered,sd_keyhole_discovered,mean_keyhole_enrichment,accuracy_exactly_one_minus_error
B2,16,binary_uncertainty_repulsion,Binary,20,0.247058823529,0.752941176471,0.794117647059,0.107283471309,0.647058823529,0.823529411765,0.702730966327,0.803151386614,0.17,0.83,0.86,0.0755331924249,0.76,0.88,0.794649377782,0.865350622218,0.8803939717,0.906823027719,0.0788777707563,0.787857142857,0.857142857143,0.168454251785,0.972930800543,0.97749886929,0.0255924221935,0.0604938271605,0.0493827160494,0.0274308711298,0.0803148795728,0.0798084195067,0.0113522226617,5.15,1.26802789277,1.78533752192,True
B2,16,max_depth_straddle,Max-Depth,20,0.267647058824,0.732352941176,0.705882352941,0.101840645264,0.647058823529,0.823529411765,0.684690052034,0.780015830319,0.186,0.814,0.8,0.0748612752117,0.76,0.88,0.778963844718,0.849036155282,0.900172998643,0.915913936809,0.052050101949,0.873333333333,0.897619047619,0.128142792414,0.927012663953,0.924807779285,0.0481065967027,0.0827160493827,0.0864197530864,0.0302671293385,0.0692061645385,0.0700703533762,0.0310815823849,4.25,1.4464111667,1.4731845412,True
B2,16,shared_random_binary_head,Random,20,0.314705882353,0.685294117647,0.647058823529,0.101482365718,0.647058823529,0.764705882353,0.637798908493,0.732789326801,0.214,0.786,0.76,0.0690080086885,0.76,0.84,0.753703257775,0.818296742225,0.78368062286,0.825757575758,0.119431481805,0.580952380952,0.666666666667,0.24379150936,0.986408864767,0.984961555857,0.0137859580292,0.0858024691358,0.0740740740741,0.0389324405204,0.0928975208912,0.0884093551087,0.0174129067021,3.1,1.33377185771,1.07581823495,True
B2,20,binary_uncertainty_repulsion,Binary,20,0.235294117647,0.764705882353,0.764705882353,0.0688114884548,0.705882352941,0.823529411765,0.732501114429,0.796910650277,0.162,0.838,0.84,0.0493750416389,0.8,0.88,0.814891769195,0.861108230805,0.891631453124,0.892424242424,0.0463428990274,0.807380952381,0.8,0.104299217491,0.975881953867,0.984848484848,0.0231167557421,0.0543209876543,0.0493827160494,0.0171815400972,0.0657052513613,0.0653568612951,0.00925939788678,7.4,1.35335839576,2.05316773816,True
B2,20,max_depth_straddle,Max-Depth,20,0.232352941176,0.767647058824,0.764705882353,0.101840645264,0.691176470588,0.823529411765,0.719984169681,0.815309947966,0.162,0.838,0.84,0.0761991849659,0.79,0.88,0.802337683678,0.873662316322,0.926525812496,0.919509594883,0.0327172275338,0.924523809524,0.928571428571,0.0584086006154,0.928527815468,0.932383536861,0.0410279259493,0.0722222222222,0.0679012345679,0.0335779057396,0.0570277381541,0.0517326928915,0.024033755333,5.7,1.30182058753,1.58094389246,True
B2,20,shared_random_binary_head,Random,20,0.308823529412,0.691176470588,0.705882352941,0.0951855055086,0.647058823529,0.764705882353,0.646628282728,0.735724658449,0.21,0.79,0.8,0.0647261437459,0.76,0.84,0.759707232255,0.820292767745,0.789410900045,0.823593073593,0.120539148758,0.591666666667,0.666666666667,0.246129484453,0.987155133424,0.985074626866,0.0132531367458,0.0833333333333,0.0740740740741,0.039219844457,0.0871831755776,0.0787815437676,0.0226038187052,3.55,1.66938375015,0.985397428404,True
B2,30,binary_uncertainty_repulsion,Binary,20,0.211764705882,0.788235294118,0.764705882353,0.0818649851692,0.75,0.838235294118,0.749921301677,0.826549286558,0.144,0.856,0.84,0.0556681899151,0.83,0.89,0.82994648514,0.88205351486,0.909656587194,0.908338179234,0.0471806818883,0.841904761905,0.857142857143,0.102674580395,0.977408412483,0.97749886929,0.0220964681834,0.0469135802469,0.0493827160494,0.0186157292574,0.0471327686344,0.0468388793153,0.0118488889667,12.2,1.19648608323,2.25641729982,True
B2,30,max_depth_straddle,Max-Depth,20,0.214705882353,0.785294117647,0.823529411765,0.105010167662,0.75,0.838235294118,0.736147846361,0.834440388933,0.15,0.85,0.88,0.0744099597182,0.8,0.89,0.815175066871,0.884824933129,0.942923208632,0.951153324288,0.038220310756,0.938571428571,0.966666666667,0.0725459799215,0.947274988693,0.947421981004,0.0283004666798,0.0543209876543,0.0493827160494,0.0260817127055,0.0426636758825,0.0425803276118,0.0153923586302,8.3,1.08093526755,1.53510227937,True
B2,30,shared_random_binary_head,Random,20,0.247058823529,0.752941176471,0.764705882353,0.0886984746971,0.705882352941,0.823529411765,0.711429012485,0.794453340456,0.168,0.832,0.84,0.060314962794,0.8,0.88,0.80377172849,0.86022827151,0.86434128061,0.862878787879,0.0801081175567,0.744523809524,0.733333333333,0.164691301314,0.984158751696,0.984848484848,0.0124561862883,0.0586419753086,0.0555555555556,0.0262274003128,0.064573209093,0.0617644819798,0.0143201750831,5.45,1.63755273117,1.0078842782,True
B2,40,binary_uncertainty_repulsion,Binary,20,0.197058823529,0.802941176471,0.794117647059,0.0940305324391,0.705882352941,0.882352941176,0.758933532646,0.846948820295,0.136,0.864,0.86,0.0666807002773,0.8,0.92,0.83279247164,0.89520752836,0.914369063772,0.912182593526,0.0544060032463,0.848333333333,0.861904761905,0.113186811627,0.980404794211,0.984848484848,0.0139233819842,0.0432098765432,0.0432098765432,0.0189995991127,0.0386906713873,0.038889023922,0.011309255717,16.8,1.70448325245,2.33070280538,True
