dataset,material,setting,repeat,fold,train_rows,test_rows,model,features,train_only_scaling,converged,n_iter,warnings,gamma_P,gamma_VX,sigma_P,sigma_VX,beta_P,beta_VX,alpha,beta_P_near_zero,alpha_extreme,alpha_valid,beta_P_positive,beta_VX_negative
transition_inclusive,Ti64,R1_C1,0,0,47,13,G,log_P|log_VX,True,True,6,,0.38179712869405197,-2.844961401649214,0.09577407842460432,0.5446022735481011,3.986434899445281,-5.223924944554859,-1.3104252487057486,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,0,1,49,11,G,log_P|log_VX,True,True,7,,0.4642561082665715,-2.7452924389939537,0.09668520182983452,0.46533650003360905,4.8017286976724725,-5.899585437195824,-1.2286378112231773,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,0,2,49,11,G,log_P|log_VX,True,True,6,,0.16390947776623455,-2.7724240177618062,0.09049587592681506,0.5910667887463743,1.811236988288724,-4.69054271115789,-2.5896902180589656,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,0,3,48,12,G,log_P|log_VX,True,True,7,,0.20952310623853368,-2.744717081211958,0.09698740512715351,0.587386710646308,2.1603125268053347,-4.672759923682842,-2.163001818349361,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,0,4,47,13,G,log_P|log_VX,True,True,7,,0.39492261452993416,-2.696563273706663,0.08938371082732725,0.5895906985771767,4.418283945414298,-4.573619088995323,-1.035157347400057,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,1,0,47,13,G,log_P|log_VX,True,True,7,,0.29167187592167354,-2.8394901013908935,0.0986961279465142,0.5647685323495583,2.9552514570757786,-5.027705933930146,-1.7012785568186677,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,1,1,49,11,G,log_P|log_VX,True,True,7,,0.19925739703601297,-2.7612693868539324,0.09383737763975757,0.520924794034242,2.1234331355780602,-5.300706394620997,-2.496290702922459,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,1,2,49,11,G,log_P|log_VX,True,True,7,,0.3750851358923796,-2.7667127367207827,0.09668520182983452,0.5462995802206155,3.8794472038495362,-5.064460667539748,-1.30545936094048,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,1,3,47,13,G,log_P|log_VX,True,True,7,,0.31743218865350864,-2.8035407984387013,0.08216449132931315,0.5586341912604602,3.8633743545158534,-5.018562848996053,-1.299010240395139,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,1,4,48,12,G,log_P|log_VX,True,True,7,,0.3869625748068753,-2.7001325564216394,0.09698740512715351,0.5984672022294804,3.989822949686666,-4.511746920069785,-1.1308138172958546,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,2,0,47,13,G,log_P|log_VX,True,True,7,,0.4871763847731235,-2.802495928660272,0.09238763364777704,0.49292670804874067,5.273177432279061,-5.6854211445632625,-1.0781774779207516,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,2,1,49,11,G,log_P|log_VX,True,True,7,,0.45714463614077283,-2.7232687868151433,0.09949448650775998,0.5728003953403544,4.594673053618084,-4.754306751476653,-1.034743211539908,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,2,2,48,12,G,log_P|log_VX,True,True,7,,0.15944794930312764,-2.733160697051298,0.09767514610938874,0.588556200760501,1.6324311317083473,-4.643839778630576,-2.8447385549249935,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,2,3,49,11,G,log_P|log_VX,True,True,7,,0.3309882010004889,-2.7204676702978996,0.09203626013469764,0.5852916977909646,3.5962804281277667,-4.648054432628408,-1.29246162125577,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,2,4,47,13,G,log_P|log_VX,True,True,7,,0.1363743854517671,-2.8488382846284397,0.08850819796830942,0.5388641828546398,1.540810778913342,-5.286746410824121,-3.431145785826215,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,3,0,47,13,G,log_P|log_VX,True,True,8,,0.28189362105340093,-2.8440053409894577,0.09577407842460432,0.544751729193742,2.9433185439138883,-5.2207366926557865,-1.773758638340753,False,False,True,True,True
transition_inclusive,Ti64,R1_C1,3,1,47,13,G,log_P|log_VX,True,True,7,,0.45121083857543903,-2.7260933755395285,0.09238763364777704,0.5763222128931439,4.883887818749168,-4.730154962888745,-0.968522443273524,False,False,True,True,True
