material,repeat,folds,valid_folds,invalid_folds,alpha_mean,alpha_median,beta_P_mean,beta_VX_mean
Ti64,0,5,5,0,-1.665382488747462,-1.3104252487057486,3.435599411525222,-5.012086421117347
Ti64,1,5,5,0,-1.58657053567452,-1.30545936094048,3.362265820141179,-4.984636553031345
Ti64,2,5,5,0,-1.9362533302935276,-1.29246162125577,3.3274745649293203,-5.003673703624604
Ti64,3,5,5,0,-1.5720598563915584,-1.773758638340753,3.434112375170949,-4.967912970720293
Ti64,4,5,5,0,-1.7072811375026582,-1.3698866812337323,3.28709737114114,-4.985455002758957
Ti64,5,5,5,0,-1.681962643373175,-1.6910772348184777,3.426755724418137,-5.014198808606798
Ti64,6,5,5,0,-2.2389773012627323,-1.3240987954779164,3.3287544385854853,-4.983942477055299
Ti64,7,5,5,0,-1.456188713648653,-1.482751125833731,3.454812761960717,-4.994548281803761
Ti64,8,5,5,0,-1.5340441342809596,-1.6350053186228366,3.3908208240452877,-4.9870572256715935
Ti64,9,5,5,0,-1.5235864547983318,-1.4959466373044745,3.3803737934932165,-5.008521220930026
Ti64,10,5,5,0,-1.5155236428144572,-1.4472501210364639,3.326401839791104,-4.979955726335774
Ti64,11,5,5,0,-2.624701748901998,-1.5394535858693268,3.660017506516225,-4.999618400741903
Ti64,12,5,5,0,-0.4313505687862177,-1.1563520809734464,3.0961556982091283,-4.952423977568318
Ti64,13,5,5,0,-2.2520306938234254,-1.3311385630477501,3.249975901623207,-4.968235263458964
Ti64,14,5,5,0,-1.649510247474614,-1.6695020255138031,3.2639295655213147,-4.988241670988013
Ti64,15,5,5,0,-1.8524970228190216,-1.4787548205927836,3.356360415015486,-4.985848331709336
Ti64,16,5,5,0,-1.6215670439475651,-1.5310479282495721,3.322563334145001,-5.006996065490006
Ti64,17,5,5,0,-1.6108837295684295,-1.5568812891522295,3.303284296636531,-5.013958567985827
Ti64,18,5,5,0,-1.6314727225041268,-1.487018196881606,3.3595110682982154,-5.031087934620588
Ti64,19,5,5,0,-2.1681608715338574,-1.416996004536142,3.437001102208761,-4.954076151776804
316L,0,5,5,0,-1.2824505950039136,-1.0390851082127197,4.439181403328023,-4.90500292724872
316L,1,5,4,1,-0.9900423049053098,-0.9383587577232981,5.452278124204985,-4.992949897835574
316L,2,5,5,0,-1.343752655720896,-1.1840922883270324,4.449364655207445,-4.925218218928956
316L,3,5,5,0,-1.3169401021021279,-1.1965376062596793,4.582355853687538,-4.887130216167313
316L,4,5,5,0,-1.3762758461263527,-1.154182665653765,4.5750626966865005,-4.883619032994621
316L,5,5,5,0,-1.5248307695444188,-1.1514528690122232,4.587410159179887,-4.901899141600397
316L,6,5,5,0,-1.1817248048690951,-1.0249653954211289,4.557891682472541,-4.904886191348815
316L,7,5,5,0,-1.1601809104792844,-1.0922242406054639,4.486370751013249,-4.9446529963152255
316L,8,5,5,0,-1.4786509870864728,-1.0676615549561796,4.408950494104826,-4.9537864473109
316L,9,5,5,0,-1.174947079492299,-1.069287955630615,4.466638701854294,-4.906087878416168
316L,10,5,5,0,-1.4249856641441088,-1.0851950138005546,4.404260511716947,-4.912060291940598
316L,11,5,5,0,1.1600578524763279,-0.8180043208825336,4.148240428493689,-4.906035484744413
316L,12,5,5,0,-1.2106431403784412,-1.1389153782338226,4.296982539902017,-4.9232653433677145
316L,13,5,5,0,-1.2937660800073243,-1.2859442177055027,4.380359802062565,-4.963348595278985
316L,14,5,5,0,-1.4032344359128752,-1.1254817211409989,4.214510290920416,-4.9363655150689185
316L,15,5,5,0,-1.241206528981013,-1.28394997044267,4.525389512711219,-4.899646110857843
316L,16,5,5,0,-1.2233756097486137,-0.9778823274497476,4.671138940218966,-4.921441366258397
316L,17,5,5,0,-2.567008116932987,-1.0307523635330686,4.525242504720895,-4.938501370745451
316L,18,5,5,0,-1.0839931297775063,-1.0790602909044495,4.564417586572055,-4.907740954512638
316L,19,5,5,0,-1.2726658069097785,-1.253156905013341,4.554523037168986,-4.916909296176226
