dataset,material,setting,model,metric,mean,ci_lower,ci_upper,repeat_blocks
strict_C_vs_K,Ti64,R1_C1,H,roc_auc,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,H,pr_auc,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,H,balanced_accuracy,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,H,keyhole_recall,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,H,conduction_recall,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,H,brier_score,0.032176045304183894,0.0314729368968036,0.03289006781862197,20
strict_C_vs_K,Ti64,R1_C1,H,accuracy,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,roc_auc,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,pr_auc,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,balanced_accuracy,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,keyhole_recall,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,conduction_recall,1.0,1.0,1.0,20
strict_C_vs_K,Ti64,R1_C1,G,brier_score,0.0319658630582947,0.03066280558984926,0.033366150259629475,20
strict_C_vs_K,Ti64,R1_C1,G,accuracy,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,H,roc_auc,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,H,pr_auc,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,H,balanced_accuracy,0.9545454545454544,0.9545454545454544,0.9545454545454544,20
strict_C_vs_K,316L,R1_C1,H,keyhole_recall,0.9090909090909092,0.9090909090909092,0.9090909090909092,20
strict_C_vs_K,316L,R1_C1,H,conduction_recall,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,H,brier_score,0.020746553073074454,0.02041078397764531,0.02108554743070593,20
strict_C_vs_K,316L,R1_C1,H,accuracy,0.9791666666666667,0.9791666666666667,0.9791666666666667,20
strict_C_vs_K,316L,R1_C1,G,roc_auc,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,G,pr_auc,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,G,balanced_accuracy,0.9545454545454544,0.9545454545454544,0.9545454545454544,20
strict_C_vs_K,316L,R1_C1,G,keyhole_recall,0.9090909090909092,0.9090909090909092,0.9090909090909092,20
strict_C_vs_K,316L,R1_C1,G,conduction_recall,1.0,1.0,1.0,20
strict_C_vs_K,316L,R1_C1,G,brier_score,0.022381305330898986,0.021776392166220675,0.022992648295233505,20
strict_C_vs_K,316L,R1_C1,G,accuracy,0.9791666666666667,0.9791666666666667,0.9791666666666667,20
