dataset,material,setting,repeat,model,roc_auc,pr_auc,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,accuracy,false_negative,false_positive,true_negative,true_positive
strict_C_vs_K,Ti64,R1_C1,0,H,1.0,1.0,1.0,1.0,1.0,0.03167590176634197,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,0,G,1.0,1.0,1.0,1.0,1.0,0.03070565764706205,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,1,H,1.0,1.0,1.0,1.0,1.0,0.030648349339825142,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,1,G,1.0,1.0,1.0,1.0,1.0,0.029581623968644343,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,2,H,1.0,1.0,1.0,1.0,1.0,0.033145015661816914,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,2,G,1.0,1.0,1.0,1.0,1.0,0.03187294058293184,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,3,H,1.0,1.0,1.0,1.0,1.0,0.03459824905869122,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,3,G,1.0,1.0,1.0,1.0,1.0,0.03130223330802633,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,4,H,1.0,1.0,1.0,1.0,1.0,0.03531320373014916,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,4,G,1.0,1.0,1.0,1.0,1.0,0.03965143836648951,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,5,H,1.0,1.0,1.0,1.0,1.0,0.030468010094659492,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,5,G,1.0,1.0,1.0,1.0,1.0,0.032985979026938464,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,6,H,1.0,1.0,1.0,1.0,1.0,0.033574157478167,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,6,G,1.0,1.0,1.0,1.0,1.0,0.029916246806699368,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,7,H,1.0,1.0,1.0,1.0,1.0,0.032217373707085634,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,7,G,1.0,1.0,1.0,1.0,1.0,0.035655496610909214,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,8,H,1.0,1.0,1.0,1.0,1.0,0.03456087461754278,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,8,G,1.0,1.0,1.0,1.0,1.0,0.036364279199806206,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,9,H,1.0,1.0,1.0,1.0,1.0,0.032005733074209806,1.0,0,0,26,22
strict_C_vs_K,Ti64,R1_C1,9,G,1.0,1.0,1.0,1.0,1.0,0.02836078144665453,1.0,0,0,26,22
