budget,log_P_median,log_P_q25,log_P_q75,log_P_physics,log_VX_median,log_VX_q25,log_VX_q75,log_VX_physics,log_LS_median,log_LS_q25,log_LS_q75,log_LS_physics
16,1.0,1.0,1.0,1.0,-0.700986931752313,-0.8628719501366201,-0.4474412070124151,-0.5,-1.1811073949225057,-1.5791617446163866,-0.926610699308052,-1.5
17,1.0,1.0,1.0,1.0,-0.5687444228575009,-0.8876110200505793,-0.3788418295922245,-0.5,-1.1382630774397242,-1.5062170206333938,-0.8162971002479442,-1.5
18,1.0,1.0,1.0,1.0,-0.5427128352756748,-0.7899544656480654,-0.35300505360403145,-0.5,-1.1598040082220926,-1.6245453817565485,-0.8327054555485899,-1.5
19,1.0,1.0,1.0,1.0,-0.5657636228387493,-0.7568892687250457,-0.36425791109387257,-0.5,-1.243783383168858,-1.7247491394602426,-0.8807680027448135,-1.5
20,1.0,1.0,1.0,1.0,-0.5683656398947275,-0.7194409683785055,-0.3782123370235596,-0.5,-1.292764191969178,-1.6864188636589912,-0.8787972529487015,-1.5
21,1.0,1.0,1.0,1.0,-0.5392555718475016,-0.6857613245924924,-0.3869100584150363,-0.5,-1.2743401006288213,-1.6646172030181505,-0.8841303730165386,-1.5
22,1.0,1.0,1.0,1.0,-0.5042211113379085,-0.6583855837541017,-0.40439692406219985,-0.5,-1.297942378124405,-1.6069572771515583,-0.9136936307782273,-1.5
23,1.0,1.0,1.0,1.0,-0.529904254519366,-0.6847573057176968,-0.3665486270661825,-0.5,-1.263327320068187,-1.5910138427111158,-0.8946476074692907,-1.5
24,1.0,1.0,1.0,1.0,-0.5007734864240214,-0.6779135651036416,-0.3923998805373659,-0.5,-1.245115043799295,-1.6136577817911237,-0.9355864980310568,-1.5
25,1.0,1.0,1.0,1.0,-0.48367215458565244,-0.6641043194465568,-0.39362402282017106,-0.5,-1.2477223494875072,-1.553511486715759,-0.9641539886073409,-1.5
26,1.0,1.0,1.0,1.0,-0.48204552439966875,-0.670483025842835,-0.39763378428699697,-0.5,-1.2902346903142727,-1.5839034846443005,-0.9938201901368521,-1.5
27,1.0,1.0,1.0,1.0,-0.48717795166973576,-0.6320073486370034,-0.4031288714059434,-0.5,-1.283920549260938,-1.556666476225801,-1.0527145484685094,-1.5
28,1.0,1.0,1.0,1.0,-0.49863066931744565,-0.6086968224513734,-0.40481438144423215,-0.5,-1.3066671127649472,-1.5735486402545522,-1.0410025829591374,-1.5
29,1.0,1.0,1.0,1.0,-0.48553152299564695,-0.5904439877591666,-0.4038468502890125,-0.5,-1.3089270579509804,-1.5101525151839315,-1.065140301627298,-1.5
30,1.0,1.0,1.0,1.0,-0.4941009039903092,-0.5963981708578209,-0.40319618156372733,-0.5,-1.3190046284695272,-1.5013534012481884,-1.059261853480859,-1.5
31,1.0,1.0,1.0,1.0,-0.4923469221993284,-0.6040110693847387,-0.4083142083011857,-0.5,-1.3274898602234269,-1.4985000303165468,-1.1102368461445924,-1.5
32,1.0,1.0,1.0,1.0,-0.5063004646898089,-0.6073575350258177,-0.4176088520206802,-0.5,-1.3470532457285467,-1.5257024764011882,-1.1156866191313939,-1.5
33,1.0,1.0,1.0,1.0,-0.507938990435182,-0.5987827949353182,-0.4380123006877198,-0.5,-1.3289072416918142,-1.5299174228319936,-1.1073343601239478,-1.5
34,1.0,1.0,1.0,1.0,-0.5290047878188044,-0.6001753138469605,-0.443525382690678,-0.5,-1.3242968677023637,-1.5331852444676728,-1.1273232120677215,-1.5
35,1.0,1.0,1.0,1.0,-0.5255527170762413,-0.5999719456390563,-0.4467414070909338,-0.5,-1.361063668300608,-1.5351592714011413,-1.1569464762808555,-1.5
