challenger,subset,metric,effect,mean,ci_low,ci_high,positive_repeat_blocks
M3_T2,B1_q20,accuracy,TOTAL,-0.06267922794117647,-0.07093301930147061,-0.05429676011029412,0
M3_T2,B1_q20,accuracy,MODEL,-0.05896599264705882,-0.06496576286764706,-0.053060661764705905,0
M3_T2,B1_q20,accuracy,PATH,-0.0037132352941176366,-0.00991268382352938,0.0022451746323529412,10
M3_T2,B1_q20,balanced_accuracy,TOTAL,-0.07428259089001274,-0.08335018358919721,-0.06450382716513087,0
M3_T2,B1_q20,balanced_accuracy,MODEL,-0.0642960220118423,-0.07196731081825072,-0.05674097234552556,0
M3_T2,B1_q20,balanced_accuracy,PATH,-0.00998656887817044,-0.017424150897930202,-0.0032388483844172605,8
M3_T2,B1_q20,keyhole_recall,TOTAL,-0.1268321552579365,-0.14156007796999012,-0.10990254913814484,0
M3_T2,B1_q20,keyhole_recall,MODEL,-0.09150159660218253,-0.1067801486545139,-0.07654938306051584,0
M3_T2,B1_q20,keyhole_recall,PATH,-0.03533055865575397,-0.049091185360863106,-0.02222526700458829,2
M3_T2,B1_q20,roc_auc,TOTAL,-0.06529698155577063,-0.0737522380749676,-0.057378250254519814,0
M3_T2,B1_q20,roc_auc,MODEL,-0.060859773147859106,-0.06730061307236603,-0.05495351954631743,0
M3_T2,B1_q20,roc_auc,PATH,-0.0044372084079115385,-0.009272594885583164,0.00024723610536598315,8
M3_T2,B1_q20,pr_auc,TOTAL,-0.06582636094698763,-0.07833401111975606,-0.05329982162534844,0
M3_T2,B1_q20,pr_auc,MODEL,-0.06401115435032449,-0.07445613289412321,-0.053570301746152724,0
M3_T2,B1_q20,pr_auc,PATH,-0.001815206596663152,-0.008140371679676248,0.004393195935596979,10
M3_T2,B1_q30,accuracy,TOTAL,-0.05237812500000001,-0.05880937499999998,-0.04591546874999999,0
M3_T2,B1_q30,accuracy,MODEL,-0.050820312500000006,-0.05544691406250002,-0.046557617187500004,0
M3_T2,B1_q30,accuracy,PATH,-0.0015578124999999971,-0.006604921875,0.0031313281249999926,11
M3_T2,B1_q30,balanced_accuracy,TOTAL,-0.07170715695137014,-0.07965415804286599,-0.06322672882025179,0
M3_T2,B1_q30,balanced_accuracy,MODEL,-0.06256929599313926,-0.06893558538703592,-0.05636947813697362,0
M3_T2,B1_q30,balanced_accuracy,PATH,-0.009137860958230895,-0.015711832843479965,-0.0031297261437376145,7
M3_T2,B1_q30,keyhole_recall,TOTAL,-0.12682471760010824,-0.14136720518522278,-0.11098812391493056,0
M3_T2,B1_q30,keyhole_recall,MODEL,-0.09614373929022366,-0.10897257613805465,-0.08318694023803888,0
M3_T2,B1_q30,keyhole_recall,PATH,-0.030680978309884567,-0.043468329253754046,-0.01857390873015874,3
M3_T2,B1_q30,roc_auc,TOTAL,-0.05454350581633442,-0.061473757279238414,-0.04758999151315231,0
