contrast,subset,budget,metric,mean_difference,ci_lower,ci_upper
M2-M0,B1_q20,16,accuracy,0.054705882352941174,0.03116176470588235,0.07941176470588233
M2-M0,B1_q20,16,balanced_accuracy,0.08512264124764125,0.05989970966533468,0.1108860896048396
M2-M0,B1_q20,16,keyhole_recall,0.22187698412698414,0.1789714285714286,0.2652703373015873
M2-M0,B1_q20,16,conduction_recall,-0.05163170163170163,-0.07510882381507382,-0.02785532245532247
M2-M0,B1_q20,16,false_negative,-1.4800000000000002,-1.75,-1.2
M2-M0,B1_q20,16,false_positive,0.55,0.29,0.8
M2-M1,B1_q20,16,accuracy,0.001764705882352947,-0.002941176470588226,0.005882352941176478
M2-M1,B1_q20,16,balanced_accuracy,0.0006551781551781572,-0.003785087828837827,0.0049966869935619915
M2-M1,B1_q20,16,keyhole_recall,-0.0027341269841269856,-0.013678571428571425,0.008968353174603174
M2-M1,B1_q20,16,conduction_recall,0.0040444832944832865,-0.0048306818181818225,0.013121314102564091
M2-M1,B1_q20,16,false_negative,0.009999999999999998,-0.06999999999999999,0.0802499999999964
M2-M1,B1_q20,16,false_positive,-0.04,-0.13999999999999999,0.06000000000000001
M2-MH,B1_q20,16,accuracy,0.0,0.0,0.0
M2-MH,B1_q20,16,balanced_accuracy,0.0,0.0,0.0
M2-MH,B1_q20,16,keyhole_recall,0.0,0.0,0.0
M2-MH,B1_q20,16,conduction_recall,0.0,0.0,0.0
M2-MH,B1_q20,16,false_negative,0.0,0.0,0.0
M2-MH,B1_q20,16,false_positive,0.0,0.0,0.0
