repeat,model,subset,accuracy_AULC_16_80
1,M0,B1_q20,0.8095588235294118
1,M0,B1_q30,0.8539999999999999
1,M1,B1_q20,0.8280330882352942
1,M1,B1_q30,0.8688125
1,M2,B1_q20,0.8275735294117647
1,M2,B1_q30,0.867125
1,MH,B1_q20,0.8268382352941176
1,MH,B1_q30,0.8653124999999999
2,M0,B1_q20,0.8175551470588236
2,M0,B1_q30,0.8712499999999999
2,M1,B1_q20,0.8253676470588236
2,M1,B1_q30,0.869375
2,M2,B1_q20,0.824908088235294
2,M2,B1_q30,0.869375
2,MH,B1_q20,0.8236213235294118
2,MH,B1_q30,0.868375
3,M0,B1_q20,0.8238051470588236
3,M0,B1_q30,0.8634375000000001
3,M1,B1_q20,0.8377757352941175
3,M1,B1_q30,0.8615625
3,M2,B1_q20,0.8306985294117647
3,M2,B1_q30,0.8553750000000001
3,MH,B1_q20,0.8289522058823529
3,MH,B1_q30,0.8541874999999999
4,M0,B1_q20,0.7780330882352942
4,M0,B1_q30,0.8463125
4,M1,B1_q20,0.8151654411764706
4,M1,B1_q30,0.8663124999999999
4,M2,B1_q20,0.8166360294117648
4,M2,B1_q30,0.8676875
4,MH,B1_q20,0.8189338235294118
4,MH,B1_q30,0.8692499999999999
5,M0,B1_q20,0.8021139705882353
5,M0,B1_q30,0.8616249999999999
5,M1,B1_q20,0.8297794117647058
5,M1,B1_q30,0.8830625
5,M2,B1_q20,0.8272977941176471
5,M2,B1_q30,0.881625
5,MH,B1_q20,0.8147058823529412
5,MH,B1_q30,0.8728125
6,M0,B1_q20,0.8329963235294118
6,M0,B1_q30,0.8824375
6,M1,B1_q20,0.8334558823529411
6,M1,B1_q30,0.8707499999999999
6,M2,B1_q20,0.8337316176470588
6,M2,B1_q30,0.86875
6,MH,B1_q20,0.8386029411764706
6,MH,B1_q30,0.8695
7,M0,B1_q20,0.8266544117647058
7,M0,B1_q30,0.8729999999999999
7,M1,B1_q20,0.83125
7,M1,B1_q30,0.873625
7,M2,B1_q20,0.8333639705882353
7,M2,B1_q30,0.874875
7,MH,B1_q20,0.8363051470588235
7,MH,B1_q30,0.87625
8,M0,B1_q20,0.8047794117647058
8,M0,B1_q30,0.8659374999999999
8,M1,B1_q20,0.8309742647058824
8,M1,B1_q30,0.87675
8,M2,B1_q20,0.8334558823529413
8,M2,B1_q30,0.8774374999999999
8,MH,B1_q20,0.8356617647058824
8,MH,B1_q30,0.8780624999999999
9,M0,B1_q20,0.8176470588235294
9,M0,B1_q30,0.8705624999999999
9,M1,B1_q20,0.8422794117647058
9,M1,B1_q30,0.8723124999999999
9,M2,B1_q20,0.8434742647058823
9,M2,B1_q30,0.873375
9,MH,B1_q20,0.8509191176470589
9,MH,B1_q30,0.8784375000000001
10,M0,B1_q20,0.8006433823529411
10,M0,B1_q30,0.8627499999999999
10,M1,B1_q20,0.8191176470588235
10,M1,B1_q30,0.870125
10,M2,B1_q20,0.8193933823529411
10,M2,B1_q30,0.8705624999999999
10,MH,B1_q20,0.8189338235294118
10,MH,B1_q30,0.8702499999999999
11,M0,B1_q20,0.8160845588235294
11,M0,B1_q30,0.8644999999999999
11,M1,B1_q20,0.8401654411764705
11,M1,B1_q30,0.8782499999999999
11,M2,B1_q20,0.8445772058823529
11,M2,B1_q30,0.881
11,MH,B1_q20,0.8409926470588236
11,MH,B1_q30,0.8784374999999999
12,M0,B1_q20,0.8011029411764706
12,M0,B1_q30,0.8554375000000001
12,M1,B1_q20,0.8150735294117647
12,M1,B1_q30,0.8618750000000001
12,M2,B1_q20,0.8290441176470589
12,M2,B1_q30,0.8716875
12,MH,B1_q20,0.8226102941176471
12,MH,B1_q30,0.8673124999999999
13,M0,B1_q20,0.8262867647058822
13,M0,B1_q30,0.8775000000000001
13,M1,B1_q20,0.8277573529411765
13,M1,B1_q30,0.869
13,M2,B1_q20,0.8245404411764705
13,M2,B1_q30,0.867125
13,MH,B1_q20,0.8252757352941176
13,MH,B1_q30,0.867625
14,M0,B1_q20,0.8132352941176471
14,M0,B1_q30,0.8686874999999998
14,M1,B1_q20,0.8234375
14,M1,B1_q30,0.8714375000000001
14,M2,B1_q20,0.8220588235294117
14,M2,B1_q30,0.8701874999999999
14,MH,B1_q20,0.8226102941176471
14,MH,B1_q30,0.8699375
15,M0,B1_q20,0.8151654411764706
15,M0,B1_q30,0.8679375
15,M1,B1_q20,0.8227022058823529
15,M1,B1_q30,0.8708124999999999
15,M2,B1_q20,0.8174632352941178
15,M2,B1_q30,0.8666874999999999
15,MH,B1_q20,0.8234375
15,MH,B1_q30,0.8706250000000001
