model,subset,budget,metric,mean,ci_lower,ci_upper
G0,full81,16,roc_auc,0.9794236609161983,0.9764837840020676,0.9822630462406582
G0,full81,16,pr_auc,0.9263103311798654,0.9158842580549295,0.9359816778661141
G0,full81,16,accuracy,0.9296296296296296,0.9243179012345677,0.9350617283950617
G0,full81,16,balanced_accuracy,0.8461251534535117,0.8275401886670545,0.8647265361504167
G0,full81,16,brier_score,0.07550973983778941,0.07235634039995167,0.07893270236247285
G0,full81,40,roc_auc,0.9851660528526198,0.9750334297129072,0.9908253769033618
G0,full81,40,pr_auc,0.9561072709683265,0.9378960107351435,0.9669267673583115
G0,full81,40,accuracy,0.9579012345679011,0.9535802469135801,0.961358024691358
G0,full81,40,balanced_accuracy,0.9159923434774182,0.9046423386315177,0.9246795599922465
G0,full81,40,brier_score,0.042157519540805516,0.03882200754813593,0.04722466886643235
G0,full81,80,roc_auc,0.9925907044862268,0.9918532962891173,0.9932808909995477
G0,full81,80,pr_auc,0.9708861710799926,0.9679375310018958,0.9734905818693858
G0,full81,80,accuracy,0.9624691358024693,0.9602469135802469,0.9646913580246913
G0,full81,80,balanced_accuracy,0.9260290430962073,0.9212313998190865,0.9305962961168186
G0,full81,80,brier_score,0.027722805573831603,0.027063646872969145,0.02837372948401046
G1,full81,16,roc_auc,0.9791054898666838,0.9760776076328317,0.9818956214598005
G1,full81,16,pr_auc,0.9267349414876375,0.9166514585511016,0.9364831304289402
G1,full81,16,accuracy,0.9319753086419753,0.9267901234567901,0.9374074074074074
G1,full81,16,balanced_accuracy,0.8512975705886152,0.8323852200038769,0.8694872035924276
G1,full81,16,brier_score,0.06861320127640488,0.06554851371470868,0.07167024594271515
G1,full81,40,roc_auc,0.9874282483685471,0.9833125530356874,0.9905589622235146
G1,full81,40,pr_auc,0.959350920472161,0.9502786900776108,0.9663943913512328
G1,full81,40,accuracy,0.9587654320987653,0.954567901234568,0.9624691358024691
G1,full81,40,balanced_accuracy,0.9188680299799701,0.9124449376494151,0.9254754595528849
G1,full81,40,brier_score,0.0392864136940455,0.03604508184974705,0.044077155991780276
G1,full81,80,roc_auc,0.9920991148155329,0.9908077868234584,0.9930469099308651
G1,full81,80,pr_auc,0.9704566526210868,0.9678562968488599,0.9727099993739656
G1,full81,80,accuracy,0.9624691358024691,0.9608641975308642,0.9640740740740741
G1,full81,80,balanced_accuracy,0.9226533565936551,0.919336947567358,0.925865722523745
G1,full81,80,brier_score,0.027720698732139802,0.027099176653063398,0.028379840511127154
G2,full81,16,roc_auc,0.8942543128513277,0.8693797516745276,0.913930870000646
G2,full81,16,pr_auc,0.7931096742077923,0.7623110092783948,0.819577144778425
G2,full81,16,accuracy,0.8948148148148147,0.8803703703703704,0.9081481481481483
G2,full81,16,balanced_accuracy,0.8205140208050656,0.8007191275764037,0.8390408355947536
G2,full81,16,brier_score,0.0983604150880715,0.09118267162668411,0.10699021163974576
G2,full81,40,roc_auc,0.9740297645969289,0.9694772285757358,0.978724926773061
G2,full81,40,pr_auc,0.9304033674230057,0.9196796245444431,0.9409898249026974
G2,full81,40,accuracy,0.9530864197530864,0.9475308641975306,0.9583950617283952
G2,full81,40,balanced_accuracy,0.9179282806745492,0.9106382446533567,0.9256584617496931
G2,full81,40,brier_score,0.04611650307674218,0.04253133900032242,0.049663417612662984
G2,full81,80,roc_auc,0.9904482565527342,0.9873467963214234,0.9929571886239795
G2,full81,80,pr_auc,0.9664717486140997,0.9604060334620096,0.9717876990262921
G2,full81,80,accuracy,0.9679012345679012,0.9655555555555555,0.9701234567901235
G2,full81,80,balanced_accuracy,0.935561026038638,0.9311433643470957,0.9397849300575049
G2,full81,80,brier_score,0.02671305486318783,0.025412671224939284,0.028279452810112193
G3,full81,16,roc_auc,0.9028325472206069,0.8839887919708815,0.9204635819818656
G3,full81,16,pr_auc,0.8161697291838163,0.7921717127735896,0.8393952131584058
G3,full81,16,accuracy,0.8934567901234566,0.8740740740740739,0.9103703703703703
G3,full81,16,balanced_accuracy,0.8233647024617173,0.806411920914906,0.8387562835174776
G3,full81,16,brier_score,0.10008152783691124,0.09275754134585726,0.10832121234642411
G3,full81,40,roc_auc,0.9734888759664878,0.9648373941978418,0.9807323060024552
G3,full81,40,pr_auc,0.9304544711553163,0.9138730648968201,0.944757209738602
G3,full81,40,accuracy,0.9522222222222222,0.9434567901234567,0.9598765432098766
G3,full81,40,balanced_accuracy,0.920992472701428,0.9125798079408154,0.9293131970020029
G3,full81,40,brier_score,0.05089268293693879,0.04569000499276847,0.056700780136762524
G3,full81,80,roc_auc,0.9907098059486119,0.9886672212530422,0.9925350455514635
G3,full81,80,pr_auc,0.9685942729989969,0.9642671031773725,0.9724027764203601
G3,full81,80,accuracy,0.9680246913580248,0.9654320987654321,0.9703703703703702
G3,full81,80,balanced_accuracy,0.9366716094850422,0.9320979130322413,0.9409764828455129
G3,full81,80,brier_score,0.027366182217081664,0.02624141119361721,0.028589920489790404
G4,full81,16,roc_auc,0.979460705132347,0.9762862166440527,0.9824049665094441
G4,full81,16,pr_auc,0.9269788509843815,0.91616302815243,0.9369564771606491
G4,full81,16,accuracy,0.931358024691358,0.9259259259259262,0.9369135802469135
G4,full81,16,balanced_accuracy,0.8499077663629903,0.8311536142340247,0.868367227175809
G4,full81,16,brier_score,0.07148307676401613,0.06825307481830503,0.07485734140048601
G4,full81,40,roc_auc,0.9895297322909261,0.9880892178716807,0.9907889691154617
G4,full81,40,pr_auc,0.9627550386558017,0.9588904788734837,0.9664708404963949
G4,full81,40,accuracy,0.9597530864197529,0.9574074074074073,0.9620987654320986
G4,full81,40,balanced_accuracy,0.9211147832267235,0.9154070217096336,0.9267510450991794
G4,full81,40,brier_score,0.03829834486048236,0.03672369870663792,0.04000765922136674
G4,full81,80,roc_auc,0.9925143761710926,0.9915911906915637,0.9933016734509271
G4,full81,80,pr_auc,0.9709370171282359,0.968312565650223,0.9733958845176885
G4,full81,80,accuracy,0.9617283950617284,0.9601234567901236,0.9634567901234566
G4,full81,80,balanced_accuracy,0.9229261807843898,0.9197222903340441,0.9263077663629903
G4,full81,80,brier_score,0.02794284520759189,0.02731173594215038,0.02860529259124185
H,full81,16,roc_auc,0.9842017186793306,0.9774646601946974,0.988885241271995
H,full81,16,pr_auc,0.947281025982184,0.9374700648576942,0.9551154166483934
H,full81,16,accuracy,0.9438271604938271,0.9381481481481482,0.9495061728395061
H,full81,16,balanced_accuracy,0.9081888285843508,0.8938185081088067,0.9218937439426245
H,full81,16,brier_score,0.048328857570660064,0.04407948105021487,0.052857304659699796
H,full81,40,roc_auc,0.9908040533264414,0.9904068596411879,0.991202967844759
H,full81,40,pr_auc,0.9601432441519988,0.9578397635092591,0.962210140513124
H,full81,40,accuracy,0.9604938271604938,0.9588888888888889,0.9620987654320986
