contrast,subset,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
G3-G0,B1_q20,0.013074448529411763,0.005624425551470602,0.0202161075367647,16,0,4,10000
G3-H,B1_q20,-0.00421875000000001,-0.011286994485294148,0.0029734604779411687,8,0,12,10000
G1-G0,B1_q20,-0.0006985294117647034,-0.003662798713235304,0.002274816176470579,9,0,11,10000
G2-G1,B1_q20,0.009797794117647085,0.0006938189338235635,0.01813890165441176,13,0,7,10000
G4-G0,B1_q20,-0.0013602941176470596,-0.0038970588235293815,0.0011122472426470659,8,0,12,10000
G2-H,B1_q20,-0.008193933823529393,-0.015390624999999969,-0.0008959099264705655,7,0,13,10000
G1-H,B1_q20,-0.017991727941176476,-0.02388350183823536,-0.012113970588235306,2,0,18,10000
G4-H,B1_q20,-0.018653492647058834,-0.02502768841911767,-0.012081686580882368,2,0,18,10000
G3-G0,B1_q30,0.003559375000000009,-0.004162578124999997,0.010259374999999972,15,0,5,10000
G3-H,B1_q30,-0.001921874999999984,-0.008390624999999964,0.004100156250000029,11,0,9,10000
G1-G0,B1_q30,-0.0019000000000000128,-0.004143750000000013,0.00045320312499999126,6,0,14,10000
G2-G1,B1_q30,0.0021125000000000115,-0.005828281249999972,0.009315859374999996,13,0,7,10000
G4-G0,B1_q30,-0.001849999999999985,-0.0038312499999999974,9.687500000003041e-05,8,0,12,10000
G2-H,B1_q30,-0.005268749999999994,-0.011812499999999998,0.001068828124999984,9,0,11,10000
G1-H,B1_q30,-0.007381250000000006,-0.01173781250000001,-0.002831250000000045,4,0,16,10000
G4-H,B1_q30,-0.007331249999999978,-0.01152820312499995,-0.0026873437500000005,5,0,15,10000
