repeat,model,subset,accuracy_AULC_16_80
1,G0,B1_q20,0.8095588235294118
1,G0,B1_q30,0.8539999999999999
1,G1,B1_q20,0.8149816176470587
1,G1,B1_q30,0.860125
1,G2,B1_q20,0.8350183823529411
1,G2,B1_q30,0.87575
1,G3,B1_q20,0.831341911764706
1,G3,B1_q30,0.872625
1,G4,B1_q20,0.8158088235294118
1,G4,B1_q30,0.86
1,H,B1_q20,0.8268382352941176
1,H,B1_q30,0.8653124999999999
2,G0,B1_q20,0.8175551470588236
2,G0,B1_q30,0.8712499999999999
2,G1,B1_q20,0.8160845588235294
2,G1,B1_q30,0.8666874999999999
2,G2,B1_q20,0.8073529411764706
2,G2,B1_q30,0.8421249999999999
2,G3,B1_q20,0.7942095588235295
2,G3,B1_q30,0.8270624999999999
2,G4,B1_q20,0.8158088235294118
2,G4,B1_q30,0.869125
2,H,B1_q20,0.8236213235294118
2,H,B1_q30,0.868375
3,G0,B1_q20,0.8238051470588236
3,G0,B1_q30,0.8634375000000001
3,G1,B1_q20,0.821875
3,G1,B1_q30,0.8570625
3,G2,B1_q20,0.8190257352941177
3,G2,B1_q30,0.8608750000000001
3,G3,B1_q20,0.8233455882352942
3,G3,B1_q30,0.8668125
3,G4,B1_q20,0.8193014705882353
3,G4,B1_q30,0.8559999999999999
3,H,B1_q20,0.8289522058823529
3,H,B1_q30,0.8541874999999999
4,G0,B1_q20,0.7780330882352942
4,G0,B1_q30,0.8463125
4,G1,B1_q20,0.7827205882352941
4,G1,B1_q30,0.848625
4,G2,B1_q20,0.8
4,G2,B1_q30,0.8530625000000001
4,G3,B1_q20,0.7990808823529412
4,G3,B1_q30,0.851
4,G4,B1_q20,0.7819852941176471
4,G4,B1_q30,0.8487500000000001
4,H,B1_q20,0.8189338235294118
4,H,B1_q30,0.8692499999999999
5,G0,B1_q20,0.8021139705882353
5,G0,B1_q30,0.8616249999999999
5,G1,B1_q20,0.8039522058823529
5,G1,B1_q30,0.8621874999999999
5,G2,B1_q20,0.8338235294117646
5,G2,B1_q30,0.8804375
5,G3,B1_q20,0.8428308823529411
5,G3,B1_q30,0.8869999999999999
5,G4,B1_q20,0.8063419117647058
5,G4,B1_q30,0.8653124999999999
5,H,B1_q20,0.8147058823529412
5,H,B1_q30,0.8728125
6,G0,B1_q20,0.8329963235294118
6,G0,B1_q30,0.8824375
6,G1,B1_q20,0.8346507352941176
6,G1,B1_q30,0.8782499999999999
6,G2,B1_q20,0.8543198529411764
6,G2,B1_q30,0.8923125000000001
6,G3,B1_q20,0.8601102941176471
6,G3,B1_q30,0.8945624999999999
6,G4,B1_q20,0.8322610294117647
6,G4,B1_q30,0.8780624999999999
6,H,B1_q20,0.8386029411764706
6,H,B1_q30,0.8695
7,G0,B1_q20,0.8266544117647058
7,G0,B1_q30,0.8729999999999999
7,G1,B1_q20,0.8280330882352942
7,G1,B1_q30,0.8710625000000001
7,G2,B1_q20,0.8371323529411765
7,G2,B1_q30,0.8719374999999999
7,G3,B1_q20,0.8336397058823529
7,G3,B1_q30,0.8688125
7,G4,B1_q20,0.8238051470588236
7,G4,B1_q30,0.86725
7,H,B1_q20,0.8363051470588235
7,H,B1_q30,0.87625
8,G0,B1_q20,0.8047794117647058
8,G0,B1_q30,0.8659374999999999
8,G1,B1_q20,0.8048713235294116
8,G1,B1_q30,0.8644999999999999
8,G2,B1_q20,0.8256433823529413
8,G2,B1_q30,0.8724999999999999
8,G3,B1_q20,0.8128676470588235
8,G3,B1_q30,0.8646874999999999
8,G4,B1_q20,0.7912683823529412
8,G4,B1_q30,0.8564999999999999
8,H,B1_q20,0.8356617647058824
8,H,B1_q30,0.8780624999999999
9,G0,B1_q20,0.8176470588235294
9,G0,B1_q30,0.8705624999999999
9,G1,B1_q20,0.804779411764706
9,G1,B1_q30,0.85725
9,G2,B1_q20,0.8370404411764707
9,G2,B1_q30,0.8806249999999999
9,G3,B1_q20,0.8407169117647058
9,G3,B1_q30,0.8849375
9,G4,B1_q20,0.8110294117647058
9,G4,B1_q30,0.8618124999999999
9,H,B1_q20,0.8509191176470589
9,H,B1_q30,0.8784375000000001
10,G0,B1_q20,0.8006433823529411
10,G0,B1_q30,0.8627499999999999
10,G1,B1_q20,0.7941176470588236
10,G1,B1_q30,0.8581875
10,G2,B1_q20,0.8368566176470589
10,G2,B1_q30,0.8849374999999998
10,G3,B1_q20,0.8303308823529412
10,G3,B1_q30,0.8803750000000001
10,G4,B1_q20,0.7935661764705882
10,G4,B1_q30,0.85825
10,H,B1_q20,0.8189338235294118
10,H,B1_q30,0.8702499999999999
11,G0,B1_q20,0.8160845588235294
11,G0,B1_q30,0.8644999999999999
11,G1,B1_q20,0.8261948529411764
11,G1,B1_q30,0.8736875
11,G2,B1_q20,0.8227022058823529
11,G2,B1_q30,0.8665625
11,G3,B1_q20,0.8384191176470589
11,G3,B1_q30,0.881375
11,G4,B1_q20,0.8178308823529411
11,G4,B1_q30,0.8665625
11,H,B1_q20,0.8409926470588236
11,H,B1_q30,0.8784374999999999
12,G0,B1_q20,0.8011029411764706
12,G0,B1_q30,0.8554375000000001
12,G1,B1_q20,0.7985294117647059
12,G1,B1_q30,0.8529375
12,G2,B1_q20,0.7988051470588236
12,G2,B1_q30,0.8495625
12,G3,B1_q20,0.801470588235294
12,G3,B1_q30,0.8571875
12,G4,B1_q20,0.7962316176470587
12,G4,B1_q30,0.851875
12,H,B1_q20,0.8226102941176471
12,H,B1_q30,0.8673124999999999
13,G0,B1_q20,0.8262867647058822
13,G0,B1_q30,0.8775000000000001
13,G1,B1_q20,0.8303308823529412
13,G1,B1_q30,0.8801874999999999
13,G2,B1_q20,0.7858455882352942
13,G2,B1_q30,0.8324999999999999
13,G3,B1_q20,0.8047794117647058
13,G3,B1_q30,0.8483124999999999
13,G4,B1_q20,0.8306066176470587
13,G4,B1_q30,0.88025
13,H,B1_q20,0.8252757352941176
13,H,B1_q30,0.867625
14,G0,B1_q20,0.8132352941176471
14,G0,B1_q30,0.8686874999999998
14,G1,B1_q20,0.799264705882353
14,G1,B1_q30,0.8608749999999998
14,G2,B1_q20,0.8084558823529413
14,G2,B1_q30,0.8504999999999999
14,G3,B1_q20,0.8325367647058824
14,G3,B1_q30,0.8707499999999999
14,G4,B1_q20,0.8027573529411764
14,G4,B1_q30,0.862125
14,H,B1_q20,0.8226102941176471
14,H,B1_q30,0.8699375
15,G0,B1_q20,0.8151654411764706
15,G0,B1_q30,0.8679375
