model,contrast,subset,budget,metric,mean,ci_lower,ci_upper
P0,none,B1_q20,16,accuracy,0.7858823529411766,0.768235294117647,0.803529411764706
P1,none,B1_q20,16,accuracy,0.7858823529411766,0.7688235294117647,0.8029411764705884
difference,P1-P0,B1_q20,16,accuracy,0.0,0.0,0.0
P0,none,B1_q20,16,balanced_accuracy,0.7719142107892109,0.7514351901570651,0.7904943903318904
P1,none,B1_q20,16,balanced_accuracy,0.7719142107892109,0.7509289672133421,0.7902291937229438
difference,P1-P0,B1_q20,16,balanced_accuracy,0.0,0.0,0.0
P0,none,B1_q20,16,keyhole_recall,0.7221190476190478,0.6665114087301587,0.7731904761904763
P1,none,B1_q20,16,keyhole_recall,0.7221190476190478,0.666134623015873,0.77335376984127
difference,P1-P0,B1_q20,16,keyhole_recall,0.0,0.0,0.0
P0,none,B1_q20,16,conduction_recall,0.8217093739593739,0.7872731275668776,0.8565720758408257
P1,none,B1_q20,16,conduction_recall,0.8217093739593739,0.7874791729104229,0.8556320804195802
difference,P1-P0,B1_q20,16,conduction_recall,0.0,0.0,0.0
P0,none,B1_q20,16,false_negative,1.8,1.4600000000000004,2.1500000000000004
P1,none,B1_q20,16,false_negative,1.8,1.4600000000000004,2.1500000000000004
difference,P1-P0,B1_q20,16,false_negative,0.0,0.0,0.0
P0,none,B1_q20,16,false_positive,1.8399999999999999,1.47,2.21
P1,none,B1_q20,16,false_positive,1.8399999999999999,1.46,2.21
difference,P1-P0,B1_q20,16,false_positive,0.0,0.0,0.0
P0,none,B1_q20,40,accuracy,0.8494117647058823,0.8405882352941176,0.8576470588235295
P1,none,B1_q20,40,accuracy,0.8464705882352941,0.8388235294117647,0.8541176470588236
difference,P1-P0,B1_q20,40,accuracy,-0.0029411764705882526,-0.012941176470588267,0.006470588235294112
P0,none,B1_q20,40,balanced_accuracy,0.8362605311355311,0.8266224417943168,0.8461589695027196
P1,none,B1_q20,40,balanced_accuracy,0.8270682511932513,0.8175711011211012,0.836186961996337
difference,P1-P0,B1_q20,40,balanced_accuracy,-0.009192279942279951,-0.019712941919191908,0.0012112599206348883
P0,none,B1_q20,40,keyhole_recall,0.7724404761904762,0.755447619047619,0.7890595238095238
P1,none,B1_q20,40,keyhole_recall,0.7487380952380953,0.7299874999999999,0.7662342261904763
difference,P1-P0,B1_q20,40,keyhole_recall,-0.023702380952380912,-0.04384523809523806,-0.003673412698412672
P0,none,B1_q20,40,conduction_recall,0.9000805860805862,0.8875838626651126,0.9113799665612164
P1,none,B1_q20,40,conduction_recall,0.9053984071484071,0.8924997571872572,0.9164899475524476
difference,P1-P0,B1_q20,40,conduction_recall,0.0053178210678210824,-0.007719886363636337,0.01629980158730161
P0,none,B1_q20,40,false_negative,1.5100000000000002,1.4099999999999997,1.6200000000000003
P1,none,B1_q20,40,false_negative,1.6199999999999999,1.53,1.7099999999999997
difference,P1-P0,B1_q20,40,false_negative,0.11000000000000001,-0.020000000000000007,0.23024999999999649
P0,none,B1_q20,40,false_positive,1.0500000000000003,0.9400000000000002,1.17
P1,none,B1_q20,40,false_positive,0.99,0.89,1.11
difference,P1-P0,B1_q20,40,false_positive,-0.059999999999999984,-0.18,0.08
P0,none,B1_q20,80,accuracy,0.8576470588235294,0.8529411764705882,0.8623529411764705
P1,none,B1_q20,80,accuracy,0.8611764705882354,0.8547058823529412,0.8670588235294119
difference,P1-P0,B1_q20,80,accuracy,0.003529411764705892,-0.000588235294117645,0.00823529411764708
P0,none,B1_q20,80,balanced_accuracy,0.8320654206904207,0.822997311022311,0.839906029040404
P1,none,B1_q20,80,balanced_accuracy,0.8359479964479967,0.825778331043956,0.8446670621045623
difference,P1-P0,B1_q20,80,balanced_accuracy,0.003882575757575779,-0.001307968073593062,0.010630929834054878
P0,none,B1_q20,80,keyhole_recall,0.7327460317460317,0.7137856150793649,0.7501945436507939
P1,none,B1_q20,80,keyhole_recall,0.7382738095238095,0.7182419642857142,0.7558812500000001
difference,P1-P0,B1_q20,80,keyhole_recall,0.0055277777777777756,-0.008273809523809527,0.020730158730158717
P0,none,B1_q20,80,conduction_recall,0.9313848096348096,0.922931755050505,0.9388631798756797
P1,none,B1_q20,80,conduction_recall,0.9336221833721833,0.9252660984848483,0.9404034576534577
difference,P1-P0,B1_q20,80,conduction_recall,0.0022373737373737267,-0.004454545454545466,0.009095959595959584
P0,none,B1_q20,80,false_negative,1.7200000000000002,1.65,1.7999999999999996
P1,none,B1_q20,80,false_negative,1.6800000000000002,1.5900000000000003,1.77
difference,P1-P0,B1_q20,80,false_negative,-0.040000000000000015,-0.13,0.04
P0,none,B1_q20,80,false_positive,0.7,0.6499999999999998,0.76
P1,none,B1_q20,80,false_positive,0.6799999999999999,0.6299999999999999,0.74
difference,P1-P0,B1_q20,80,false_positive,-0.020000000000000007,-0.09000000000000001,0.05
