model,subset,budget,mean_accuracy,ci_lower,ci_upper
P0,B1_q20,16,0.7858823529411766,0.7682352941176471,0.8029411764705884
P0,B1_q20,17,0.8029411764705884,0.7893970588235293,0.8164705882352943
P0,B1_q20,18,0.8058823529411766,0.7900000000000003,0.8182352941176472
P0,B1_q20,19,0.8105882352941178,0.7964705882352943,0.8229411764705883
P0,B1_q20,20,0.8141176470588236,0.8,0.8258823529411765
P0,B1_q20,21,0.8111764705882354,0.7964705882352943,0.8241176470588236
P0,B1_q20,22,0.8188235294117648,0.8076323529411764,0.8294117647058824
P0,B1_q20,23,0.8194117647058825,0.8111764705882354,0.8270588235294118
P0,B1_q20,24,0.8258823529411765,0.8164705882352943,0.8347058823529412
P0,B1_q20,25,0.8305882352941177,0.8205882352941177,0.8394117647058824
P0,B1_q20,26,0.831764705882353,0.8229411764705883,0.8405882352941176
P0,B1_q20,27,0.8364705882352942,0.8282352941176472,0.8447058823529412
P0,B1_q20,28,0.8352941176470589,0.8264705882352942,0.8452941176470589
P0,B1_q20,29,0.8358823529411765,0.8258823529411765,0.8464705882352941
P0,B1_q20,30,0.8305882352941177,0.8194117647058825,0.8423529411764706
P0,B1_q20,31,0.8358823529411765,0.8258823529411765,0.8452941176470589
P0,B1_q20,32,0.8388235294117647,0.8282352941176472,0.8488235294117648
P0,B1_q20,33,0.8352941176470589,0.823529411764706,0.8464705882352941
P0,B1_q20,34,0.833529411764706,0.8229411764705883,0.8441176470588235
P0,B1_q20,35,0.8382352941176471,0.8288235294117647,0.8470588235294118
P0,B1_q20,36,0.8370588235294119,0.8276470588235295,0.8458823529411765
P0,B1_q20,37,0.833529411764706,0.8229264705882353,0.8435294117647059
P0,B1_q20,38,0.8400000000000001,0.8311764705882354,0.8494117647058823
P0,B1_q20,39,0.8429411764705883,0.8347058823529412,0.8505882352941176
P0,B1_q20,40,0.8494117647058823,0.8411764705882353,0.8582352941176472
P0,B1_q20,41,0.8476470588235294,0.8405882352941176,0.8552941176470588
P0,B1_q20,42,0.8458823529411765,0.8394117647058824,0.8529411764705882
P0,B1_q20,43,0.8494117647058823,0.8429411764705883,0.8558823529411766
P0,B1_q20,44,0.8529411764705882,0.8452941176470589,0.8605882352941178
P0,B1_q20,45,0.8541176470588236,0.8464705882352941,0.8617647058823531
P0,B1_q20,46,0.8523529411764705,0.8447058823529412,0.8600000000000001
P0,B1_q20,47,0.8452941176470589,0.8364705882352942,0.8541176470588235
P0,B1_q20,48,0.8452941176470589,0.8358823529411765,0.8547058823529413
P0,B1_q20,49,0.8470588235294118,0.8382352941176471,0.8558823529411766
