run_id,budget,historical_selected_index,reconstructed_min_margin_index,historical_query_table_index,selection_matches,reconstructed_probability,historical_probability,absolute_probability_difference
w85__r01_f01,16,115,115,115,True,0.519733479872805,0.519733479872805,0.0
w85__r01_f01,20,103,103,103,True,0.455636789158973,0.455636789158973,0.0
w85__r01_f01,24,199,199,199,True,0.507906973287497,0.507906973287497,0.0
w85__r01_f01,28,110,110,110,True,0.4555042468425085,0.4555042468425085,0.0
w85__r01_f01,32,287,287,287,True,0.500402201259064,0.500402201259064,0.0
w85__r01_f01,36,40,40,40,True,0.5210751504984614,0.5210751504984614,0.0
w85__r01_f01,40,91,91,91,True,0.4818289485344706,0.4818289485344706,0.0
w85__r01_f01,48,271,271,271,True,0.3727224233876711,0.3727224233876711,0.0
w85__r01_f01,60,365,365,365,True,0.2476852527572077,0.2476852527572077,0.0
w85__r01_f02,16,234,234,234,True,0.5882769891359771,0.5882769891359771,0.0
w85__r01_f02,20,214,214,214,True,0.5929292027431927,0.5929292027431927,0.0
w85__r01_f02,24,108,108,108,True,0.7166324664319745,0.7166324664319745,0.0
w85__r01_f02,28,264,264,264,True,0.2469484750399146,0.2469484750399146,0.0
w85__r01_f02,32,110,110,110,True,0.8608466616771011,0.8608466616771011,0.0
w85__r01_f02,36,299,299,299,True,0.2556255443323607,0.2556255443323607,0.0
w85__r01_f02,40,379,379,379,True,0.3022849394083096,0.3022849394083096,0.0
w85__r01_f02,48,89,89,89,True,0.7860489806045052,0.7860489806045052,0.0
w85__r01_f02,60,109,109,109,True,0.9513487543348448,0.9513487543348448,0.0
w85__r01_f03,16,201,201,201,True,0.4816943479291495,0.4816943479291495,0.0
w85__r01_f03,20,184,184,184,True,0.999989728751416,0.999989728751416,0.0
w85__r01_f03,24,264,264,264,True,0.2072046492434083,0.2072046492434083,0.0
w85__r01_f03,28,89,89,89,True,0.7898634432659719,0.7898634432659719,0.0
w85__r01_f03,32,77,77,77,True,0.156742518684382,0.156742518684382,0.0
w85__r01_f03,36,192,192,192,True,0.0907174625953075,0.0907174625953075,0.0
w85__r01_f03,40,91,91,91,True,0.3929583929028695,0.3929583929028695,0.0
w85__r01_f03,48,64,64,64,True,0.1742880277864742,0.1742880277864742,0.0
w85__r01_f03,60,115,115,115,True,0.7697710609691057,0.7697710609691057,0.0
w85__r01_f04,16,201,201,201,True,0.4487630175922135,0.4487630175922135,0.0
w85__r01_f04,20,268,268,268,True,0.0037062010919726,0.0037062010919726,0.0
w85__r01_f04,24,12,12,12,True,0.9320343509145914,0.9320343509145914,0.0
w85__r01_f04,28,108,108,108,True,0.6106929987214755,0.6106929987214755,0.0
w85__r01_f04,32,33,33,33,True,0.3153084287551451,0.3153084287551451,0.0
w85__r01_f04,36,106,106,106,True,0.7760928081156635,0.7760928081156635,0.0
w85__r01_f04,40,89,89,89,True,0.8657443393431095,0.8657443393431095,0.0
w85__r01_f04,48,392,392,392,True,0.8868148471601671,0.8868148471601671,0.0
w85__r01_f04,60,38,38,38,True,0.0437240626848733,0.0437240626848733,0.0
w85__r01_f05,16,133,133,133,True,0.0169736180741892,0.0169736180741892,0.0
w85__r01_f05,20,45,45,45,True,0.4655995334890832,0.4655995334890832,0.0
w85__r01_f05,24,109,109,109,True,0.5096560799376597,0.5096560799376597,0.0
w85__r01_f05,28,108,108,108,True,0.5079446746229728,0.5079446746229728,0.0
w85__r01_f05,32,110,110,110,True,0.5425047834868053,0.5425047834868053,0.0
w85__r01_f05,36,57,57,57,True,0.6021846025243747,0.6021846025243747,0.0
w85__r01_f05,40,385,385,385,True,0.3263430288537847,0.3263430288537847,0.0
w85__r01_f05,48,126,126,126,True,0.299051808921547,0.299051808921547,0.0
w85__r01_f05,60,294,294,294,True,0.2411352721799744,0.2411352721799744,0.0
w85__r02_f01,16,104,104,104,True,0.6471040640265642,0.6471040640265642,0.0
w85__r02_f01,20,76,76,76,True,0.8754472870434711,0.8754472870434711,0.0
w85__r02_f01,24,108,108,108,True,0.5410225166559997,0.5410225166559997,0.0
w85__r02_f01,28,201,201,201,True,0.4952212994123623,0.4952212994123623,0.0
w85__r02_f01,32,103,103,103,True,0.35254976495861,0.35254976495861,0.0
w85__r02_f01,36,105,105,105,True,0.5496047635885475,0.5496047635885475,0.0
w85__r02_f01,40,126,126,126,True,0.1892629303908961,0.1892629303908961,0.0
w85__r02_f01,48,375,375,375,True,0.1885177148526509,0.1885177148526509,0.0
w85__r02_f01,60,289,289,289,True,0.0642929372294247,0.0642929372294247,0.0
w85__r02_f02,16,232,232,232,True,0.4521368191581416,0.4521368191581416,0.0
w85__r02_f02,20,76,76,76,True,0.8624895339460181,0.8624895339460181,0.0
w85__r02_f02,24,12,12,12,True,0.9999999900003332,0.9999999900003332,0.0
w85__r02_f02,28,199,199,199,True,0.5195052217544642,0.5195052217544642,0.0
w85__r02_f02,32,90,90,90,True,0.4928261578308408,0.4928261578308408,0.0
w85__r02_f02,36,394,394,394,True,0.4384081988670658,0.4384081988670658,0.0
w85__r02_f02,40,110,110,110,True,0.685446429024978,0.685446429024978,0.0
w85__r02_f02,48,52,52,52,True,0.9114476600668696,0.9114476600668696,0.0
w85__r02_f02,60,102,102,102,True,0.9080500330735504,0.9080500330735504,0.0
w85__r02_f03,16,52,52,52,True,0.4893552163625365,0.4893552163625365,0.0
w85__r02_f03,20,211,211,211,True,0.5023215085571753,0.5023215085571753,0.0
w85__r02_f03,24,110,110,110,True,0.4838448960260884,0.4838448960260884,0.0
w85__r02_f03,28,12,12,12,True,0.3661164396980325,0.3661164396980325,0.0
w85__r02_f03,32,264,264,264,True,0.3324811788731949,0.3324811788731949,0.0
w85__r02_f03,36,384,384,384,True,0.4989387980433115,0.4989387980433115,0.0
w85__r02_f03,40,126,126,126,True,0.4395140727522886,0.4395140727522886,0.0
w85__r02_f03,48,45,45,45,True,0.7137125053131967,0.7137125053131967,0.0
w85__r02_f03,60,81,81,81,True,0.2296599243398986,0.2296599243398986,0.0
w85__r02_f04,16,12,12,12,True,0.4507968522022594,0.4507968522022594,0.0
w85__r02_f04,20,199,199,199,True,0.0152468815907695,0.0152468815907695,0.0
w85__r02_f04,24,201,201,201,True,0.0771619419565468,0.0771619419565468,0.0
w85__r02_f04,28,103,103,103,True,0.333370071608897,0.333370071608897,0.0
w85__r02_f04,32,264,264,264,True,0.2013386455048476,0.2013386455048476,0.0
w85__r02_f04,36,296,296,296,True,0.8796506045173373,0.8796506045173373,0.0
w85__r02_f04,40,68,68,68,True,0.167918085372662,0.167918085372662,0.0
w85__r02_f04,48,375,375,375,True,0.1316974285006154,0.1316974285006154,0.0
w85__r02_f04,60,168,168,168,True,0.0890151483233694,0.0890151483233694,0.0
w85__r02_f05,16,84,84,84,True,0.4920962604868464,0.4920962604868464,0.0
w85__r02_f05,20,201,201,201,True,0.5153535747278752,0.5153535747278752,0.0
w85__r02_f05,24,365,365,365,True,0.473919469910868,0.473919469910868,0.0
w85__r02_f05,28,106,106,106,True,0.5542545696755639,0.5542545696755639,0.0
w85__r02_f05,32,161,161,161,True,0.5731712176327051,0.5731712176327051,0.0
w85__r02_f05,36,90,90,90,True,0.3809760358932692,0.3809760358932692,0.0
w85__r02_f05,40,152,152,152,True,0.6218451503079621,0.6218451503079621,0.0
w85__r02_f05,48,150,150,150,True,0.7086881714723177,0.7086881714723177,0.0
w85__r02_f05,60,162,162,162,True,0.8593104323437046,0.8593104323437046,0.0
w85__r03_f01,16,121,121,121,True,0.5186782064678397,0.5186782064678397,0.0
w85__r03_f01,20,93,93,93,True,0.4684525456318127,0.4684525456318127,0.0
w85__r03_f01,24,110,110,110,True,0.5089301985597565,0.5089301985597565,0.0
w85__r03_f01,28,68,68,68,True,0.5310733632932312,0.5310733632932312,0.0
w85__r03_f01,32,108,108,108,True,0.4589900769414754,0.4589900769414754,0.0
w85__r03_f01,36,201,201,201,True,0.4759877450582976,0.4759877450582976,0.0
w85__r03_f01,40,106,106,106,True,0.6061613676035051,0.6061613676035051,0.0
w85__r03_f01,48,76,76,76,True,0.3391290955111117,0.3391290955111117,0.0
w85__r03_f01,60,107,107,107,True,0.8110923674149717,0.8110923674149717,0.0
w85__r03_f02,16,126,126,126,True,0.550064598727289,0.550064598727289,0.0
w85__r03_f02,20,68,68,68,True,0.0284850726058039,0.0284850726058039,0.0
w85__r03_f02,24,141,141,141,True,0.9999999900002194,0.9999999900002194,0.0
w85__r03_f02,28,103,103,103,True,0.9999999900002194,0.9999999900002194,0.0
w85__r03_f02,32,258,258,258,True,0.5084103347571443,0.5084103347571443,0.0
w85__r03_f02,36,384,384,384,True,0.5305758627005446,0.5305758627005446,0.0
w85__r03_f02,40,268,268,268,True,0.5951403020505097,0.5951403020505097,0.0
w85__r03_f02,48,52,52,52,True,0.7224734052238091,0.7224734052238091,0.0
w85__r03_f02,60,25,25,25,True,0.1331464075316262,0.1331464075316262,0.0
w85__r03_f03,16,138,138,138,True,0.4981825237949708,0.4981825237949708,0.0
w85__r03_f03,20,199,199,199,True,0.5015585616562803,0.5015585616562803,0.0
w85__r03_f03,24,52,52,52,True,0.507039818593011,0.507039818593011,0.0
w85__r03_f03,28,214,214,214,True,0.4801600814678508,0.4801600814678508,0.0
w85__r03_f03,32,110,110,110,True,0.4513206396474061,0.4513206396474061,0.0
w85__r03_f03,36,126,126,126,True,0.4748893865610242,0.4748893865610242,0.0
w85__r03_f03,40,287,287,287,True,0.4955545748322514,0.4955545748322514,0.0
w85__r03_f03,48,103,103,103,True,0.4036982576041055,0.4036982576041055,0.0
w85__r03_f03,60,139,139,139,True,0.717117998816093,0.717117998816093,0.0
w85__r03_f04,16,64,64,64,True,0.5342132388160721,0.5342132388160721,0.0
w85__r03_f04,20,370,370,370,True,0.029176619015061,0.029176619015061,0.0
w85__r03_f04,24,77,77,77,True,0.5859250074384761,0.5859250074384761,0.0
w85__r03_f04,28,385,385,385,True,0.48374043562454,0.48374043562454,0.0
w85__r03_f04,32,201,201,201,True,0.7140332384660724,0.7140332384660724,0.0
w85__r03_f04,36,105,105,105,True,0.755489198695102,0.755489198695102,0.0
w85__r03_f04,40,299,299,299,True,0.1286543156739981,0.1286543156739981,0.0
w85__r03_f04,48,392,392,392,True,0.8205314822428136,0.8205314822428136,0.0
w85__r03_f04,60,25,25,25,True,0.0687883585170539,0.0687883585170539,0.0
w85__r03_f05,16,84,84,84,True,0.4933690370030383,0.4933690370030383,0.0
w85__r03_f05,20,392,392,392,True,0.5192096421836965,0.5192096421836965,0.0
w85__r03_f05,24,106,106,106,True,0.4973074629918823,0.4973074629918823,0.0
w85__r03_f05,28,211,211,211,True,0.5015855705682011,0.5015855705682011,0.0
w85__r03_f05,32,108,108,108,True,0.494965679751882,0.494965679751882,0.0
w85__r03_f05,36,104,104,104,True,0.4875333843724618,0.4875333843724618,0.0
w85__r03_f05,40,201,201,201,True,0.4800027202434336,0.4800027202434336,0.0
w85__r03_f05,48,214,214,214,True,0.3483784825362477,0.3483784825362477,0.0
w85__r03_f05,60,365,365,365,True,0.2807520440577491,0.2807520440577491,0.0
w85__r04_f01,16,370,370,370,True,0.4566750554439238,0.4566750554439238,0.0
w85__r04_f01,20,106,106,106,True,0.9999999900002194,0.9999999900002194,0.0
w85__r04_f01,24,114,114,114,True,0.9999999900002194,0.9999999900002194,0.0
w85__r04_f01,28,119,119,119,True,0.9999999900002194,0.9999999900002194,0.0
w85__r04_f01,32,77,77,77,True,0.496849690051131,0.496849690051131,0.0
w85__r04_f01,36,258,258,258,True,0.482886236856558,0.482886236856558,0.0
w85__r04_f01,40,109,109,109,True,0.7570434878606989,0.7570434878606989,0.0
w85__r04_f01,48,365,365,365,True,0.153383299285565,0.153383299285565,0.0
w85__r04_f01,60,79,79,79,True,0.0702225229025543,0.0702225229025543,0.0
w85__r04_f02,16,105,105,105,True,0.1031383066696207,0.1031383066696207,0.0
w85__r04_f02,20,108,108,108,True,0.0001846692516664,0.0001846692516664,0.0
w85__r04_f02,24,264,264,264,True,0.008763672216105,0.008763672216105,0.0
w85__r04_f02,28,77,77,77,True,0.287202636956124,0.287202636956124,0.0
w85__r04_f02,32,299,299,299,True,0.2552645909176476,0.2552645909176476,0.0
w85__r04_f02,36,192,192,192,True,0.3081990782570756,0.3081990782570756,0.0
w85__r04_f02,40,365,365,365,True,0.2897076388788377,0.2897076388788377,0.0
w85__r04_f02,48,96,96,96,True,0.2917910701960977,0.2917910701960977,0.0
w85__r04_f02,60,101,101,101,True,0.0824424842743383,0.0824424842743383,0.0
w85__r04_f03,16,201,201,201,True,0.4987195454211481,0.4987195454211481,0.0
w85__r04_f03,20,184,184,184,True,0.500578181560051,0.500578181560051,0.0
w85__r04_f03,24,119,119,119,True,0.4890708349978148,0.4890708349978148,0.0
w85__r04_f03,28,77,77,77,True,0.4980555260151993,0.4980555260151993,0.0
w85__r04_f03,32,385,385,385,True,0.4324918717959036,0.4324918717959036,0.0
w85__r04_f03,36,258,258,258,True,0.4047401145592175,0.4047401145592175,0.0
w85__r04_f03,40,60,60,60,True,0.432183227196532,0.432183227196532,0.0
w85__r04_f03,48,85,85,85,True,0.382184230412804,0.382184230412804,0.0
w85__r04_f03,60,150,150,150,True,0.7590217205419094,0.7590217205419094,0.0
w85__r04_f04,16,296,296,296,True,0.5097453846298663,0.5097453846298663,0.0
w85__r04_f04,20,89,89,89,True,0.5210422840024194,0.5210422840024194,0.0
w85__r04_f04,24,385,385,385,True,0.4976547788387622,0.4976547788387622,0.0
w85__r04_f04,28,201,201,201,True,0.5235264855031829,0.5235264855031829,0.0
w85__r04_f04,32,258,258,258,True,0.4995969041756368,0.4995969041756368,0.0
w85__r04_f04,36,214,214,214,True,0.507889684904244,0.507889684904244,0.0
w85__r04_f04,40,126,126,126,True,0.3956581348052168,0.3956581348052168,0.0
w85__r04_f04,48,271,271,271,True,0.3345860531251219,0.3345860531251219,0.0
w85__r04_f04,60,33,33,33,True,0.2025811994915329,0.2025811994915329,0.0
w85__r04_f05,16,52,52,52,True,0.4984087373569958,0.4984087373569958,0.0
w85__r04_f05,20,184,184,184,True,0.5034874623159871,0.5034874623159871,0.0
w85__r04_f05,24,201,201,201,True,0.4650486754443221,0.4650486754443221,0.0
w85__r04_f05,28,12,12,12,True,0.4954207220503068,0.4954207220503068,0.0
w85__r04_f05,32,103,103,103,True,0.4594615874872403,0.4594615874872403,0.0
w85__r04_f05,36,394,394,394,True,0.5009051950793486,0.5009051950793486,0.0
w85__r04_f05,40,299,299,299,True,0.4650729302043785,0.4650729302043785,0.0
w85__r04_f05,48,64,64,64,True,0.381672055046323,0.381672055046323,0.0
w85__r04_f05,60,150,150,150,True,0.7722031824559963,0.7722031824559963,0.0
w85__r05_f01,16,90,90,90,True,0.4873346091867994,0.4873346091867994,0.0
w85__r05_f01,20,258,258,258,True,0.0044106125374128,0.0044106125374128,0.0
w85__r05_f01,24,394,394,394,True,0.4895426714643029,0.4895426714643029,0.0
w85__r05_f01,28,184,184,184,True,0.8719873005950376,0.8719873005950376,0.0
w85__r05_f01,32,105,105,105,True,0.5407582151599826,0.5407582151599826,0.0
w85__r05_f01,36,68,68,68,True,0.2907611747236842,0.2907611747236842,0.0
w85__r05_f01,40,365,365,365,True,0.3365798988547794,0.3365798988547794,0.0
w85__r05_f01,48,161,161,161,True,0.8373439652353909,0.8373439652353909,0.0
w85__r05_f01,60,234,234,234,True,0.1051308410779938,0.1051308410779938,0.0
