arm,c,subset,region,mean_AULC,delta_vs_M3_MARGIN,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
M3_MARGIN,0.0,B1_q20,EARLY_B16_40,0.8260416666666668,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q20,EARLY_B16_40,0.8282598039215685,0.002218137254901953,-0.0011274509803921753,0.006041666666666662,11,0,9,10000
REP_C050,0.5,B1_q20,EARLY_B16_40,0.829436274509804,0.003394607843137265,-0.00015931372549017912,0.006813725490196082,14,0,6,10000
REP_C100,1.0,B1_q20,EARLY_B16_40,0.8309313725490194,0.004889705882352946,0.000833026960784312,0.009264705882352947,12,0,8,10000
REP_C200,2.0,B1_q20,EARLY_B16_40,0.8310171568627451,0.004975490196078442,-0.00020833333333331595,0.010428921568627436,13,0,7,10000
REP_C400,4.0,B1_q20,EARLY_B16_40,0.8321446078431374,0.006102941176470589,0.001213235294117659,0.011237745098039232,15,0,5,10000
M3_MARGIN,0.0,B1_q20,LATE_B41_80,0.8560105580693815,0.0,0.0,0.0,0,20,0,10000
REP_C025,0.25,B1_q20,LATE_B41_80,0.8570211161387633,0.0010105580693816063,-0.0019683257918551747,0.0038386123680241306,12,0,8,10000
REP_C050,0.5,B1_q20,LATE_B41_80,0.8562368024132729,0.0002262443438914019,-0.003423831070889877,0.003634992458521841,12,0,8,10000
REP_C100,1.0,B1_q20,LATE_B41_80,0.8570135746606333,0.0010030165912518652,-0.002812971342383114,0.0046832579185520085,11,0,9,10000
REP_C200,2.0,B1_q20,LATE_B41_80,0.8564555052790347,0.0004449472096530904,-0.003929110105580685,0.0046457390648567045,12,0,8,10000
REP_C400,4.0,B1_q20,LATE_B41_80,0.8565158371040724,0.0005052790346907976,-0.003740573152337845,0.0044042232277526185,13,0,7,10000
