arm,c,subset,budget,metric,mean,median,n_outer_runs
M3_MARGIN,0.0,full81,16,accuracy,0.9438271604938272,0.9506172839506173,100
M3_MARGIN,0.0,full81,16,balanced_accuracy,0.9081910900045227,0.9257575757575758,100
M3_MARGIN,0.0,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
M3_MARGIN,0.0,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
M3_MARGIN,0.0,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
M3_MARGIN,0.0,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
M3_MARGIN,0.0,full81,16,brier_score,0.04888925485334675,0.043994107310151,100
M3_MARGIN,0.0,full81,40,accuracy,0.9648148148148147,0.9629629629629629,100
M3_MARGIN,0.0,full81,40,balanced_accuracy,0.9329612004910512,0.9333333333333333,100
M3_MARGIN,0.0,full81,40,keyhole_recall,0.8832380952380952,0.8666666666666667,100
M3_MARGIN,0.0,full81,40,conduction_recall,0.9826843057440071,0.9848484848484849,100
M3_MARGIN,0.0,full81,40,roc_auc,0.9913331610346536,0.9937714027266266,100
M3_MARGIN,0.0,full81,40,pr_auc,0.9625782467925894,0.975248778998779,100
M3_MARGIN,0.0,full81,40,brier_score,0.03144542769046927,0.029557596626571186,100
M3_MARGIN,0.0,full81,80,accuracy,0.9691358024691357,0.9753086419753086,100
M3_MARGIN,0.0,full81,80,balanced_accuracy,0.9333435420301092,0.9333333333333333,100
M3_MARGIN,0.0,full81,80,keyhole_recall,0.8775238095238097,0.8666666666666667,100
M3_MARGIN,0.0,full81,80,conduction_recall,0.9891632745364087,0.9925373134328358,100
M3_MARGIN,0.0,full81,80,roc_auc,0.9928589519932802,0.993939393939394,100
M3_MARGIN,0.0,full81,80,pr_auc,0.9676364829610472,0.976787401195296,100
M3_MARGIN,0.0,full81,80,brier_score,0.02633216794266292,0.02448085733571153,100
REP_C025,0.25,full81,16,accuracy,0.9438271604938272,0.9506172839506173,100
REP_C025,0.25,full81,16,balanced_accuracy,0.9081910900045227,0.9257575757575758,100
REP_C025,0.25,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
REP_C025,0.25,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
REP_C025,0.25,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
REP_C025,0.25,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
REP_C025,0.25,full81,16,brier_score,0.04888925485334675,0.04399410731015099,100
REP_C025,0.25,full81,40,accuracy,0.9666666666666665,0.9753086419753086,100
REP_C025,0.25,full81,40,balanced_accuracy,0.9315775990178975,0.9333333333333333,100
REP_C025,0.25,full81,40,keyhole_recall,0.876857142857143,0.8666666666666667,100
REP_C025,0.25,full81,40,conduction_recall,0.9862980551786521,0.9850746268656716,100
REP_C025,0.25,full81,40,roc_auc,0.9908209385970581,0.993939393939394,100
REP_C025,0.25,full81,40,pr_auc,0.9633592680481909,0.976077040127792,100
REP_C025,0.25,full81,40,brier_score,0.029230000690021213,0.026978905397956346,100
REP_C025,0.25,full81,80,accuracy,0.9690123456790123,0.9753086419753086,100
REP_C025,0.25,full81,80,balanced_accuracy,0.9322363507139625,0.9333333333333333,100
REP_C025,0.25,full81,80,keyhole_recall,0.874857142857143,0.8666666666666667,100
REP_C025,0.25,full81,80,conduction_recall,0.9896155585707824,1.0,100
REP_C025,0.25,full81,80,roc_auc,0.9929824039973295,0.9946695095948828,100
REP_C025,0.25,full81,80,pr_auc,0.9684091433859908,0.9776315789473684,100
REP_C025,0.25,full81,80,brier_score,0.026188326263599956,0.024456468561809566,100
REP_C050,0.5,full81,16,accuracy,0.9438271604938272,0.9506172839506173,100
REP_C050,0.5,full81,16,balanced_accuracy,0.9081910900045227,0.9257575757575758,100
REP_C050,0.5,full81,16,keyhole_recall,0.8526666666666665,0.8666666666666667,100
REP_C050,0.5,full81,16,conduction_recall,0.9637155133423789,0.9848484848484849,100
REP_C050,0.5,full81,16,roc_auc,0.9809344403523508,0.9909236286101958,100
REP_C050,0.5,full81,16,pr_auc,0.9365800091914465,0.9632997557997558,100
REP_C050,0.5,full81,16,brier_score,0.04888925485334675,0.04399410731015099,100
REP_C050,0.5,full81,40,accuracy,0.9667901234567902,0.9753086419753086,100
REP_C050,0.5,full81,40,balanced_accuracy,0.9319120630613168,0.9333333333333333,100
REP_C050,0.5,full81,40,keyhole_recall,0.8775238095238096,0.8666666666666667,100
REP_C050,0.5,full81,40,conduction_recall,0.986300316598824,0.9850746268656716,100
REP_C050,0.5,full81,40,roc_auc,0.9903854967586311,0.9939393939393939,100
REP_C050,0.5,full81,40,pr_auc,0.9619723641229011,0.9752731990231991,100
REP_C050,0.5,full81,40,brier_score,0.028685326676407667,0.02688513876586847,100
REP_C050,0.5,full81,80,accuracy,0.9686419753086419,0.9753086419753086,100
REP_C050,0.5,full81,80,balanced_accuracy,0.9320113394068616,0.9333333333333333,100
REP_C050,0.5,full81,80,keyhole_recall,0.874857142857143,0.8666666666666667,100
