run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r01_f01,1,1,16,16,308,67f5602e2fe9b3ce7f2ac629e64c09c7be92a773110bbfab8c4df48504be1a78,Phase 1.14 published M3-margin path
w85__r01_f01,1,1,24,24,300,38447e60ad31caf15002a2c3aebdc8926a6a401f5917efcbd05037d058a57979,Phase 1.14 published M3-margin path
w85__r01_f01,1,1,32,32,292,87438123aba3f932f70c16f05fd71d6f88e88447a82f977e3b19fecd26599333,Phase 1.14 published M3-margin path
w85__r01_f01,1,1,40,40,284,5359a3b49f9505fe7273783bc09c679c69a58cbcf5474a3291700c77ab6ff2ee,Phase 1.14 published M3-margin path
w85__r01_f01,1,1,60,60,264,2a51e97011ba2669052207e9391582d4544056854b9be98f1ac7a5659d7be917,Phase 1.14 published M3-margin path
w85__r01_f01,1,1,80,80,244,a3c13ac119fef3dc0bf1d40d8c45d3a0139ea672eb10ccb9a7d15a944dd9f20f,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,16,16,308,6fa5cbd1e6854a97d4c1cd2a99dda4bb60c19e4f1fc3bc6a29dbdbabceeedbd6,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,24,24,300,43ccc2263d1be168522c94fa1f0271dc3b957b650def45dcf2583876e426526f,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,32,32,292,6744195ad231e678df2e5931453dc7fb503b9c06144216fd8f1db76b09e76a53,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,40,40,284,52b57c461ae5e4dd9a58dc15dc20e2cf1eb4a67e062bf23b731e446b7fda1bee,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,60,60,264,fc3d2065d55fe04526948f03d4741d041fe66ac779adb1adb5d2f0a3d4740014,Phase 1.14 published M3-margin path
w85__r01_f02,1,2,80,80,244,aa38c947181d05243a7c9fe4c0d8fec1c206666ac7cd434fb22bebb2dd5ebb66,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,16,16,308,f2fab06018ee9746088111edc162ee99997d69459ddb12610bdce0323216bd22,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,24,24,300,9bf3f5a61ee3ff2914018ca87eaf0aafa0f43b03e0ea343d4e2897b3e9879370,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,32,32,292,21aa01fc4ad57e087b95d3f9c3bda1ed5a9a074e2e65b83af9360b0b53843925,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,40,40,284,c85301f7e8b5d4b090a0dce80ce939162bb18f8f0d4301488e6556afbbdb4db9,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,60,60,264,8fa0be1430d8d3a4d99b43abd935854c3290e1dc9813fccf3c0957bb0cd25516,Phase 1.14 published M3-margin path
w85__r01_f03,1,3,80,80,244,4d69ce67d37091c779d8b022a315e85c5ca419cb4c93b6f02a3a4cae8b06466b,Phase 1.14 published M3-margin path
w85__r01_f04,1,4,16,16,308,096de67d65be48f607ead6beec3b6fbf8d9191983113fc72e842613446a3629d,Phase 1.14 published M3-margin path
