method_left,method_right,budget,top1_agreement,top5_jaccard,top10_jaccard
M3_EMI,M3_SMOCU_APPROX,16,0.6,0.5490873015873016,0.5065292095245656
M3_EMI,M3_SMOCU_APPROX,24,0.4,0.41257936507936505,0.4439093611926429
M3_EMI,M3_SMOCU_APPROX,32,0.53,0.4904365079365079,0.45938845296430436
M3_EMI,M3_SMOCU_APPROX,40,0.61,0.46226190476190476,0.4459646631318458
M3_EMI,M3_SMOCU_APPROX,60,0.1,0.1088888888888889,0.12602980868460745
M3_EMI,M3_SMOCU_APPROX,80,0.04,0.049563492063492066,0.049236326109391125
M3_EMI,M3_SUR_APPROX,16,0.34,0.3986904761904762,0.4491484641949038
M3_EMI,M3_SUR_APPROX,24,0.43,0.43626984126984125,0.5069440810307683
M3_EMI,M3_SUR_APPROX,32,0.4,0.48361111111111105,0.5801485442661913
M3_EMI,M3_SUR_APPROX,40,0.4,0.4309126984126984,0.545928327778173
M3_EMI,M3_SUR_APPROX,60,0.26,0.3684126984126984,0.432472926969831
M3_EMI,M3_SUR_APPROX,80,0.14,0.19134920634920632,0.20790375259415506
M3_EMI,M3_TMES_GSUR,16,0.8,0.8773015873015874,0.9281784881784881
M3_EMI,M3_TMES_GSUR,24,0.71,0.8418253968253968,0.8908724608724609
M3_EMI,M3_TMES_GSUR,32,0.72,0.8452777777777777,0.9149850149850149
M3_EMI,M3_TMES_GSUR,40,0.71,0.8340873015873015,0.9095737595737596
M3_EMI,M3_TMES_GSUR,60,0.93,0.9609523809523809,0.9657575757575758
M3_EMI,M3_TMES_GSUR,80,0.98,0.9766666666666667,0.9836363636363636
M3_EMI,PA_TVR_CANDIDATE,16,0.22,0.40150793650793654,0.45885327692603234
M3_EMI,PA_TVR_CANDIDATE,24,0.22,0.3573809523809524,0.47002612970105234
M3_EMI,PA_TVR_CANDIDATE,32,0.23,0.401031746031746,0.4982569348436221
M3_EMI,PA_TVR_CANDIDATE,40,0.36,0.3518650793650794,0.5053188435231779
M3_EMI,PA_TVR_CANDIDATE,60,0.39,0.5592460317460317,0.5855972415956936
M3_EMI,PA_TVR_CANDIDATE,80,0.61,0.6077380952380952,0.7243722943722943
M3_MARGIN,M3_EMI,16,0.9,0.847579365079365,0.7714077700765007
M3_MARGIN,M3_EMI,24,0.73,0.7895238095238095,0.8196073517126149
M3_MARGIN,M3_EMI,32,0.79,0.8004761904761906,0.8560642865906024
M3_MARGIN,M3_EMI,40,0.79,0.7694047619047619,0.8701533554165134
M3_MARGIN,M3_EMI,60,0.39,0.4964682539682539,0.6272641247641247
M3_MARGIN,M3_EMI,80,0.36,0.43765873015873014,0.5409998334998335
M3_MARGIN,M3_SMOCU_APPROX,16,0.6,0.5805555555555556,0.6005471979001391
M3_MARGIN,M3_SMOCU_APPROX,24,0.39,0.3567063492063492,0.3632464156070967
M3_MARGIN,M3_SMOCU_APPROX,32,0.47,0.453531746031746,0.42811019647706955
M3_MARGIN,M3_SMOCU_APPROX,40,0.52,0.42702380952380947,0.4352144690534784
M3_MARGIN,M3_SMOCU_APPROX,60,0.1,0.1065079365079365,0.11503339797457444
M3_MARGIN,M3_SMOCU_APPROX,80,0.03,0.038452380952380946,0.046684726522187824
M3_MARGIN,M3_STRADDLE,16,0.88,0.9385714285714286,0.9370958453311394
M3_MARGIN,M3_STRADDLE,24,0.67,0.777063492063492,0.8021707326041692
M3_MARGIN,M3_STRADDLE,32,0.7,0.7828571428571428,0.8607131465026202
M3_MARGIN,M3_STRADDLE,40,0.72,0.7510714285714286,0.8702331002331002
M3_MARGIN,M3_STRADDLE,60,0.48,0.6945238095238095,0.7938694638694639
M3_MARGIN,M3_STRADDLE,80,0.53,0.7133730158730158,0.8016083916083916
M3_MARGIN,M3_SUR_APPROX,16,0.36,0.4642460317460317,0.5613556782055233
M3_MARGIN,M3_SUR_APPROX,24,0.35,0.37182539682539684,0.42886391558218184
M3_MARGIN,M3_SUR_APPROX,32,0.35,0.44829365079365074,0.536812684219805
