population,model,metric,mean,repeat_sd,repeat_blocks,fold_rows,min_train_N,max_train_N,min_test_N,max_test_N,fallback_count
main_configuration_only,G3,accuracy,0.9710918686260379,0.008680752467175182,20,100,285,300,64,79,0
main_configuration_only,G3,balanced_accuracy,0.9531940802250711,0.01536950656437811,20,100,285,300,64,79,0
main_configuration_only,G3,keyhole_recall,0.9242326007326008,0.026874447320136906,20,100,285,300,64,79,0
main_configuration_only,G3,conduction_recall,0.9821555597175415,0.005755222955297602,20,100,285,300,64,79,0
main_configuration_only,G3,brier_score,0.026347556415189897,0.0038987444794467596,20,100,285,300,64,79,0
main_configuration_only,G3,roc_auc,0.9923156752107731,0.004714649389762709,20,100,285,300,64,79,0
main_configuration_only,H,accuracy,0.9653659109046366,0.0021156731484305354,20,100,285,300,64,79,0
main_configuration_only,H,balanced_accuracy,0.934788810917136,0.001299056399791258,20,100,285,300,64,79,0
main_configuration_only,H,keyhole_recall,0.8853717948717948,0.0019160833845674778,20,100,285,300,64,79,0
main_configuration_only,H,conduction_recall,0.9842058269624768,0.0025918134529234705,20,100,285,300,64,79,0
main_configuration_only,H,brier_score,0.02889087123696621,0.0012228981068577347,20,100,285,300,64,79,0
main_configuration_only,H,roc_auc,0.9913551837921155,0.0010761675199145013,20,100,285,300,64,79,0
main_configuration_only,M3,accuracy,0.9723734855500756,0.003315929174299032,20,100,285,300,64,79,0
main_configuration_only,M3,balanced_accuracy,0.9456496931750277,0.008480815927898186,20,100,285,300,64,79,0
main_configuration_only,M3,keyhole_recall,0.9023296703296703,0.01745240796698925,20,100,285,300,64,79,0
main_configuration_only,M3,conduction_recall,0.9889697160203854,0.002188845928520515,20,100,285,300,64,79,0
main_configuration_only,M3,brier_score,0.02323152727752483,0.0010335466708845055,20,100,285,300,64,79,0
main_configuration_only,M3,roc_auc,0.9947057381867621,0.0010665640720134324,20,100,285,300,64,79,0
