simulation_id,population_row_index,P_W,VX_m_per_s,LS_m,ST_K,has_keyhole,partition,XI_m,XF_m,XL_m,TE_s,DT_s,material,folder_hash,domain_max_x_m,observation_duration_s,max_depth_um,first_keyhole_timestep,keyhole_frame_count,configuration_group,domain_mapping_expected_m,domain_mapping_absolute_error_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain_from_TE,observation_ends_before_90pct_domain,TE_vs_time_dat_flag_mismatch
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,False,new-data,0.0002,0.0014,0.0012,0.0021,7.61136145079e-06,TI64,6c9c68731f,0.001212,0.0021,43.09636,,0,CFG_MAIN,0.001212,0.0,0.0017210334802431346,1.2201970642101208,False,False,False
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,False,new-data,0.0002,0.0014,0.0012,0.0021,5.27208541466e-06,TI64,0e4c2fc094,0.001212,0.0021,27.37239,,0,CFG_MAIN,0.001212,0.0,0.0011920910034295719,1.761610476011001,False,False,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,False,new-data,0.0002,0.0014,0.0012,0.0021,9.80469807196e-06,TI64,0602c4a780,0.001212,0.0021,54.88141,,0,CFG_MAIN,0.001212,0.0,0.0022169770486675155,0.9472357872455995,True,True,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,False,new-data,0.0002,0.0014,0.0012,0.0021,7.45628343159e-06,TI64,0e4c2fc094,0.001212,0.0021,35.401709999999994,,0,CFG_MAIN,0.001212,0.0,0.001685968207778874,1.2455750887299228,False,False,False
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,False,new-data,0.0002,0.0014,0.0012,0.0021,7.66925039494e-06,TI64,27614c4053,0.001212,0.0021,47.09942,,0,CFG_MAIN,0.001212,0.0,0.0017341229664879063,1.2109867873171065,False,False,False
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,False,new-data,0.0002,0.0014,0.0012,0.0021,1.61239961603e-05,TI64,0e4c2fc094,0.001212,0.0021,54.9824,,0,CFG_MAIN,0.001212,0.0,0.0036458572367870485,0.5759962235522551,True,True,False
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,False,new-data,0.0002,0.0014,0.0012,0.0021,6.61789280262e-06,TI64,44aa3a8888,0.001212,0.0021,46.944770000000005,,0,CFG_MAIN,0.001212,0.0,0.0014963965586980643,1.403371310762101,False,False,False
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,False,new-data,0.0002,0.0014,0.0012,0.0021,5.61088341259e-06,TI64,2934a8b202,0.001212,0.0021,38.905030000000004,,0,CFG_MAIN,0.001212,0.0,0.0012686978892330174,1.6552403986969195,False,False,False
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,False,new-data,0.0002,0.0014,0.0012,0.0021,7.90308191584e-06,TI64,a88ac79600,0.001212,0.0021,39.06833,,0,CFG_MAIN,0.001212,0.0,0.0017869954885485061,1.1751568559950494,False,False,False
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,False,new-data,0.0002,0.0014,0.0012,0.0021,7.45053299916e-06,TI64,c5f6eebf67,0.001212,0.0021,47.091249999999995,,0,CFG_MAIN,0.001212,0.0,0.001684667955937782,1.2465364421507148,False,False,False
