budget,model,metric,mean,ci_lower,ci_upper,repeat_blocks
16,H,brier_score,0.048328857570660064,0.044057858139401905,0.05284056342506658,20
16,H,log_loss,0.3743967008286708,0.29374247041127616,0.4709936293096997,20
16,H,ECE_10_equal_width,0.04806560150356669,0.04332959383537016,0.052911340575274635,20
16,H,accuracy,0.9438271604938271,0.9380246913580246,0.9495061728395061,20
16,H,balanced_accuracy,0.9085647384056775,0.8937628682538373,0.9223603317379105,20
16,H,fraction_p_0_01,0.5707407407407408,0.515429012345679,0.6234567901234568,20
16,H,fraction_p_01_10,0.1658024691358025,0.12765123456790123,0.2050617283950617,20
16,H,fraction_p_10_90,0.13061728395061728,0.10246913580246915,0.15987654320987654,20
16,H,fraction_p_90_99,0.027407407407407408,0.022469135802469134,0.03296296296296296,20
16,H,fraction_p_99_1,0.1054320987654321,0.08716049382716048,0.12370370370370369,20
16,H,p01,1.7081621080285915e-07,1e-12,5.124466324085776e-07,20
16,H,p10,4.3053933448161014e-05,1.1001469411855973e-12,0.0001291617600139437,20
16,H,p50,0.008341277695812045,0.0035103184914192123,0.014709059748889754,20
16,H,p90,0.9522033572187159,0.9184272412452422,0.981044621568386,20
16,H,p99,0.9999631951541412,0.9998897128969076,0.9999999999990002,20
16,M3,brier_score,0.048889254853346734,0.044846138633098706,0.053176255673155884,20
16,M3,log_loss,0.3825653250517683,0.3040582622684571,0.47357558243756337,20
16,M3,ECE_10_equal_width,0.05042528946584537,0.04562665281697586,0.055197316821589834,20
16,M3,accuracy,0.9438271604938271,0.9372839506172841,0.9497530864197531,20
16,M3,balanced_accuracy,0.9085647384056775,0.8919608485311108,0.9237303752681961,20
16,M3,fraction_p_0_01,0.5533333333333333,0.4950586419753085,0.6085185185185185,20
16,M3,fraction_p_01_10,0.17,0.13283950617283952,0.20765432098765432,20
16,M3,fraction_p_10_90,0.1462962962962963,0.11308641975308642,0.1808641975308642,20
16,M3,fraction_p_90_99,0.026049382716049386,0.021358024691358026,0.031111111111111117,20
16,M3,fraction_p_99_1,0.10432098765432099,0.08580246913580246,0.12271604938271605,20
16,M3,p01,5.837705758007244e-10,1e-12,1.7493117274021734e-09,20
16,M3,p10,5.6825921897858006e-05,1e-12,0.00017047776369357402,20
16,M3,p50,0.010837614744850598,0.004790951266233625,0.018621608558244317,20
16,M3,p90,0.9437976818993008,0.9035238197749567,0.977061523512036,20
16,M3,p99,0.9999543140559218,0.9998629626568081,0.9999999900003333,20
20,H,brier_score,0.04170390904653828,0.039076322619877514,0.04443248725182705,20
20,H,log_loss,0.5699974559967531,0.47514314850045963,0.6588019414038101,20
20,H,ECE_10_equal_width,0.038959022323694914,0.03545807537799244,0.042711056492582895,20
