population,repeat,arm,initial_design,initial_design_N,max_budget,feature_only
full_405,1,P0_M3_MARGIN_STANDARD,20;153;144;398;157;69;147;177;33;111;314;18;243;82;313;397,16,120,True
full_405,1,P1_M3_MARGIN_MONO,20;153;144;398;157;69;147;177;33;111;314;18;243;82;313;397,16,120,True
full_405,1,P2_MONO_BISECTION_M3,20;153;144;398;157;69;147;177;33;111;314;18;243;82;313;397,16,120,True
full_405,1,P3_MONO_EXPECTED_GAIN_M3,20;153;144;398;157;69;147;177;33;111;314;18;243;82;313;397,16,120,True
full_405,2,P0_M3_MARGIN_STANDARD,300;136;183;308;157;398;313;147;69;144;326;177;316;113;299;393,16,120,True
full_405,2,P1_M3_MARGIN_MONO,300;136;183;308;157;398;313;147;69;144;326;177;316;113;299;393,16,120,True
full_405,2,P2_MONO_BISECTION_M3,300;136;183;308;157;398;313;147;69;144;326;177;316;113;299;393,16,120,True
full_405,2,P3_MONO_EXPECTED_GAIN_M3,300;136;183;308;157;398;313;147;69;144;326;177;316;113;299;393,16,120,True
full_405,3,P0_M3_MARGIN_STANDARD,384;144;165;111;177;162;313;147;307;260;156;1;115;94;326;183,16,120,True
full_405,3,P1_M3_MARGIN_MONO,384;144;165;111;177;162;313;147;307;260;156;1;115;94;326;183,16,120,True
full_405,3,P2_MONO_BISECTION_M3,384;144;165;111;177;162;313;147;307;260;156;1;115;94;326;183,16,120,True
full_405,3,P3_MONO_EXPECTED_GAIN_M3,384;144;165;111;177;162;313;147;307;260;156;1;115;94;326;183,16,120,True
full_405,4,P0_M3_MARGIN_STANDARD,263;157;309;144;395;117;314;383;177;165;159;68;330;326;84;385,16,120,True
full_405,4,P1_M3_MARGIN_MONO,263;157;309;144;395;117;314;383;177;165;159;68;330;326;84;385,16,120,True
full_405,4,P2_MONO_BISECTION_M3,263;157;309;144;395;117;314;383;177;165;159;68;330;326;84;385,16,120,True
full_405,4,P3_MONO_EXPECTED_GAIN_M3,263;157;309;144;395;117;314;383;177;165;159;68;330;326;84;385,16,120,True
full_405,5,P0_M3_MARGIN_STANDARD,254;136;144;398;314;163;119;179;177;363;101;183;87;75;309;111,16,120,True
full_405,5,P1_M3_MARGIN_MONO,254;136;144;398;314;163;119;179;177;363;101;183;87;75;309;111,16,120,True
full_405,5,P2_MONO_BISECTION_M3,254;136;144;398;314;163;119;179;177;363;101;183;87;75;309;111,16,120,True
full_405,5,P3_MONO_EXPECTED_GAIN_M3,254;136;144;398;314;163;119;179;177;363;101;183;87;75;309;111,16,120,True
