population,repeat,arm,correct_resolution_threshold,error_cap,reached,first_true_query_budget,wrong_inference_rate_at_hit
full_405,1,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,1,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,1,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,1,P1_M3_MARGIN_MONO,0.8,0.01,True,44.0,0.01
full_405,1,P1_M3_MARGIN_MONO,0.9,0.01,True,53.0,0.009523809523809525
full_405,1,P1_M3_MARGIN_MONO,0.95,0.01,True,71.0,0.00946372239747634
full_405,1,P2_MONO_BISECTION_M3,0.8,0.01,True,43.0,0.01
full_405,1,P2_MONO_BISECTION_M3,0.9,0.01,True,59.0,0.00967741935483871
full_405,1,P2_MONO_BISECTION_M3,0.95,0.01,True,73.0,0.009523809523809525
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,42.0,0.009933774834437087
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,56.0,0.009554140127388535
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,71.0,0.00946372239747634
full_405,2,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,2,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,2,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,2,P1_M3_MARGIN_MONO,0.8,0.01,True,48.0,0.009900990099009901
full_405,2,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.009523809523809525
full_405,2,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.009523809523809525
full_405,2,P2_MONO_BISECTION_M3,0.8,0.01,True,43.0,0.007067137809187279
full_405,2,P2_MONO_BISECTION_M3,0.9,0.01,True,63.0,0.009836065573770493
full_405,2,P2_MONO_BISECTION_M3,0.95,0.01,True,81.0,0.009771986970684038
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,37.0,0.009900990099009901
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,52.0,0.00949367088607595
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,69.0,0.009404388714733543
full_405,3,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,3,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,3,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,3,P1_M3_MARGIN_MONO,0.8,0.01,True,37.0,0.0034602076124567475
full_405,3,P1_M3_MARGIN_MONO,0.9,0.01,True,59.0,0.003257328990228013
full_405,3,P1_M3_MARGIN_MONO,0.95,0.01,True,73.0,0.006369426751592357
full_405,3,P2_MONO_BISECTION_M3,0.8,0.01,True,42.0,0.0035335689045936395
full_405,3,P2_MONO_BISECTION_M3,0.9,0.01,True,59.0,0.003246753246753247
full_405,3,P2_MONO_BISECTION_M3,0.95,0.01,True,76.0,0.006430868167202572
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,35.0,0.0034482758620689655
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.003194888178913738
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,72.0,0.006349206349206349
full_405,4,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,4,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,4,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,4,P1_M3_MARGIN_MONO,0.8,0.01,True,36.0,0.00684931506849315
full_405,4,P1_M3_MARGIN_MONO,0.9,0.01,True,53.0,0.00949367088607595
full_405,4,P1_M3_MARGIN_MONO,0.95,0.01,True,72.0,0.00949367088607595
full_405,4,P2_MONO_BISECTION_M3,0.8,0.01,True,37.0,0.006896551724137931
full_405,4,P2_MONO_BISECTION_M3,0.9,0.01,True,57.0,0.0064516129032258064
full_405,4,P2_MONO_BISECTION_M3,0.95,0.01,True,74.0,0.009554140127388535
full_405,4,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,32.0,0.009708737864077669
full_405,4,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,49.0,0.009404388714733543
full_405,4,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,65.0,0.009287925696594427
full_405,5,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,5,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,5,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,5,P1_M3_MARGIN_MONO,0.8,0.01,True,43.0,0.0034965034965034965
full_405,5,P1_M3_MARGIN_MONO,0.9,0.01,True,57.0,0.003236245954692557
full_405,5,P1_M3_MARGIN_MONO,0.95,0.01,True,72.0,0.006349206349206349
full_405,5,P2_MONO_BISECTION_M3,0.8,0.01,True,41.0,0.0
full_405,5,P2_MONO_BISECTION_M3,0.9,0.01,True,59.0,0.003246753246753247
full_405,5,P2_MONO_BISECTION_M3,0.95,0.01,True,75.0,0.00641025641025641
full_405,5,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,38.0,0.003436426116838488
full_405,5,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,54.0,0.003205128205128205
full_405,5,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,72.0,0.006349206349206349
full_405,6,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,6,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,6,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,6,P1_M3_MARGIN_MONO,0.8,0.01,True,47.0,0.009966777408637873
full_405,6,P1_M3_MARGIN_MONO,0.9,0.01,True,58.0,0.00967741935483871
full_405,6,P1_M3_MARGIN_MONO,0.95,0.01,True,76.0,0.009615384615384616
full_405,6,P2_MONO_BISECTION_M3,0.8,0.01,True,31.0,0.006779661016949152
full_405,6,P2_MONO_BISECTION_M3,0.9,0.01,True,51.0,0.006329113924050633
full_405,6,P2_MONO_BISECTION_M3,0.95,0.01,True,68.0,0.009375
full_405,6,P3_MONO_EXPECTED_GAIN_M3,0.8,0.01,True,34.0,0.00684931506849315
full_405,6,P3_MONO_EXPECTED_GAIN_M3,0.9,0.01,True,55.0,0.009584664536741214
full_405,6,P3_MONO_EXPECTED_GAIN_M3,0.95,0.01,True,70.0,0.009433962264150943
full_405,7,P0_M3_MARGIN_STANDARD,0.8,0.01,False,,
full_405,7,P0_M3_MARGIN_STANDARD,0.9,0.01,False,,
full_405,7,P0_M3_MARGIN_STANDARD,0.95,0.01,False,,
full_405,7,P1_M3_MARGIN_MONO,0.8,0.01,True,39.0,0.0034482758620689655
full_405,7,P1_M3_MARGIN_MONO,0.9,0.01,True,59.0,0.003257328990228013
