population,repeat,arm,threshold,reached,first_true_query_budget,right_censored_at
full_405,1,P0_M3_MARGIN_STANDARD,0.95,True,39.0,120
full_405,1,P0_M3_MARGIN_STANDARD,0.97,True,40.0,120
full_405,1,P0_M3_MARGIN_STANDARD,0.98,True,41.0,120
full_405,1,P1_M3_MARGIN_MONO,0.95,True,40.0,85
full_405,1,P1_M3_MARGIN_MONO,0.97,True,51.0,85
full_405,1,P1_M3_MARGIN_MONO,0.98,False,,85
full_405,1,P2_MONO_BISECTION_M3,0.95,True,38.0,90
full_405,1,P2_MONO_BISECTION_M3,0.97,True,50.0,90
full_405,1,P2_MONO_BISECTION_M3,0.98,True,56.0,90
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.95,True,37.0,88
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.97,True,51.0,88
full_405,1,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,88
full_405,2,P0_M3_MARGIN_STANDARD,0.95,True,16.0,120
full_405,2,P0_M3_MARGIN_STANDARD,0.97,True,37.0,120
full_405,2,P0_M3_MARGIN_STANDARD,0.98,True,46.0,120
full_405,2,P1_M3_MARGIN_MONO,0.95,True,27.0,86
full_405,2,P1_M3_MARGIN_MONO,0.97,True,50.0,86
full_405,2,P1_M3_MARGIN_MONO,0.98,False,,86
full_405,2,P2_MONO_BISECTION_M3,0.95,True,54.0,98
full_405,2,P2_MONO_BISECTION_M3,0.97,True,64.0,98
full_405,2,P2_MONO_BISECTION_M3,0.98,False,,98
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.95,True,26.0,85
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.97,True,34.0,85
full_405,2,P3_MONO_EXPECTED_GAIN_M3,0.98,False,,85
full_405,3,P0_M3_MARGIN_STANDARD,0.95,True,17.0,120
full_405,3,P0_M3_MARGIN_STANDARD,0.97,True,42.0,120
full_405,3,P0_M3_MARGIN_STANDARD,0.98,True,45.0,120
full_405,3,P1_M3_MARGIN_MONO,0.95,True,17.0,87
full_405,3,P1_M3_MARGIN_MONO,0.97,True,42.0,87
full_405,3,P1_M3_MARGIN_MONO,0.98,True,45.0,87
full_405,3,P2_MONO_BISECTION_M3,0.95,True,25.0,94
full_405,3,P2_MONO_BISECTION_M3,0.97,True,45.0,94
full_405,3,P2_MONO_BISECTION_M3,0.98,True,49.0,94
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.95,True,17.0,87
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.97,True,42.0,87
full_405,3,P3_MONO_EXPECTED_GAIN_M3,0.98,True,44.0,87
full_405,4,P0_M3_MARGIN_STANDARD,0.95,True,19.0,120
full_405,4,P0_M3_MARGIN_STANDARD,0.97,True,25.0,120
full_405,4,P0_M3_MARGIN_STANDARD,0.98,True,30.0,120
full_405,4,P1_M3_MARGIN_MONO,0.95,True,21.0,85
full_405,4,P1_M3_MARGIN_MONO,0.97,True,31.0,85
full_405,4,P1_M3_MARGIN_MONO,0.98,False,,85
full_405,4,P2_MONO_BISECTION_M3,0.95,True,31.0,91
full_405,4,P2_MONO_BISECTION_M3,0.97,True,52.0,91
full_405,4,P2_MONO_BISECTION_M3,0.98,False,,91
