repeat,prediction_model,B1_q20_AULC_16_80,B1_q30_AULC_16_80
1,frozen_4d_margin,0.8095588235294118,0.8539999999999999
1,gpc4_assisted_product,0.7984374999999999,0.8472500000000001
1,gpc4_h_acquisition,0.8109375,0.8550625000000001
1,gpc5_margin,0.8254595588235294,0.8695625
1,h_model_h_acquisition,0.8272058823529413,0.8650625
1,matched_random_mean_of_30_paths,0.7907506127450981,0.83395625
2,frozen_4d_margin,0.8175551470588236,0.8712500000000001
2,gpc4_assisted_product,0.834466911764706,0.8719374999999999
2,gpc4_h_acquisition,0.8296875,0.8703125
2,gpc5_margin,0.8166360294117647,0.8683125
2,h_model_h_acquisition,0.806985294117647,0.8600625
2,matched_random_mean_of_30_paths,0.7940318627450981,0.8407791666666666
3,frozen_4d_margin,0.8238051470588236,0.8634375000000001
3,gpc4_assisted_product,0.8079044117647058,0.8402499999999999
3,gpc4_h_acquisition,0.7988051470588236,0.8296875
3,gpc5_margin,0.8421875,0.8751875
3,h_model_h_acquisition,0.8352022058823529,0.8588125
3,matched_random_mean_of_30_paths,0.7597334558823529,0.7814187499999999
4,frozen_4d_margin,0.7780330882352942,0.8463125
4,gpc4_assisted_product,0.7519301470588236,0.8106874999999999
4,gpc4_h_acquisition,0.7283088235294117,0.7843125
4,gpc5_margin,0.7790441176470588,0.8489374999999999
4,h_model_h_acquisition,0.8305147058823529,0.8772499999999999
4,matched_random_mean_of_30_paths,0.7271752450980392,0.8032541666666667
5,frozen_4d_margin,0.8021139705882353,0.8616249999999999
5,gpc4_assisted_product,0.8317095588235294,0.8733749999999999
5,gpc4_h_acquisition,0.8317095588235294,0.8698750000000001
5,gpc5_margin,0.8140625,0.8676875
5,h_model_h_acquisition,0.8181066176470587,0.874875
5,matched_random_mean_of_30_paths,0.7873835784313725,0.8420249999999999
6,frozen_4d_margin,0.8329963235294118,0.8824375
6,gpc4_assisted_product,0.843841911764706,0.8872500000000001
6,gpc4_h_acquisition,0.8410845588235294,0.8855625
6,gpc5_margin,0.828125,0.8786249999999999
6,h_model_h_acquisition,0.8481617647058822,0.8786875000000001
6,matched_random_mean_of_30_paths,0.7938204656862744,0.8415333333333332
7,frozen_4d_margin,0.8266544117647058,0.873
7,gpc4_assisted_product,0.8258272058823529,0.870125
7,gpc4_h_acquisition,0.8231617647058822,0.8665624999999999
7,gpc5_margin,0.8315257352941176,0.8796250000000001
7,h_model_h_acquisition,0.8428308823529411,0.8789999999999999
7,matched_random_mean_of_30_paths,0.7809865196078432,0.8335229166666667
8,frozen_4d_margin,0.8047794117647058,0.8659374999999999
8,gpc4_assisted_product,0.8026654411764707,0.8557499999999999
8,gpc4_h_acquisition,0.7909007352941176,0.8456249999999998
8,gpc5_margin,0.8054227941176471,0.8628750000000001
8,h_model_h_acquisition,0.8261029411764707,0.8618124999999999
8,matched_random_mean_of_30_paths,0.762610294117647,0.8284166666666666
9,frozen_4d_margin,0.8176470588235294,0.8705624999999999
9,gpc4_assisted_product,0.8117647058823529,0.8696875000000001
9,gpc4_h_acquisition,0.8045955882352942,0.8625624999999999
9,gpc5_margin,0.8217830882352942,0.87325
9,h_model_h_acquisition,0.8482536764705882,0.8744375
9,matched_random_mean_of_30_paths,0.7963786764705881,0.8479020833333333
10,frozen_4d_margin,0.8006433823529411,0.8627499999999999
10,gpc4_assisted_product,0.7661764705882352,0.8265625
10,gpc4_h_acquisition,0.7667279411764706,0.8269375
10,gpc5_margin,0.8025735294117646,0.8641249999999999
10,h_model_h_acquisition,0.8255514705882352,0.8720625
10,matched_random_mean_of_30_paths,0.748875612745098,0.81785625
11,frozen_4d_margin,0.8160845588235294,0.8644999999999999
11,gpc4_assisted_product,0.8129595588235293,0.8514375
11,gpc4_h_acquisition,0.8171875,0.849625
11,gpc5_margin,0.815533088235294,0.8625
11,h_model_h_acquisition,0.8426470588235293,0.8774374999999999
11,matched_random_mean_of_30_paths,0.7732812499999999,0.8233937499999999
