run_id,repeat,fold,beta_logP,beta_logVX,beta_logLS,VX_over_P,LS_over_P
w85__r01_f01,1,1,7.721835181557862,-3.944445734698092,-12.181205058843059,-0.5108171363354986,-1.577501302790761
w85__r01_f02,1,2,10.089094470775038,-5.519999420561591,-15.36666016060985,-0.5471253576375272,-1.5230960722116613
w85__r01_f03,1,3,8.398954511573793,-4.03875332496289,-11.066648972227725,-0.4808638169664417,-1.3176222060707483
w85__r01_f04,1,4,8.052154120867405,-4.381897981311441,-12.654367228499014,-0.544189531836657,-1.5715505489027877
w85__r01_f05,1,5,9.692739540105618,-4.993184051546786,-12.890851287138378,-0.5151468303554948,-1.3299492092818488
w85__r02_f01,2,1,8.475971581184004,-4.8375410263616665,-12.337782722274383,-0.5707358714015311,-1.4556186985882893
w85__r02_f02,2,2,8.203358622397062,-4.3440130912190025,-12.70100406084497,-0.5295408004422536,-1.5482687817850969
w85__r02_f03,2,3,8.395726831424202,-4.386880186525418,-11.168582612452782,-0.5225134493544799,-1.33026989046977
w85__r02_f04,2,4,11.65198991181668,-5.137804995816796,-16.16846632162164,-0.44093798867834355,-1.3876141709687415
w85__r02_f05,2,5,8.065558873721635,-4.246016089200743,-13.041534940375628,-0.5264379264572318,-1.6169412615493022
w85__r03_f01,3,1,7.973592785283253,-4.075388448352554,-13.380089097863065,-0.5111106822352957,-1.6780502162787276
w85__r03_f02,3,2,8.35584832764232,-4.249619426160926,-11.428182267939498,-0.5085802493688867,-1.3676866572761337
w85__r03_f03,3,3,8.647892061642876,-4.691238567537833,-11.74844683328245,-0.5424719150167814,-1.3585330100721156
w85__r03_f04,3,4,11.55216620030813,-5.167112070499136,-17.297602604448844,-0.4472851221930406,-1.49734710395592
w85__r03_f05,3,5,8.47951850141398,-4.581788731143475,-11.900665971272481,-0.5403359554412731,-1.4034601102984818
w85__r04_f01,4,1,10.773086489752574,-5.574024476058816,-17.29545463613266,-0.5174027407429489,-1.605431707299872
w85__r04_f02,4,2,8.869730324083704,-4.318798288994597,-12.330826147734745,-0.48691427260960773,-1.3902143241326328
w85__r04_f03,4,3,8.094954065315724,-4.121702209993392,-10.970401477284327,-0.5091693142093988,-1.3552147904444536
w85__r04_f04,4,4,8.326557490891007,-4.559670684652847,-12.403330264500868,-0.5476057409849129,-1.4896108359390687
w85__r04_f05,4,5,8.507636135256815,-4.479747014905525,-11.82137227216902,-0.5265560190498554,-1.3895013943038332
w85__r05_f01,5,1,8.035872024280206,-4.263312362493251,-13.328369996831047,-0.5305351242045355,-1.658609041627303
w85__r05_f02,5,2,8.56036753298489,-4.402191046593282,-11.92189965569427,-0.5142525749777352,-1.392685490401749
w85__r05_f03,5,3,8.039121349045539,-4.347109389810548,-12.105151170531643,-0.5407443427044011,-1.5057803763552906
w85__r05_f04,5,4,9.649889582527404,-4.7548992082489185,-12.824109912721946,-0.4927413073055663,-1.3289385130314808
w85__r05_f05,5,5,9.414525178430603,-4.89131001924867,-13.077174307636515,-0.5195493056256343,-1.3890423637718152
w85__r06_f01,6,1,7.700083062956558,-4.289715406883321,-12.321364826784295,-0.5570998873402052,-1.6001599886707363
w85__r06_f02,6,2,9.060423869960474,-4.310930806329728,-13.438411669750277,-0.4757979172058906,-1.483199005104482
w85__r06_f03,6,3,9.388127633721814,-4.778640458155414,-12.81044528426888,-0.5090088934230838,-1.3645367621818674
w85__r06_f04,6,4,9.179224798945055,-4.639665791452692,-12.578998970615414,-0.5054528996812363,-1.3703770466609648
w85__r06_f05,6,5,8.361882719080183,-4.566254719909406,-12.1907086047547,-0.5460797374603334,-1.4578904074961352
w85__r07_f01,7,1,7.740446773412252,-4.413022747953482,-12.631219878220277,-0.5701250686345165,-1.631846358224101
w85__r07_f02,7,2,10.59161854776421,-4.506215207518044,-14.842616052360247,-0.4254510476559093,-1.4013548529363704
w85__r07_f03,7,3,8.376086016897013,-4.314524664787572,-11.935418378528976,-0.5151003292091217,-1.4249398053520164
w85__r07_f04,7,4,8.429961326025808,-4.510382643981473,-11.232239796903627,-0.535041914137444,-1.3324188999807567
w85__r07_f05,7,5,9.782434041012907,-5.361707192318674,-13.944919498373888,-0.5480954095718599,-1.4255061102287774
w85__r08_f01,8,1,7.560656302387385,-4.3678851530382445,-13.96309372794554,-0.5777124337286728,-1.8468097436907023
w85__r08_f02,8,2,9.526058529505116,-4.860978556548343,-14.09699688280883,-0.510282247531065,-1.4798352161228192
w85__r08_f03,8,3,9.658278512856228,-4.756112193543486,-14.264385636743299,-0.4924389151972144,-1.4769076722892012
w85__r08_f04,8,4,9.076884078940662,-4.637718103876818,-11.656101037387076,-0.5109372405269357,-1.2841522416740423
w85__r08_f05,8,5,8.367502199924505,-4.187050701596237,-11.227010393352035,-0.5003943353171768,-1.3417397599791883
w85__r09_f01,9,1,8.42721251531158,-4.588786930733949,-11.23281769567565,-0.5445201390609866,-1.332922087257976
w85__r09_f02,9,2,9.93710563963474,-4.778810240580565,-15.792262753717388,-0.4809056493794324,-1.589221582865035
w85__r09_f03,9,3,8.37934849465658,-4.867266083471623,-12.688917946200727,-0.580864501169205,-1.5143084160173446
w85__r09_f04,9,4,8.734750030581804,-3.6772140096998385,-13.250244029748359,-0.4209867479693528,-1.5169574382045352
w85__r09_f05,9,5,8.856905435403448,-5.015949575090483,-11.91248601246232,-0.5663320684265607,-1.3449941516644053
w85__r10_f01,10,1,8.276796222828912,-4.271322475668596,-11.126368072153527,-0.5160598812240309,-1.3442844033618921
w85__r10_f02,10,2,8.96428821439902,-4.981031818456295,-13.62958440591864,-0.5556527968897118,-1.5204313025127774
