repeat,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count,source
1,gpc_4d,full81,0.9929856411949168,0.96828588154091,0.9555555555555556,0.9034287836276612,0.821917808219178,0.9849397590361446,0.0267261385335575,0.0953541722268096,13,5,327,60,405,reused_phase1_5
1,gpc_4d,B1_q30,0.953235294117647,0.8893079222569732,0.856,0.8080882352941177,0.675,0.9411764705882352,0.0832451195538233,0.275265245379706,13,5,80,27,125,reused_phase1_5
1,gpc_4d,B1_q20,0.9233490566037736,0.8568483936764204,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.1084738973598248,0.3526797769113073,10,5,48,22,85,reused_phase1_5
1,log_h_logistic,full81,0.9900148539362932,0.9520306891216312,0.9604938271604938,0.9224707047367552,0.863013698630137,0.9819277108433736,0.0294019780043882,0.1035627125488096,10,6,326,63,405,reused_phase1_5
1,log_h_logistic,B1_q30,0.9405882352941176,0.8343538963298263,0.872,0.8397058823529412,0.75,0.9294117647058824,0.091449757424012,0.3113919104321638,10,6,79,30,125,reused_phase1_5
1,log_h_logistic,B1_q20,0.90625,0.8018126098481253,0.8352941176470589,0.8122051886792453,0.71875,0.9056603773584906,0.1221243913936349,0.417873723448835,9,5,48,23,85,reused_phase1_5
2,gpc_4d,full81,0.99360455520713,0.9709071773204,0.9679012345679012,0.9323320679980194,0.8767123287671232,0.9879518072289156,0.0254930276434815,0.0910616515447836,9,4,328,64,405,reused_phase1_5
2,gpc_4d,B1_q30,0.9570661896243292,0.8940975960864314,0.896,0.8613595706618963,0.7692307692307693,0.9534883720930232,0.0792667168395308,0.2597661560537114,9,4,82,30,125,reused_phase1_5
2,gpc_4d,B1_q20,0.9280660377358492,0.8683151553334141,0.8588235294117647,0.8372641509433962,0.75,0.9245283018867924,0.1061431378826615,0.3410854301089776,8,4,49,24,85,reused_phase1_5
2,log_h_logistic,full81,0.9894372008582274,0.9433250313247646,0.9604938271604938,0.9171274137646476,0.8493150684931506,0.9849397590361446,0.0295362574470065,0.1060670386753027,11,5,327,62,405,reused_phase1_5
2,log_h_logistic,B1_q30,0.9376863446630888,0.8149173294079947,0.872,0.8299045915324985,0.717948717948718,0.9418604651162792,0.0925891913398036,0.3226257045373084,11,5,81,28,125,reused_phase1_5
2,log_h_logistic,B1_q20,0.9003537735849056,0.7850588367900748,0.8235294117647058,0.7965801886792453,0.6875,0.9056603773584906,0.1249146149469945,0.4364851443438741,10,5,48,22,85,reused_phase1_5
3,gpc_4d,full81,0.9939346426803104,0.9721864435416968,0.9679012345679012,0.926988777025912,0.863013698630137,0.9909638554216867,0.0249442064394753,0.0898378216355853,10,3,329,63,405,reused_phase1_5
