run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text,residual_rms_full81,residual_rms_B1_q20
w85__r01_f01,1,1,generic_trend_residual_gp,full81,0.997979797979798,0.9913888888888889,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.359, trend_prior_sd=5)",1.0,1.3592738076911826,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2649862661615588,0.44921226357766786
w85__r01_f01,1,1,generic_trend_residual_gp,B1_q30,0.9852941176470588,0.9704861111111112,0.92,0.875,0.75,1.0,2,0,17,6,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.359, trend_prior_sd=5)",1.0,1.3592738076911826,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2649862661615588,0.44921226357766786
w85__r01_f01,1,1,generic_trend_residual_gp,B1_q20,0.9714285714285714,0.9617346938775511,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0,10,5,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.359, trend_prior_sd=5)",1.0,1.3592738076911826,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.2649862661615588,0.44921226357766786
w85__r01_f02,1,2,generic_trend_residual_gp,full81,0.9850746268656716,0.9300808162180342,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,64,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.234, trend_prior_sd=5)",1.0,1.2344570469280667,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21420332878641846,0.2699735063954392
w85__r01_f02,1,2,generic_trend_residual_gp,B1_q30,0.8859649122807018,0.6256313131313131,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1,3,16,5,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.234, trend_prior_sd=5)",1.0,1.2344570469280667,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21420332878641846,0.2699735063954392
w85__r01_f02,1,2,generic_trend_residual_gp,B1_q20,0.8166666666666668,0.5787301587301588,0.7647058823529411,0.775,0.8,0.75,1,3,9,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.234, trend_prior_sd=5)",1.0,1.2344570469280667,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21420332878641846,0.2699735063954392
w85__r01_f03,1,3,generic_trend_residual_gp,full81,0.9989339019189765,0.9952380952380953,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1,0,67,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.413, trend_prior_sd=5)",1.0,1.412621663372669,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22922342685022457,0.3577158287670695
w85__r01_f03,1,3,generic_trend_residual_gp,B1_q30,0.9920634920634921,0.982142857142857,0.96,0.9285714285714286,0.8571428571428571,1.0,1,0,18,6,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.413, trend_prior_sd=5)",1.0,1.412621663372669,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22922342685022457,0.3577158287670695
w85__r01_f03,1,3,generic_trend_residual_gp,B1_q20,0.9857142857142858,0.982142857142857,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1,0,10,6,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.413, trend_prior_sd=5)",1.0,1.412621663372669,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22922342685022457,0.3577158287670695
w85__r01_f04,1,4,generic_trend_residual_gp,full81,0.9878787878787879,0.961244019138756,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.449, trend_prior_sd=5)",1.0,1.4491714094168018,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.24316078200789945,0.37964521699239073
w85__r01_f04,1,4,generic_trend_residual_gp,B1_q30,0.926470588235294,0.900974025974026,0.92,0.875,0.75,1.0,2,0,17,6,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.449, trend_prior_sd=5)",1.0,1.4491714094168018,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.24316078200789945,0.37964521699239073
w85__r01_f04,1,4,generic_trend_residual_gp,B1_q20,0.8636363636363635,0.8501683501683501,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,2,0,11,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.449, trend_prior_sd=5)",1.0,1.4491714094168018,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.24316078200789945,0.37964521699239073
w85__r01_f05,1,5,generic_trend_residual_gp,full81,0.9818181818181818,0.9270402582167288,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,65,12,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.176, trend_prior_sd=5)",1.0,1.1756645021992949,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.17968987710140166,0.2524284622956602
w85__r01_f05,1,5,generic_trend_residual_gp,B1_q30,0.8831168831168831,0.8643652099534453,0.84,0.827922077922078,0.7272727272727273,0.9285714285714286,3,1,13,8,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.176, trend_prior_sd=5)",1.0,1.1756645021992949,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.17968987710140166,0.2524284622956602
w85__r01_f05,1,5,generic_trend_residual_gp,B1_q20,0.8142857142857143,0.7888278388278387,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1,9,5,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.176, trend_prior_sd=5)",1.0,1.1756645021992949,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.17968987710140166,0.2524284622956602
w85__r02_f01,2,1,generic_trend_residual_gp,full81,0.992929292929293,0.9716303579461475,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,64,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.438, trend_prior_sd=5)",1.0,1.4378776574190388,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.23422451531770774,0.36573249378541506
w85__r02_f01,2,1,generic_trend_residual_gp,B1_q30,0.9523809523809524,0.8843537414965985,0.88,0.873015873015873,0.8571428571428571,0.8888888888888888,1,2,16,6,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.438, trend_prior_sd=5)",1.0,1.4378776574190388,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.23422451531770774,0.36573249378541506
w85__r02_f01,2,1,generic_trend_residual_gp,B1_q20,0.9142857142857141,0.8843537414965985,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2,8,6,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.438, trend_prior_sd=5)",1.0,1.4378776574190388,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.23422451531770774,0.36573249378541506
w85__r02_f02,2,2,generic_trend_residual_gp,full81,0.995959595959596,0.9859649122807017,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.587, trend_prior_sd=5)",1.0,1.5865067563983766,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22743997690186943,0.3361377337236592
w85__r02_f02,2,2,generic_trend_residual_gp,B1_q30,0.9600000000000001,0.9111111111111112,0.96,0.9,0.8,1.0,1,0,20,4,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.587, trend_prior_sd=5)",1.0,1.5865067563983766,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22743997690186943,0.3361377337236592
w85__r02_f02,2,2,generic_trend_residual_gp,B1_q20,0.9333333333333333,0.9111111111111112,0.9411764705882353,0.9,0.8,1.0,1,0,12,4,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.587, trend_prior_sd=5)",1.0,1.5865067563983766,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.22743997690186943,0.3361377337236592
w85__r02_f03,2,3,generic_trend_residual_gp,full81,0.9978678038379531,0.9910714285714285,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.341, trend_prior_sd=5)",1.0,1.3411530894638748,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21815384927983764,0.33782365903389006
w85__r02_f03,2,3,generic_trend_residual_gp,B1_q30,0.9870129870129871,0.9860139860139859,0.92,0.9090909090909092,0.8181818181818182,1.0,2,0,14,9,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.341, trend_prior_sd=5)",1.0,1.3411530894638748,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21815384927983764,0.33782365903389006
w85__r02_f03,2,3,generic_trend_residual_gp,B1_q20,0.9714285714285714,0.9833333333333333,0.8823529411764706,0.9,0.8,1.0,2,0,7,8,17,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.341, trend_prior_sd=5)",1.0,1.3411530894638748,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.21815384927983764,0.33782365903389006
w85__r02_f04,2,4,generic_trend_residual_gp,full81,0.9838383838383838,0.9156715019872914,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,64,14,81,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.045, trend_prior_sd=5)",1.0,1.04510756516771,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.19522999894141874,0.28897001067120476
w85__r02_f04,2,4,generic_trend_residual_gp,B1_q30,0.9044117647058822,0.7180555555555556,0.88,0.8786764705882353,0.875,0.8823529411764706,1,2,15,7,25,optimized_generic_additive_laplace,"GenericTrendResidualKernel(residual_sd=1, length_scale=1.045, trend_prior_sd=5)",1.0,1.04510756516771,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.,0.19522999894141874,0.28897001067120476
