family,model,repeat,fold,roc_auc,pr_auc,balanced_accuracy,brier_score,log_loss
glm,L1_interactions,1,1,0.9957983193277311,0.982142857142857,0.9285714285714286,0.022030975614926094,0.06702671065718267
glm,L1_interactions,1,2,1.0,1.0,1.0,0.023387973668249698,0.08775285949611601
glm,L1_interactions,1,3,0.9772727272727272,0.9464285714285714,0.9223484848484849,0.04406814309272918,0.18831212289778218
glm,L1_interactions,1,4,0.9810606060606061,0.9067956349206349,0.9223484848484849,0.034754495709157715,0.12379262344028914
glm,L1_interactions,1,5,1.0,1.0,1.0,0.010264941397598176,0.05098990967243609
glm,L1_interactions,1,6,1.0,1.0,0.9545454545454546,0.026562892616479417,0.08109951401844857
glm,L1_interactions,1,7,0.987012987012987,0.9379251700680272,0.8419913419913421,0.04725357731103017,0.13740872444193536
glm,L1_interactions,1,8,0.9956709956709957,0.9821428571428572,0.9134199134199135,0.021032043173608815,0.0678007249843531
glm,L1_interactions,1,9,1.0,1.0,1.0,0.0013185314369257332,0.012044247632781566
glm,L1_interactions,1,10,1.0,1.0,0.7857142857142857,0.03899399767311643,0.11958235468492331
glm,L1_interactions,2,1,0.9705882352941176,0.8752628324056895,0.8991596638655461,0.07172519910247185,0.2477114607207603
glm,L1_interactions,2,2,1.0,1.0,1.0,0.010892196507554547,0.05482505223456318
glm,L1_interactions,2,3,1.0,1.0,1.0,0.004498962045028642,0.024726648407313298
glm,L1_interactions,2,4,1.0,1.0,0.9375,0.01852122891089158,0.08368073354997126
glm,L1_interactions,2,5,1.0,1.0,0.9375,0.014917286706823853,0.05366643825714667
glm,L1_interactions,2,6,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.020589887517835394,0.06488228857549352
glm,L1_interactions,2,7,0.9826839826839827,0.9325396825396826,0.8571428571428572,0.037426389071593735,0.10398616306492998
glm,L1_interactions,2,8,0.9956709956709957,0.9821428571428572,0.9134199134199135,0.031120597668212825,0.09040683894487297
glm,L1_interactions,2,9,0.9956709956709957,0.9821428571428572,0.9285714285714286,0.0338432013650538,0.10418404304358682
glm,L1_interactions,2,10,1.0,1.0,1.0,0.012637429452683962,0.05344150466764484
glm,L1_interactions,3,1,1.0,1.0,1.0,0.0020533770580230086,0.015924334091463828
glm,L1_interactions,3,2,0.9873949579831933,0.947845804988662,0.8571428571428572,0.042818079686908705,0.13260406760594173
glm,L1_interactions,3,3,1.0,1.0,0.9848484848484849,0.01521269508905841,0.05106859337392075
glm,L1_interactions,3,4,0.9848484848484849,0.9472222222222222,0.875,0.04221922566012059,0.11814554324189175
glm,L1_interactions,3,5,0.9810606060606061,0.906795634920635,0.9223484848484849,0.03987213627741053,0.1646115338352024
glm,L1_interactions,3,6,1.0,1.0,1.0,0.004099329578221501,0.018533179377060244
glm,L1_interactions,3,7,1.0,1.0,1.0,0.01044703067861093,0.0374479693839607
glm,L1_interactions,3,8,0.9913419913419914,0.9617346938775511,0.8419913419913421,0.04063280849354042,0.11268904327486644
glm,L1_interactions,3,9,0.9870129870129871,0.9478458049886621,0.8571428571428572,0.03125369928750994,0.08852029215716406
glm,L1_interactions,3,10,0.9826839826839827,0.9093537414965986,0.9134199134199135,0.03333984641604399,0.12723248393829256
glm,L1_interactions,4,1,0.9873949579831932,0.9571428571428571,0.8991596638655461,0.0367017621459457,0.10819194493515236
glm,L1_interactions,4,2,1.0,1.0,1.0,0.003624008993744055,0.028620729449044716
glm,L1_interactions,4,3,0.9772727272727272,0.9464285714285714,0.875,0.03979575663158565,0.17947156725306188
glm,L1_interactions,4,4,1.0,1.0,1.0,0.012637403016515555,0.045437810907762374
glm,L1_interactions,4,5,0.9810606060606061,0.9381313131313131,0.875,0.04248351174302764,0.13015236993767493
