model,feature,block,mean_standardized_coefficient,sd_across_repeats,repeat_ci_low,repeat_ci_high,sign_stability,folds
4d_only,LS,process_input_4d,-2.1367378737313016,0.01132484421697503,-2.158546629901244,-2.1204885485255187,1.0,100
4d_only,P,process_input_4d,2.6236309557734017,0.0075851159213182395,2.609861934629185,2.637709175250291,1.0,100
4d_only,ST,process_input_4d,-0.17108802835476924,0.005505734040763084,-0.17712064772680536,-0.16001131200359248,0.93,100
4d_only,VX,process_input_4d,-1.4807493581518483,0.004944324360773682,-1.4905523129918863,-1.4720920526372894,1.0,100
4d_plus_width_dynamics,LS,process_input_4d,-2.506121014067984,0.01712591043194557,-2.525339140126804,-2.4670994835394757,1.0,100
4d_plus_width_dynamics,P,process_input_4d,2.568233781298588,0.017298270398735976,2.544714212286881,2.603922424100051,1.0,100
4d_plus_width_dynamics,ST,process_input_4d,-0.06691458023446901,0.0067154577812375245,-0.07801871070361684,-0.05558593275040078,0.72,100
4d_plus_width_dynamics,VX,process_input_4d,-1.520749126801772,0.037080942090163015,-1.550748149266893,-1.4333585297947384,1.0,100
4d_plus_width_dynamics,robust_early_dWdt_20_um_per_ms,width_dynamics,-0.30588862918424037,0.012202203716930581,-0.3247669951849595,-0.28733243448769885,0.99,100
4d_plus_width_dynamics,robust_early_dWdt_40_um_per_ms,width_dynamics,-0.5248315226499654,0.012167740169015047,-0.5502098234021934,-0.5078044544537016,1.0,100
4d_plus_width_dynamics,robust_max_positive_dWdt_um_per_ms,width_dynamics,-0.21523369978731868,0.04729949930397799,-0.3326901523351884,-0.1864451036405186,0.88,100
4d_plus_width_dynamics,robust_median_positive_dWdt_um_per_ms,width_dynamics,0.22619172007799945,0.021638829561545506,0.18337973433581944,0.250438329482566,0.95,100
4d_plus_width_dynamics,robust_time_of_max_dWdt_tau,width_dynamics,-0.10532562310887801,0.018221293893376983,-0.13568918297426893,-0.07224548835113813,0.58,100
4d_plus_width_dynamics,time_to_50pct_max_width_tau,width_dynamics,-0.42046565449105033,0.021205834357332424,-0.45297405700506344,-0.3757739460816821,1.0,100
4d_plus_width_dynamics,width_gain_20_um,width_dynamics,0.07561002234485176,0.010199152457371628,0.06134495981433669,0.09319721051889732,0.85,100
4d_plus_width_dynamics,width_gain_40_um,width_dynamics,0.7431499695006545,0.008791242861174931,0.7285132526973463,0.7589729567176329,1.0,100
width_dynamics_only,robust_early_dWdt_20_um_per_ms,width_dynamics,0.44770248704383553,0.006116349612039926,0.4384161553471247,0.45859554766942145,1.0,100
width_dynamics_only,robust_early_dWdt_40_um_per_ms,width_dynamics,-0.4258587350526173,0.00969978149291103,-0.44484014288660384,-0.4093891521497649,1.0,100
width_dynamics_only,robust_max_positive_dWdt_um_per_ms,width_dynamics,-0.6500658177594429,0.008861233912275744,-0.6693946692363274,-0.6366743604174957,1.0,100
width_dynamics_only,robust_median_positive_dWdt_um_per_ms,width_dynamics,-0.551270562631452,0.012427111893368635,-0.5746296953435515,-0.5363001408023874,1.0,100
width_dynamics_only,robust_time_of_max_dWdt_tau,width_dynamics,-0.1520731821383796,0.030042887720793516,-0.20682078066845336,-0.10683092409223274,0.75,100
width_dynamics_only,time_to_50pct_max_width_tau,width_dynamics,0.31229694938520886,0.009670405865853158,0.2978747028295058,0.32945649523343323,1.0,100
width_dynamics_only,width_gain_20_um,width_dynamics,-0.5644135699496079,0.008026022392270427,-0.576388624860959,-0.5498998404202758,1.0,100
width_dynamics_only,width_gain_40_um,width_dynamics,0.5611189865593995,0.008769164119891057,0.545195344534325,0.5769149721580027,0.98,100
