subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
full,4d_plus_width_dynamics - 4d_only,primary,accuracy,False,-0.0007142857142857173,-0.0022857142857142855,0.0008571428571428508,0.5015749212539373,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_dynamics - 4d_only,primary,balanced_accuracy,False,-0.0015178571428571374,-0.004910714285714268,0.002053571428571421,0.44542772861356933,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_dynamics - 4d_only,primary,keyhole_recall,False,-0.002857142857142858,-0.009303571428571439,0.0035714285714285752,0.5436728163591821,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,4d_plus_width_dynamics - 4d_only,primary,brier_score,True,-0.0008794886272059799,-0.001619773118617902,-0.0001178577459677804,0.04209789510524474,20,0.2525873706314684,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,4d_plus_width_dynamics - 4d_only,primary,pr_auc,False,0.002138131968689122,-0.0007837597218415277,0.00493239939592263,0.17259137043147843,20,0.8629568521573922,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,4d_plus_width_dynamics - 4d_only,primary,roc_auc,False,-0.0009387755102040929,-0.0031251913265306283,0.0009337372448979171,0.3868806559672016,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,4d_plus_width_dynamics - 4d_only,primary,accuracy,False,0.0019671828882355303,-0.00396401296072346,0.008522540759382857,0.5659217039148042,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,4d_plus_width_dynamics - 4d_only,primary,balanced_accuracy,False,0.003467038576350873,-0.003715177076956706,0.011217148672568239,0.4004299785010749,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,4d_plus_width_dynamics - 4d_only,primary,keyhole_recall,False,0.010129426214312204,-0.001954836143995971,0.02505462418560305,0.1960901954902255,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,4d_plus_width_dynamics - 4d_only,primary,brier_score,True,-0.0021267183643041707,-0.0049851779185337225,0.000977437461862659,0.19129043547822608,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,4d_plus_width_dynamics - 4d_only,primary,pr_auc,False,0.004184767637161591,-0.002646760562186524,0.010617012327903729,0.2472876356182191,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,4d_plus_width_dynamics - 4d_only,primary,roc_auc,False,-0.0008386762838523354,-0.011196461560309973,0.008494611345235041,0.8707064646767662,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,4d_plus_width_dynamics - 4d_only,primary,accuracy,False,0.0031090508973211695,-0.0009213068700705128,0.007541254127888689,0.22428878556072196,20,0.4485775711214439,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,4d_plus_width_dynamics - 4d_only,primary,balanced_accuracy,False,0.004891309207549277,-0.0001603304480580199,0.010516366860281314,0.11229438528073596,20,0.35138243087845605,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,4d_plus_width_dynamics - 4d_only,primary,keyhole_recall,False,0.01052236446973288,0.0010924905168326054,0.02115734155207838,0.08784560771961401,20,0.35138243087845605,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q30,4d_plus_width_dynamics - 4d_only,primary,brier_score,True,-0.0046294913929275285,-0.0066521331734317405,-0.00262528132389297,0.0004999750012499375,20,0.002999850007499625,IMPROVES,IMPROVES,ranking_or_probability
q30,4d_plus_width_dynamics - 4d_only,primary,pr_auc,False,0.010427727808180343,0.0047998866649889525,0.015971878834753584,0.0018999050047497626,20,0.009499525023748814,IMPROVES,IMPROVES,ranking_or_probability
q30,4d_plus_width_dynamics - 4d_only,primary,roc_auc,False,0.002180789456474391,-0.006393065082198557,0.009157900938797215,0.5953702314884256,20,0.5953702314884256,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
