feature,feature_group,in_width_dynamics_block,conduction_n,keyhole_n,conduction_median,keyhole_median,median_difference_keyhole_minus_conduction,median_difference_ci_low,median_difference_ci_high,cliffs_delta,spearman_rho_with_label,spearman_p,holm_p
P,process_input_4d,False,280,70,171.834727043,377.06712064249996,205.23239359949997,188.23519764252498,220.05238691577492,0.8757142857142857,0.6067151307017549,1.4393754526441047e-36,2.159063178966157e-35
VX,process_input_4d,False,280,70,0.6439559119830001,0.521289811559,-0.12266610042400006,-0.2047314037749749,-0.03469495685396258,-0.20448979591836736,-0.14167529447123434,0.007944434769416987,0.07944434769416987
LS,process_input_4d,False,280,70,6.633156548755e-05,4.376193100255e-05,-2.2569634485e-05,-2.503572808509499e-05,-2.003080279862e-05,-0.8096938775510204,-0.5610194163490991,2.0783983613603438e-30,2.909757705904481e-29
ST,process_input_4d,False,280,70,350.495599669,349.4177983955,-1.0778012735000289,-16.822691097737533,14.712140990000016,0.024489795918367363,0.01696845115611642,0.7517461147901788,1.0
log_h,physics_coordinate,False,280,70,19.877501068743012,21.140958443632172,1.2634573748891604,1.1780207722288167,1.3699161144379566,0.9816326530612245,0.6800978277034352,7.55167058512825e-49,1.20826729362052e-47
W_initial_um,static_width,False,280,70,4.0,4.0,0.0,0.0,0.0,-0.014285714285714284,-0.02735878275822914,0.6099810849841713,1.0
W_max_um,static_width,False,280,70,174.82940300986849,174.5345381027778,-0.2948649070906981,-8.036367356776744,15.901443786083014,0.16234693877551015,0.11247771765864506,0.03542934927876399,0.31886414350887593
W_T0_um,static_width,False,280,70,161.11800936361104,158.6889319086111,-2.429077454999941,-13.435578056159642,14.907997383802119,0.06142857142857139,0.04255913641137921,0.42735849114484536,1.0
width_gain_20_um,width_shape,True,280,70,154.53005515384615,156.70741573626375,2.177360582417606,-4.775749452332936,12.485682036093007,0.1193877551020408,0.08271460066663401,0.1224525927855759,0.8571681494990313
width_gain_40_um,width_shape,True,280,70,157.67704146519338,162.9634692754696,5.286427810276223,-6.688287922636627,18.30178765146846,0.15071428571428575,0.10441834631163971,0.05095735091377167,0.40765880731017334
time_to_50pct_max_width_tau,width_shape,True,280,70,0.035,0.035,0.0,0.0,0.010000000000000002,0.24311224489795918,0.17003902664733125,0.001407821847303958,0.016893862167647496
robust_max_positive_dWdt_um_per_ms,width_robust_derivative,True,280,70,3335.3353556821226,2711.5314171009895,-623.803938581133,-984.1277500236281,-51.31679901166555,-0.22959183673469385,-0.15906653974352697,0.002842840737328673,0.03127124811061541
robust_median_positive_dWdt_um_per_ms,width_robust_derivative,True,280,70,26.834971640225085,19.511284928504974,-7.323686711720111,-11.240488524495207,-4.0583702212788575,-0.2656122448979592,-0.1840223124232892,0.0005401333522468174,0.007021733579208626
robust_early_dWdt_20_um_per_ms,width_robust_derivative,True,280,70,382.6132397538066,401.16583471826976,18.55259496446314,-34.31654815425776,60.12056920245619,0.10489795918367345,0.07267573460282031,0.17491816248526035,1.0
robust_early_dWdt_40_um_per_ms,width_robust_derivative,True,280,70,19.0629977393601,18.698007291819373,-0.36499044754072685,-12.15345272091231,26.96723223774642,-0.015714285714285736,-0.010887220942445847,0.8391673617641404,1.0
robust_time_of_max_dWdt_tau,width_robust_derivative,True,280,70,0.0,0.0,0.0,0.0,0.0,-0.015459183673469393,-0.020588148123989475,0.7011031162535208,1.0
