experiment_name,population_row_index,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,resolution_points
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,342,0,50,59.3254601043956,0.0,4.0,-2.46440501777775,0.47512002833337874,0.56,147.023686449617,1830.079157656051,14.656561612969998,0.56,51
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,164,0,50,71.36562938148516,0.0,4.0,-2.179377449538464,0.8463577006098646,0.64,132.69325806791437,2859.2278023462604,33.90889268807304,0.64,51
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,343,0,50,63.430311964835155,0.0,4.0,-1.6061675333332914,0.9846077755555314,0.68,180.5099432897237,1876.2274532828217,29.12405886064638,0.68,51
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,344,0,50,52.19677991208792,0.0,4.0,-3.984161477777789,0.5306113666666903,0.62,119.3834448239969,2628.069916615961,26.715896507406253,0.62,51
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,50,51.24035064285712,0.0,4.0,-2.6022488122808056,0.5587979625730739,0.56,132.02340373455468,1775.4657756662757,19.36221445820324,0.56,51
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,165,0,50,59.62728615469619,0.0,4.0,-64.0053607099999,3.941110470793525,0.6,213.55000444132713,3010.460711558105,198.97867230537534,0.6,51
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,166,0,50,54.5856251021978,0.0,4.0,-7.285427426373644,0.4881720718324303,0.6,138.2108061982139,2800.8976881889625,25.049086181094523,0.6,51
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,50,61.32595043516484,0.0,4.0,-3.261067365879427,1.2314726320684812,0.48,137.31571626114444,3077.982775567406,61.808280559741064,0.48,51
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,168,0,50,78.78281660039603,0.0,4.0,-1.620865697971226,3.0497246489010053,0.58,173.44495213493792,3155.933870209771,122.16787530076586,0.58,51
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,345,0,50,62.953772800000024,0.0,4.0,-1.1801256471374018,0.7367271819883001,0.7,183.53463023597806,1831.717759073167,21.43598711910575,0.7,51
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,346,0,50,29.408009138121553,0.02040816326530612,4.0,-2.4831462121546792,2.0698404288887673,0.82,191.00380967355818,1094.707878891038,77.0494396580718,0.82,51
