subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.00028571428571428915,-0.0009999999999999842,0.001571428571428568,0.8275086245687716,20,0.8275086245687716,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.002053571428571421,-0.00044642857142858096,0.004821428571428555,0.15714214289285536,20,0.48597570121493927,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.004999999999999993,0.0,0.009999999999999992,0.12149392530373482,20,0.48597570121493927,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0015551487188919604,0.0010838480166976382,0.002052735655771933,4.999750012499375e-05,20,0.0002999850007499625,DEGRADES,DEGRADES,ranking_or_probability
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,-0.0005956971003064082,-0.0019347628699856558,0.000645995107877895,0.3904304784760762,20,0.7808609569521524,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,-0.0005943877551020827,-0.0012500637755102607,-2.5510204081652386e-05,0.0823958802059897,20,0.4119794010299485,DEGRADES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.003333579649369117,-0.002563226247436773,0.008695306293990486,0.2087895605219739,20,0.4175791210439478,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.005659147806873854,-0.001130368527068452,0.01248681172796244,0.13074346282685867,20,0.392230388480576,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.016642267863763965,0.004662172172122457,0.028754103021214034,0.029798510074496274,20,0.14199290035498224,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0006617726851963184,-0.0008232720532922549,0.0021460474368076615,0.40287985600719967,20,0.4175791210439478,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,0.008475656229713852,0.0032170219200996965,0.013306268269542945,0.005949702514874256,20,0.03569821508924554,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,0.003899519656514938,0.0008054585163420447,0.007047906683604852,0.02839858007099645,20,0.14199290035498224,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.000856800657685608,-0.003173264538170509,0.0048665407556447255,0.8254087295635218,20,0.8254087295635218,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.003053646139623045,-0.002050789695087218,0.00831642754936729,0.27888605569721514,20,0.5577721113944303,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.009532710848500315,0.0002070567531093795,0.019065467289151483,0.04824758762061897,20,0.24123793810309485,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0011856228788884025,4.61331170967585e-05,0.002314455321415072,0.06649667516624169,20,0.26598670066496677,DEGRADES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,0.0048112995729839795,0.001045166002377354,0.008556133619332757,0.02689865506724664,20,0.16139193040347982,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q30,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,0.0018101302247841733,-1.742477305515061e-05,0.0036540261252184735,0.07649617519124044,20,0.26598670066496677,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.0008571428571428674,0.002285714285714291,0.512074396280186,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.0036607142857142893,0.00017857142857143903,0.0073214285714285786,0.06554672266386681,20,0.23498825058747064,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.00857142857142858,0.002142857142857141,0.015714285714285726,0.04699765011749413,20,0.23498825058747064,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,0.0009314754039960864,0.0005105961063968185,0.0013533415875735554,0.0007499625018749063,20,0.004499775011249438,DEGRADES,DEGRADES,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.0011795237706102191,8.881367005462007e-05,0.002263839968015421,0.05394730263486826,20,0.23498825058747064,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,4.846938775508458e-05,-0.0005459183673469708,0.0006020408163265218,0.880205989700515,20,1.0,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.005298465166886213,-0.0019127619949988392,0.01256140774232878,0.1407929603519824,20,0.1528923553822309,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.008523000778621465,3.54464721988583e-05,0.0173976943693611,0.07644617769111545,20,0.1528923553822309,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.023435795063297838,0.00783731469158853,0.0398498579771174,0.014199290035498226,20,0.0567971601419929,IMPROVES,NO DETECTABLE DIFFERENCE,hard_decision
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,-0.001965480216156522,-0.0035946171503121477,-0.0004015278031353081,0.02944852757362132,20,0.08834558272086396,IMPROVES,NO DETECTABLE DIFFERENCE,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.01533888387009325,0.010119991972245399,0.020603501575982095,9.99950002499875e-05,20,0.000599970001499925,IMPROVES,IMPROVES,ranking_or_probability
q20,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,0.008113619424693002,0.0046833079431065575,0.011635909944362808,0.000199990000499975,20,0.000999950002499875,IMPROVES,IMPROVES,ranking_or_probability
q30,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.0017660378881658389,-0.0031654529342747375,0.0067213699356520225,0.567621618919054,20,0.576271186440678,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
