subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,roc_auc,False,-0.0005943877551020827,-0.0012500637755102607,-2.5510204081652386e-05,0.0823958802059897,20,0.4119794010299485
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,pr_auc,False,-0.0005956971003064082,-0.0019347628699856558,0.000645995107877895,0.3904304784760762,20,0.7808609569521524
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,accuracy,False,0.00028571428571428915,-0.0009999999999999842,0.001571428571428568,0.8275086245687716,20,0.8275086245687716
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,balanced_accuracy,False,0.002053571428571421,-0.00044642857142858096,0.004821428571428555,0.15714214289285536,20,0.48597570121493927
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,keyhole_recall,False,0.004999999999999993,0.0,0.009999999999999992,0.12149392530373482,20,0.48597570121493927
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,conduction_recall,False,-0.0008928571428571397,-0.0016071428571428515,-0.0003571428571428559,0.06269686515674217,20,
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_negative,True,-0.35,-0.7,0.0,0.12129393530323483,20,
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,false_positive,True,0.25,0.1,0.45,0.060446977651117444,20,
full,gpc_4d_plus_early_p02 - gpc_4d,early_prefix,brier_score,True,0.0015551487188919604,0.0010838480166976382,0.002052735655771933,4.999750012499375e-05,20,0.0002999850007499625
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,roc_auc,False,4.846938775508458e-05,-0.0005459183673469708,0.0006020408163265218,0.880205989700515,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,pr_auc,False,0.0011795237706102191,8.881367005462007e-05,0.002263839968015421,0.05394730263486826,20,0.23498825058747064
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.0008571428571428674,0.002285714285714291,0.512074396280186,20,1.0
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,balanced_accuracy,False,0.0036607142857142893,0.00017857142857143903,0.0073214285714285786,0.06554672266386681,20,0.23498825058747064
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,keyhole_recall,False,0.00857142857142858,0.002142857142857141,0.015714285714285726,0.04699765011749413,20,0.23498825058747064
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,conduction_recall,False,-0.0012500000000000067,-0.0023214285714285854,-0.00017857142857143903,0.06129693515324234,20,
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_negative,True,-0.6,-1.1,-0.1,0.047847607619619016,20,
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,false_positive,True,0.35,0.05,0.65,0.06184690765461727,20,
full,gpc_4d_plus_early_p05 - gpc_4d,early_prefix,brier_score,True,0.0009314754039960864,0.0005105961063968185,0.0013533415875735554,0.0007499625018749063,20,0.004499775011249438
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,roc_auc,False,1.2755102040790111e-05,-0.00058928571428572,0.0005714285714285793,0.9745512724363782,20,1.0
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,pr_auc,False,0.0010965661649403324,-5.676813234009855e-05,0.002212545626703414,0.0807459627018649,20,0.40272986350682466
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.0011428571428571343,0.002428571428571441,0.5354232288385581,20,1.0
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,balanced_accuracy,False,0.0036607142857142836,-0.00035714285714286695,0.007767857142857121,0.10669466526673667,20,0.40272986350682466
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,keyhole_recall,False,0.008571428571428586,0.0007142857142857229,0.01714285714285716,0.08054597270136493,20,0.40272986350682466
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,conduction_recall,False,-0.0012500000000000122,-0.002321428571428591,-0.0001785714285714446,0.06324683765811709,20,
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,false_negative,True,-0.6,-1.2,-0.05,0.08114594270286486,20,
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,false_positive,True,0.35,0.05,0.65,0.06204689765511724,20,
full,gpc_4d_plus_early_p10 - gpc_4d,early_prefix,brier_score,True,0.0009224202382032056,0.000480230683370134,0.0013624101127435008,0.000999950002499875,20,0.00599970001499925
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,roc_auc,False,-1.6653345369377347e-17,-0.0006326530612245253,0.0005637755102040677,1.0,20,1.0
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,pr_auc,False,0.001092718004796034,-3.68285238574871e-05,0.0022287101498048214,0.0807959602019899,20,0.3231838408079596
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,accuracy,False,0.0007142857142857118,-0.0011428571428571343,0.0025714285714285635,0.5591220438978051,20,1.0
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,balanced_accuracy,False,0.0039285714285714314,-0.00026785714285713637,0.007946428571428582,0.08984550772461376,20,0.3231838408079596
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,keyhole_recall,False,0.009285714285714303,0.00142857142857144,0.01785714285714287,0.058447077646117694,20,0.2922353882305885
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,conduction_recall,False,-0.00142857142857144,-0.0025000000000000187,-0.00035714285714286695,0.03574821258937053,20,
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,false_negative,True,-0.65,-1.2,-0.1,0.055697215139243035,20,
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,false_positive,True,0.4,0.1,0.7,0.03564821758912055,20,
full,gpc_4d_plus_early_p20 - gpc_4d,early_prefix,brier_score,True,0.0009220795203613815,0.0004653280226395888,0.0013688335550245327,0.0006999650017499125,20,0.004199790010499475
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,roc_auc,False,-7.653061224510704e-06,-0.000645471938775574,0.0005867346938775057,0.9863006849657517,20,1.0
full,gpc_4d_plus_early_p40 - gpc_4d,early_prefix,pr_auc,False,0.0010805071496566786,-7.674403373067295e-05,0.002226217652856431,0.08189590520473976,20,0.32758362081895903
