repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
1,gpc_4d,full,350,70,0.9922448979591836,0.9723354959233748,0.9685714285714285,0.9375,0.8857142857142857,0.9892857142857143,8,3,0.026299554887623797
1,gpc_4d,q30,110,37,0.9540910773787487,0.9022905928678453,0.9,0.8713439466864124,0.7837837837837838,0.958904109589041,8,3,0.07848613859443433
1,gpc_4d,q20,77,29,0.9274425287356322,0.8684549836240051,0.8701298701298701,0.8480603448275862,0.7586206896551724,0.9375,7,3,0.10035534498733972
1,gpc_4d_plus_early_p02,full,350,70,0.9918367346938775,0.969415261150895,0.9657142857142857,0.9357142857142857,0.8857142857142857,0.9857142857142858,8,4,0.02910825938987907
1,gpc_4d_plus_early_p02,q30,110,37,0.9563124768604221,0.8986884127311932,0.8909090909090909,0.8644946316179193,0.7837837837837838,0.9452054794520548,8,4,0.08149962362896539
1,gpc_4d_plus_early_p02,q20,77,29,0.9331896551724139,0.8701332003173922,0.8571428571428571,0.8376436781609196,0.7586206896551724,0.9166666666666666,7,4,0.10237296696849228
1,gpc_4d_plus_early_p05,full,350,70,0.991326530612245,0.9707426661563066,0.9657142857142857,0.9357142857142857,0.8857142857142857,0.9857142857142858,8,4,0.028113152842234552
1,gpc_4d_plus_early_p05,q30,110,37,0.9563124768604221,0.9098564065614521,0.8909090909090909,0.8644946316179193,0.7837837837837838,0.9452054794520548,8,4,0.07934858258180955
1,gpc_4d_plus_early_p05,q20,77,29,0.9339080459770115,0.8844043053753019,0.8571428571428571,0.8376436781609196,0.7586206896551724,0.9166666666666666,7,4,0.09992451563659258
1,gpc_4d_plus_early_p10,full,350,70,0.9911224489795918,0.9701235517270176,0.9628571428571429,0.9285714285714286,0.8714285714285714,0.9857142857142858,9,4,0.02870508542265685
