contrast,role,subset,region,metric,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,negative_repeat_blocks,bootstrap_draws
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,accuracy,-0.0014950980392156865,-0.005428921568627465,0.0025370710784313475,7,12,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,balanced_accuracy,-0.0014959016677766502,-0.005336431609478463,0.0024864144391488403,8,12,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,keyhole_recall,-0.002065228174603184,-0.010842609126984135,0.007242598792989402,8,12,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,roc_auc,0.0011260706885706905,-0.001286623532717295,0.0033375241006100313,11,9,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,pr_auc,0.0013143614505042977,-0.0018803431891249182,0.004806410501983069,9,11,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,brier_score,0.000795674837962701,-0.0013331205792035416,0.003686629261387114,12,8,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,EARLY_B16_40,conduction_recall,-0.0009265751609501494,-0.006767586710164795,0.004558609778531685,9,10,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,accuracy,0.003042279411764709,0.0007352941176470723,0.005266544117647048,14,6,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,balanced_accuracy,0.00602415867552587,0.003020345195711413,0.008990876761042793,15,5,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,keyhole_recall,0.017104445684523795,0.00995828760540673,0.024565738157242036,15,5,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,roc_auc,0.006155948218448243,0.004279436261980246,0.00790640550042411,19,1,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,pr_auc,0.00606985356859247,0.003947348959215444,0.008145518813720724,18,2,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,brier_score,-0.002979079634459652,-0.0044577644259049445,-0.0007801897453570472,1,19,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q20,FULL_B16_80,conduction_recall,-0.0050561283334720816,-0.007786932343914703,-0.0023753582897137588,5,15,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q30,EARLY_B16_40,accuracy,-0.0013583333333332948,-0.0037416666666666154,0.0011752083333334278,7,13,10000
A1_predicted_width_margin - A0_m3_margin,PRIMARY deployable total,B1_q30,EARLY_B16_40,balanced_accuracy,-0.001551309995509864,-0.004937775439317939,0.0018510855213511796,8,12,10000
