tau,has_keyhole,metric,median,q25,q75,n
0.0,0,width_um,0.0,0.0,0.0,280
0.0,0,dWdt_um_per_ms,0.0,0.0,0.0,280
0.0,0,dWdt_robust_um_per_ms,1231.0014286906319,911.5433840748644,1493.253671601377,280
0.0,1,width_um,0.0,0.0,0.0,70
0.0,1,dWdt_um_per_ms,0.0,0.0,0.0,70
0.0,1,dWdt_robust_um_per_ms,930.1731605113744,806.877616453812,1133.4193696001869,70
0.005,0,width_um,7.048870272175342,5.972127531525107,10.483347746759463,280
0.005,0,dWdt_um_per_ms,-1467.565863005033,-2482.2794389464616,-401.4739717979636,280
0.005,0,dWdt_robust_um_per_ms,1076.422862164054,825.6146337816181,1315.4540528032776,280
0.005,1,width_um,6.6143567554944855,5.900920739011011,7.163060170329673,70
0.005,1,dWdt_um_per_ms,-1355.2237756034774,-1999.2092740143037,-259.7816607202738,70
0.005,1,dWdt_robust_um_per_ms,912.9636051260666,747.0079784298284,1257.587845702506,70
0.01,0,width_um,15.824675635359107,13.222070868131864,18.014469947362027,280
0.01,0,dWdt_um_per_ms,-604.3577856234083,-1299.9797729738289,325.8237229855834,280
0.01,0,dWdt_robust_um_per_ms,998.9010528196401,746.6608655077226,1226.4723563561442,280
0.01,1,width_um,13.597638208791246,12.510424830110496,15.025031990384607,70
0.01,1,dWdt_um_per_ms,302.22041394056623,-379.2197746971053,967.7070677688808,70
0.01,1,dWdt_robust_um_per_ms,854.9859929134744,682.0110447738823,1161.7063971249554,70
0.015,0,width_um,20.712609789835163,17.75388333516485,23.22087807348903,280
0.015,0,dWdt_um_per_ms,-603.7915919891827,-1303.0854893729152,96.22081848320285,280
0.015,0,dWdt_robust_um_per_ms,874.1548530857134,642.8125107639673,1118.9090286196792,280
0.015,1,width_um,20.982869642508955,18.546488804945078,22.40991805631868,70
0.015,1,dWdt_um_per_ms,254.70594694415283,-424.5073236035174,1077.372306194707,70
0.015,1,dWdt_robust_um_per_ms,772.8741950523008,589.3501923787982,1043.9775643174348,70
0.02,0,width_um,25.692082559346723,23.35656767582416,28.42207747802197,280
0.02,0,dWdt_um_per_ms,-588.6721448654197,-1169.2499396211226,196.70168016575712,280
0.02,0,dWdt_robust_um_per_ms,778.4284117323026,601.9967165169041,1002.3937542717354,280
0.02,1,width_um,26.97268674175824,22.694531903846137,28.409607087912086,70
0.02,1,dWdt_um_per_ms,0.48967516029258107,-524.0524128342986,474.6350706101986,70
0.02,1,dWdt_robust_um_per_ms,669.8053128838721,518.6133786320712,916.4643724847663,70
0.025,0,width_um,32.084168282967035,28.065310728249642,34.68270668269228,280
0.025,0,dWdt_um_per_ms,-385.3557843253127,-1145.678770610236,344.7220770982449,280
0.025,0,dWdt_robust_um_per_ms,772.9813944976809,584.951677134201,1022.9574569127292,280
0.025,1,width_um,30.997521806318673,26.486379158881505,33.295233245192335,70
0.025,1,dWdt_um_per_ms,31.312568229082487,-524.7754925218367,489.9730711742766,70
