experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,1,True,65174.0,0.001184246,0.3699242132816551,0.41,0.0582464570000002,False,0.005,-0.5303836614999998,True,descriptive_peak_timing_not_learned_warning,False
P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,1,True,58941.0,0.001071049,0.3689074072177281,0.23,-0.2264791789999998,True,0.005,-0.5933265364999999,True,descriptive_peak_timing_not_learned_warning,False
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,1,True,38259.0,0.0006954478,0.2008253962871164,0.6900000000000001,0.859727937,False,0.0,-0.3529521,True,descriptive_peak_timing_not_learned_warning,False
P-243p042265843_VX-0p642372627708_LS-5p19118052277e-05_ST-314p809567363_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p50984770355e-06_H-ac0fcec187,1,True,33461.0,0.0006083124,0.2450992535204242,0.59,0.49789044,False,0.0,-0.3538193999999999,True,descriptive_peak_timing_not_learned_warning,False
P-264p370573209_VX-0p395776293281_LS-4p78236029631e-05_ST-378p311267492_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21890085003e-05_H-985b11a49e,1,True,43592.0,0.0007922993,0.2254876905484712,0.63,0.6829875230000001,False,0.0,-0.3807183999999999,True,descriptive_peak_timing_not_learned_warning,False
P-270p660461155_VX-0p506275452772_LS-4p55363433165e-05_ST-392p157982605_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p52864804446e-06_H-b5aba20bdc,1,True,35644.0,0.0006479574,0.1816721508502819,0.735,0.9818280895,False,0.0,-0.32236010000000004,True,descriptive_peak_timing_not_learned_warning,False
P-277p972333632_VX-0p331196372511_LS-4p5620211888e-05_ST-324p411035281_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p4565741063e-05_H-0e4c2fc094,1,True,49692.0,0.0009030802,0.2551367298094651,0.855,0.9639219085000004,False,0.0,-0.40997990000000006,True,descriptive_peak_timing_not_learned_warning,False
P-282p804328276_VX-0p543976889672_LS-5p22197252327e-05_ST-303p777238342_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p8682454983e-06_H-cfd320609e,1,True,35124.0,0.0006385138,0.2006882683650082,0.6,0.6827656799999999,False,0.97,1.3154125110000001,False,descriptive_peak_timing_not_learned_warning,False
P-293p648784497_VX-0p426690912013_LS-5p33940457289e-05_ST-351p677261216_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13058902058e-05_H-5799d46da7,1,True,44789.0,0.0008140378,0.2559495702992488,0.32,0.1107003239999999,False,0.0,-0.44236549999999986,True,descriptive_peak_timing_not_learned_warning,False
P-326p931045044_VX-0p255856443683_LS-6p48737236991e-05_ST-399p817710522_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p88547942494e-05_H-9cf0389d20,1,True,67449.0,0.001225561,0.4238155180693422,0.48,0.085267952,False,0.015,-0.6204357639999999,True,descriptive_peak_timing_not_learned_warning,False
