experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,prefix_tau,current_width_um,width_gain_so_far_um,median_positive_dWdt_so_far_um_per_ms,max_positive_dWdt_so_far_um_per_ms,normalized_slope_so_far_um_per_tau,latest_source_tau
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,0.2,168.37520769230764,168.37520769230764,1399.2260143703222,61394.71684979691,808.1284024719239,0.2
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,0.4,248.4014725274723,248.4014725274723,1399.2260143703222,61394.71684979691,597.1547437252418,0.4
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,0.6,269.89680526315794,269.89680526315794,5016.035578406888,61394.71684979691,417.5949377523513,0.6
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,0.8,278.6762099999996,278.6762099999996,5316.621377145679,61394.71684979691,298.44268683384007,0.8
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,1.0,249.50760000000002,249.50760000000002,5316.621377145679,61394.71684979691,206.33902884698904,1.0
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,0.2,172.44080010989012,172.44080010989012,11554.31500541666,44973.97053483763,855.2619439343287,0.2
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,0.4,256.64128740331495,256.64128740331495,7465.163178355104,48468.06424346427,624.214115293676,0.4
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,0.6,284.0008761538461,284.0008761538461,3376.0113512935486,48468.06424346427,428.3715100103425,0.6
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,0.8,294.6064918681318,294.6064918681318,1873.7229803172102,48468.06424346427,312.0245530856277,0.8
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,1.0,276.39219999999995,276.39219999999995,3376.0113512935486,48468.06424346427,225.3399982117324,1.0
