feature,feature_group,conduction_n,keyhole_n,conduction_median,keyhole_median,median_difference_keyhole_minus_conduction,median_difference_ci_low,median_difference_ci_high,cliffs_delta,spearman_rho_with_label,spearman_p,holm_p
W_initial_um,static,280,70,4.0,4.0,0.0,0.0,0.0,-0.014285714285714284,-0.02735878275822914,0.6099810849841711,1.0
W_max_um,static,280,70,174.82940300986849,174.5345381027778,-0.2948649070906981,-7.894212926086523,15.886745283021718,0.16234693877551015,0.11247771765864506,0.035429349278764004,0.38972284206640406
W_T0_um,static,280,70,161.11800936361104,158.6889319086111,-2.429077454999941,-13.678843895730003,13.917866974153142,0.06142857142857139,0.04255913641137921,0.42735849114484525,1.0
width_gain_20_um,shape,280,70,154.53005515384615,156.70741573626375,2.177360582417606,-4.533434204441855,12.844159774362513,0.1193877551020408,0.08271460066663401,0.12245259278557592,1.0
width_gain_40_um,shape,280,70,157.67704146519338,162.9634692754696,5.286427810276223,-6.899313289272221,18.452526587579275,0.15071428571428575,0.10441834631163971,0.050957350913771675,0.5095735091377167
time_to_50pct_max_width_tau,shape,280,70,0.035,0.035,0.0,0.0,0.010000000000000002,0.24311224489795918,0.17003902664733125,0.001407821847303958,0.018301684014951455
max_positive_dWdt_um_per_ms,raw_derivative,280,70,12250.044620230328,2905.8476430734763,-9344.196977156851,-15931.286452628257,753.577787322234,-0.05841836734693884,-0.04047394284254912,0.45036975027225995,1.0
median_positive_dWdt_um_per_ms,raw_derivative,280,70,188.4030032872984,182.31218237330825,-6.090820913990143,-16.42231237468913,6.909888422689044,-0.09020408163265303,-0.062495476059234605,0.24355744987380534,1.0
time_of_max_dWdt_tau,raw_derivative,280,70,0.075,0.065,-0.009999999999999995,-0.024999999999999994,0.007500000000000007,-0.09994897959183674,-0.06927779401197301,0.19601578092717697,1.0
early_dWdt_20_um_per_ms,raw_derivative,280,70,-205.41719698312542,-57.88050334439083,147.5366936387346,100.97808850357328,199.61198676011668,0.5506122448979591,0.38147920599890855,1.4385646817803695e-13,2.3017034908485913e-12
early_dWdt_40_um_per_ms,raw_derivative,280,70,-63.46584569153265,-16.94546324052463,46.52038245100802,32.46485907001981,68.24256784324805,0.49576530612244896,0.343484555307838,3.9738268586823916e-11,5.960740288023587e-10
robust_max_positive_dWdt_um_per_ms,robust_derivative,280,70,3335.3353556821226,2711.5314171009895,-623.803938581133,-982.532334976773,-54.48660226475239,-0.22959183673469385,-0.15906653974352697,0.0028428407373286735,0.034114088847944084
robust_median_positive_dWdt_um_per_ms,robust_derivative,280,70,26.834971640225085,19.511284928504974,-7.323686711720111,-11.363805557454956,-4.035355872892747,-0.2656122448979592,-0.1840223124232892,0.0005401333522468174,0.007561866931455443
robust_early_dWdt_20_um_per_ms,robust_derivative,280,70,382.6132397538066,401.16583471826976,18.55259496446314,-34.773882362155845,61.32199209127941,0.10489795918367345,0.07267573460282031,0.1749181624852604,1.0
robust_early_dWdt_40_um_per_ms,robust_derivative,280,70,19.0629977393601,18.698007291819373,-0.36499044754072685,-12.139787649701374,27.74569797668979,-0.015714285714285736,-0.010887220942445847,0.8391673617641404,1.0
robust_time_of_max_dWdt_tau,robust_derivative,280,70,0.0,0.0,0.0,0.0,0.0,-0.015459183673469393,-0.020588148123989475,0.7011031162535208,1.0
