experiment_name,population_row_index,has_keyhole,active_sample_count,active_duration_ms,first_active_time_s,last_active_time_s,median_dt_us,dt_cv,dt_p99_p01_ratio,sampling_effectively_uniform,derivative_method,duplicate_timestamp_count,nonpositive_dt_count_raw,missing_width_count,invalid_or_sentinel_row_count,obvious_jump_count,largest_jump_um,jump_threshold_um,oscillation_mad_delta_um,nonmonotonic_fraction,monotonic_nondecreasing,significant_negative_step_fraction,quality_flag,bounds_known_sentinel_rows_excluded,cooling_rows_in_primary
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,79440,1.4430115000000001,0.0002780125,0.001721024,0.018099999999992254,0.01441089856303677,1.0555555555629175,True,centered_finite_difference,0,0,0,15292,194,6.833500000000129,5.0,0.009488654198329461,0.9645765933609436,False,0.003650599831317111,ok,0,0
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,54832,0.9962036,0.0001958874,0.001192091,0.018199999999972145,0.009165324173175565,1.0555555555629175,True,centered_finite_difference,0,0,0,36574,92,6.218899999999991,5.0,0.011267776860879677,0.9357845014681476,False,0.0036658094873338073,ok,0,0
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,0,96075,1.7449926,0.0003550104,0.002100003,0.018000000000066574,0.016136480217840657,1.05555555558768,True,centered_finite_difference,0,0,0,19525,134,7.449900000000042,5.0,0.013195159744590096,0.9069467285633991,False,0.003341174511314195,ok,0,0
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,77950,1.4159652,0.0002699908,0.001685956,0.018099999999992254,0.014196654353870748,1.0555555555629175,True,centered_finite_difference,0,0,0,14851,129,7.448800000000119,5.0,0.009933434863980184,0.9560995009557531,False,0.0029378183171047735,ok,0,0
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,80286,1.4583792,0.0002757388,0.001734118,0.018099999999992254,0.014462627800329848,1.0555555555629175,True,centered_finite_difference,0,0,0,15167,203,7.528100000000052,5.0,0.009488654198329461,0.9631188889580868,False,0.003524942392725914,ok,0,0
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,84696,1.5381278,0.0005618752,0.002100003,0.018000000000066574,0.01716544025152302,1.05555555558768,True,centered_finite_difference,0,0,0,30904,1,5.206000000000005,5.0,0.009785174642040427,0.6551626424228113,False,0.002444063994332605,ok,0,0
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,69233,1.2577026999999998,0.0002386903,0.001496393,0.018100000000100674,0.012858169902963332,1.0555555555629175,True,centered_finite_difference,0,0,0,16308,204,7.05660000000006,5.0,0.009043873532889431,0.964005084354056,False,0.0034810492257915417,ok,0,0
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,58659,1.065699,0.000202994,0.001268693,0.018199999999917935,0.010387054315230772,1.0555555555629175,True,centered_finite_difference,0,0,0,29528,198,8.633299999999991,5.0,0.009488654198413738,0.9622728357598281,False,0.0039039858160864675,ok,0,0
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,82865,1.5052062,0.0002817778,0.001786984,0.018099999999992254,0.01473129895537772,1.055555555574964,True,centered_finite_difference,0,0,0,15499,84,46.24279999999999,5.0,0.009933434863895908,0.9404445838965051,False,0.003246283066229002,ok,0,0
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,78070,1.4181495,0.0002665165,0.001684666,0.018099999999992254,0.014172437633140411,1.0555555555629175,True,centered_finite_difference,0,0,0,14660,191,7.751800000000003,5.0,0.009043873532889431,0.9572685701110556,False,0.0036506167620950695,ok,0,0
